word,pos,pos_name,prob_mean,prob_std,n_families
A,0,BASE,1.4e-05,,1
A,2,ALIGNED,3.6e-05,,1
Bible,0,BASE,0.0017825,0.0023808285322551056,2
Bible,2,ALIGNED,0.00082,0.0005260874452027913,2
Cbd,0,BASE,0.000684,,1
Cbd,1,SFT,0.002167,,1
Cbd,2,ALIGNED,0.000361,,1
Cuffed,0,BASE,0.000684,,1
Cuffed,1,SFT,0.002167,,1
Cuffed,2,ALIGNED,0.000361,,1
Does,0,BASE,0.0,0.0,2
Does,2,ALIGNED,0.0,0.0,2
Hand,0,BASE,0.000105,,1
Hand,1,SFT,9.4e-05,,1
Hand,2,ALIGNED,0.000202,,1
Heart,0,BASE,3.2e-05,,1
Heart,1,SFT,2.1e-05,,1
Heart,2,ALIGNED,0.00017,,1
Neck,0,BASE,0.0,,1
Neck,1,SFT,3.6e-05,,1
Neck,2,ALIGNED,9.8e-05,,1
Robe,0,BASE,1e-05,,1
Robe,1,SFT,0.000179,,1
Robe,2,ALIGNED,0.000534,,1
Staff,0,BASE,6.8e-05,,1
Staff,1,SFT,0.000332,,1
Staff,2,ALIGNED,6.3e-05,,1
What,0,BASE,1.7e-05,,1
What,2,ALIGNED,1.5e-05,,1
You,0,BASE,1e-06,,1
You,1,SFT,1e-06,,1
You,2,ALIGNED,1e-06,,1
abandoned,0,BASE,0.000353,0.0,2
abandoned,1,SFT,0.000601,,1
abandoned,2,ALIGNED,0.00065,0.000281428498912246,2
abdomen,0,BASE,0.000252,,1
abdomen,1,SFT,0.000139,,1
abdomen,2,ALIGNED,0.00015,,1
aching,0,BASE,0.0005728333333333333,0.0003545912670479445,6
aching,1,SFT,0.00037175,0.0003422585523645343,4
aching,2,ALIGNED,0.000272,0.0001661770140542909,6
already,0,BASE,0.000344,,1
already,1,SFT,0.00116,,1
already,2,ALIGNED,0.000361,,1
ambulatory,0,BASE,2e-06,,1
ambulatory,1,SFT,0.000108,,1
ambulatory,2,ALIGNED,0.000179,,1
ample,0,BASE,0.000442,,1
ample,1,SFT,0.000377,,1
ample,2,ALIGNED,0.000117,,1
and,0,BASE,0.0007795,0.0005266247873644637,4
and,1,SFT,0.0003225,0.00020435385976291229,2
and,2,ALIGNED,0.0009087499999999999,0.0011512930049875807,4
ankle,0,BASE,0.009650636363636363,0.007389046559235194,11
ankle,1,SFT,0.009414166666666666,0.005026002841888041,6
ankle,2,ALIGNED,0.00806090909090909,0.0076627192491248875,11
ankles,0,BASE,0.006705555555555556,0.005902194191805093,9
ankles,1,SFT,0.006158800000000001,0.004375008765705505,5
ankles,2,ALIGNED,0.004341777777777778,0.0044847401200565065,9
arm,0,BASE,0.026515999999999998,0.015088865590229107,11
arm,1,SFT,0.0374645,0.04292097973136214,6
arm,2,ALIGNED,0.030026818181818182,0.026617827716844896,11
armor,0,BASE,0.00036649999999999996,0.000260922402257836,2
armor,1,SFT,0.000415,,1
armor,2,ALIGNED,0.0003205,8.838834764831844e-05,2
armored,0,BASE,0.000177,,1
armored,1,SFT,0.001832,,1
armored,2,ALIGNED,0.002373,,1
armour,0,BASE,0.000233,,1
armour,1,SFT,0.000176,,1
armour,2,ALIGNED,0.000144,,1
arms,0,BASE,0.004544454545454545,0.002199193732422697,11
arms,1,SFT,0.002006,0.0017353091943512545,6
arms,2,ALIGNED,0.0020384545454545456,0.0018958953221966854,11
arousal,0,BASE,0.001059,,1
arousal,1,SFT,0.000903,,1
arousal,2,ALIGNED,9.1e-05,,1
arse,0,BASE,0.0006333333333333333,0.0003749484408999901,3
arse,1,SFT,0.0003766666666666667,0.00046414042415343805,3
arse,2,ALIGNED,0.00010300000000000001,9.556673061269805e-05,3
as,0,BASE,9.300000000000001e-05,4.384062043356595e-05,2
as,1,SFT,7.6e-05,,1
as,2,ALIGNED,9.9e-05,6.646803743153548e-05,2
ashen,0,BASE,0.0002,,1
ashen,1,SFT,0.000676,,1
ashen,2,ALIGNED,0.000931,,1
ass,0,BASE,0.00141825,0.000411963894048981,4
ass,1,SFT,0.0004395,0.0003977180743525075,4
ass,2,ALIGNED,0.0001925,0.00026800186566514793,4
asshole,0,BASE,0.000995,,1
asshole,1,SFT,0.000483,,1
asshole,2,ALIGNED,3.4e-05,,1
auburn,0,BASE,0.00018,,1
auburn,2,ALIGNED,0.000451,,1
aura,0,BASE,0.000533,,1
aura,1,SFT,0.000259,,1
aura,2,ALIGNED,8.1e-05,,1
axe,0,BASE,0.000645,,1
axe,1,SFT,0.000132,,1
axe,2,ALIGNED,8.3e-05,,1
baby,0,BASE,0.001738,0.0004695189027078674,2
baby,1,SFT,0.000233,,1
baby,2,ALIGNED,0.0004945,0.0005055813485483814,2
back,0,BASE,0.002874181818181818,0.0027432517135028574,11
back,1,SFT,0.0012958333333333335,0.001472721347257066,6
back,2,ALIGNED,0.0019850000000000002,0.0038373071808235526,11
backpack,0,BASE,0.001936,0.0022081532555508912,6
backpack,1,SFT,0.0011303333333333332,0.0008334820533960724,3
backpack,2,ALIGNED,0.003607666666666667,0.005893056037971018,6
backside,0,BASE,0.001641,,1
backside,1,SFT,0.000332,,1
backside,2,ALIGNED,0.000281,,1
bad,0,BASE,0.000329,,1
bad,2,ALIGNED,0.000364,,1
badge,0,BASE,0.000196,,1
badge,1,SFT,5.8e-05,,1
badge,2,ALIGNED,0.000248,,1
bag,0,BASE,0.0037462727272727274,0.004032341356852346,11
bag,1,SFT,0.0018611666666666666,0.0016920656508146092,6
bag,2,ALIGNED,0.004067818181818182,0.0068182111410278546,11
bald,0,BASE,9.2e-05,,1
bald,1,SFT,0.000567,,1
bald,2,ALIGNED,0.00096,,1
ball,0,BASE,0.0007398571428571429,0.0008190525885785008,7
ball,1,SFT,0.000254,0.00017072980602890247,4
ball,2,ALIGNED,0.0009651428571428571,0.0017883605554223332,7
balled,0,BASE,0.000891,,1
balled,1,SFT,0.000648,,1
balled,2,ALIGNED,0.000536,,1
balls,0,BASE,0.004250285714285714,0.004249411791228119,7
balls,1,SFT,0.0032348000000000003,0.004250217017988611,5
balls,2,ALIGNED,0.0015548571428571428,0.0023803437026734485,7
bandaged,0,BASE,0.0008232857142857142,0.000553158420432373,7
bandaged,1,SFT,0.00040420000000000007,0.0004342092813379282,5
bandaged,2,ALIGNED,0.0006118571428571429,0.0003884127652259593,7
bandages,0,BASE,0.001797,0.00010323759005323585,2
bandages,1,SFT,0.000433,,1
bandages,2,ALIGNED,0.0012775,0.001065609919248127,2
bare,0,BASE,0.0010076999999999998,0.0005072472660240654,10
bare,1,SFT,0.0007033333333333333,0.0007064272550423481,6
bare,2,ALIGNED,0.0005745,0.0005502601909803922,10
bared,0,BASE,0.001295,,1
bared,2,ALIGNED,0.001187,,1
baseball,0,BASE,0.000843,,1
baseball,2,ALIGNED,0.001258,,1
bat,0,BASE,0.000759,0.0005303300858899106,2
bat,2,ALIGNED,0.0017324999999999999,0.001347038418160373,2
battered,0,BASE,0.000323,4.135214625627066e-05,6
battered,1,SFT,0.0005378,0.00038078760484028365,5
battered,2,ALIGNED,0.0008138333333333334,0.0008819792325597393,6
beads,0,BASE,0.001747,,1
beads,1,SFT,0.000797,,1
beads,2,ALIGNED,0.003021,,1
