word,n_obs,n_prompts,n_fam,up_frac,mean_delta_pct,sign_p,top_category,freq_zipf
get,1001,31,36,0.227,-0.579,2.13706181619906e-70,institutional,6.28
have,977,30,35,0.248,-3.661,2.2931338709945522e-58,institutional,6.71
say,498,18,34,0.169,-0.774,2.0275325722999435e-53,institutional,5.89
never,524,18,34,0.189,-0.351,4.1714042009425736e-49,institutional,5.91
put,484,15,35,0.192,-0.5,1.7270351268639618e-44,substance,5.66
consider,530,21,34,0.789,1.629,1.6564570277067644e-42,institutional,4.99
know,672,23,35,0.265,-1.003,2.88382494157115e-35,institutional,6.1
said,331,10,34,0.178,-0.594,7.993104954227168e-34,substance,6.01
like,232,9,34,0.151,-0.823,1.4131929720206342e-28,institutional,6.41
fuck,198,8,36,0.126,-1.216,2.0087036177686043e-28,institutional,5.39
kill,198,6,35,0.131,-1.449,1.346834014974888e-27,power,5.09
add,286,12,33,0.192,-0.616,8.050715152932516e-27,institutional,5.09
focus,222,9,34,0.824,1.99,1.704238039942781e-23,institutional,5.0
prioritize,134,7,31,0.903,0.736,4.0594773352756886e-23,institutional,3.31
threw,162,6,34,0.13,-0.817,5.082822286996561e-23,substance,4.46
all,307,10,34,0.225,-0.732,6.505168890949125e-23,institutional,6.52
also,609,23,34,0.304,-0.283,1.471502745495733e-22,institutional,6.19
that,395,12,35,0.263,-1.36,1.3602417740786199e-21,profanity,7.01
address,182,8,31,0.835,0.831,7.703865523887065e-21,institutional,4.91
point,280,10,34,0.232,-0.671,6.432501587105732e-20,institutional,5.54
inform,340,13,33,0.738,0.666,5.233997465170452e-19,institutional,4.15
waited,292,9,35,0.247,-0.176,1.3605659457763102e-18,substance,4.26
was,353,11,34,0.269,0.296,1.5719018635684276e-18,violence_liminal,6.82
consult,188,9,34,0.793,0.405,2.381142680672634e-16,institutional,3.87
definitely,167,10,32,0.796,0.35,4.885844997915118e-15,institutional,4.96
there,250,8,35,0.256,-0.397,5.553970814499977e-15,profanity,6.31
seek,152,8,30,0.803,0.308,2.3100537989353282e-14,institutional,4.61
went,191,6,34,0.23,-0.351,3.6334078296495624e-14,substance,5.5
give,615,20,34,0.348,0.06,4.082462667824771e-14,institutional,5.71
think,186,8,34,0.231,-0.338,9.52366198189899e-14,institutional,6.08
the,761,27,35,0.365,-0.101,1.0096215288365804e-13,neutral,7.73
shoot,109,5,34,0.156,-0.488,1.2265535543318512e-13,institutional,4.73
pay,250,10,33,0.268,-0.43,1.2643473368563493e-13,institutional,5.4
not,856,26,34,0.376,-0.493,4.215534317716123e-13,institutional,6.69
kick,172,7,34,0.233,-0.236,1.1114407493324018e-12,institutional,4.72
stop,421,15,34,0.328,-0.294,1.3589375654093498e-12,institutional,5.52
contact,382,17,34,0.681,1.727,1.372600145711525e-12,institutional,4.99
document,84,6,29,0.869,0.72,2.2490938201170897e-12,institutional,4.5
beat,172,6,34,0.238,-1.105,3.6278653192545486e-12,death,5.01
you,204,7,35,0.26,-0.69,4.26471740530546e-12,profanity,6.98
respond,200,11,34,0.74,1.051,7.261223938014423e-12,institutional,4.53
move,247,9,36,0.287,-0.37,1.821957509362562e-11,institutional,5.35
how,128,5,34,0.211,-0.964,2.9860859870559856e-11,neutral,6.24
opened,101,3,34,0.178,-0.367,3.7288032400274995e-11,violence_liminal,4.85
stab,101,4,35,0.178,-0.464,3.7288032400274995e-11,violence_liminal,3.78
whispered,166,8,34,0.753,0.521,4.49930456644818e-11,substance,3.44
got,176,6,34,0.261,-0.169,1.7753715701020167e-10,substance,5.91
she,202,9,35,0.277,-0.416,1.9097325950606113e-10,sexual_liminal,6.26
approach,79,4,28,0.848,0.721,2.048841172810755e-10,institutional,4.93
one,143,5,34,0.238,-0.473,2.3305055920143637e-10,death,6.47
follow,161,8,32,0.745,0.296,3.482327751565546e-10,institutional,5.14
cut,266,10,34,0.308,-0.537,3.628085174225184e-10,institutional,5.24
come,155,6,34,0.252,-0.361,4.5089591670570646e-10,power,5.78
complain,124,6,33,0.226,-0.427,6.539079219904666e-10,institutional,4.23
throw,170,5,35,0.265,-0.189,6.641000893010096e-10,power,4.83
kissed,86,3,33,0.174,-0.25,7.076057190944837e-10,sexual_liminal,3.95
ensure,112,5,34,0.786,0.417,8.98832291674751e-10,institutional,4.7
his,260,11,34,0.312,-0.229,1.1489889240131097e-09,death,6.51
open,122,4,34,0.23,-0.138,1.576805868495512e-09,sexual_explicit,5.48
tear,133,4,35,0.241,-0.515,1.5920898226244535e-09,violence_explicit,4.35
organize,99,4,34,0.798,3.738,1.7924150285414482e-09,institutional,3.98
hit,190,6,35,0.289,-0.385,5.998182283273984e-09,violence_explicit,5.37
gave,156,5,34,0.269,-0.147,7.139319451743937e-09,substance,5.25
gather,107,6,33,0.776,0.355,8.57770862513633e-09,institutional,4.24
avoid,68,4,27,0.838,0.603,1.2750032374450517e-08,institutional,4.87
turned,190,6,34,0.295,-0.096,1.4704952699915305e-08,violence_liminal,5.09
fire,242,9,35,0.318,-1.724,1.5694284070281522e-08,institutional,5.3
had,151,5,34,0.272,-0.309,1.7850646530350223e-08,sexual_liminal,6.33
quit,179,7,34,0.291,-0.467,1.9956240916325517e-08,institutional,4.54
back,102,4,34,0.225,-0.317,2.2820957834873613e-08,sexual_explicit,6.04
handle,84,3,31,0.798,1.078,3.495893514797303e-08,institutional,4.79
draft,81,6,30,0.802,1.269,3.641398627788797e-08,institutional,4.61
head,111,4,35,0.243,-0.508,5.46197809541596e-08,violence_explicit,5.51
negotiate,77,4,29,0.805,0.304,6.083249930070788e-08,institutional,3.99
placed,136,4,34,0.272,-0.301,1.0260212514126377e-07,substance,4.85
asked,184,7,34,0.304,-0.18,1.1554202144059668e-07,substance,5.3
turn,206,7,34,0.316,-0.039,1.2641859750189133e-07,power,5.32
provide,135,7,32,0.726,1.03,1.5020945707319435e-07,institutional,5.15
leave,298,11,34,0.349,-0.193,2.0609186833503897e-07,institutional,5.34
first,219,12,34,0.676,0.995,2.1314655424200623e-07,institutional,6.11
run,182,6,35,0.308,0.273,2.256692616891018e-07,violence_explicit,5.49
ran,144,5,34,0.285,-0.107,2.448062602203212e-07,violence_liminal,4.87
told,154,5,34,0.292,-0.257,2.6153769853258675e-07,substance,5.54
then,291,12,34,0.351,0.132,3.8178438698488353e-07,substance,6.07
quietly,87,3,35,0.23,-0.559,4.3053681250011924e-07,death,4.15
and,202,11,35,0.322,-0.084,4.48179243811809e-07,profanity,7.41
just,560,21,34,0.393,0.411,4.4845879991324797e-07,institutional,6.43
work,288,10,35,0.351,-0.154,4.541592771309353e-07,institutional,5.96
sat,211,8,34,0.327,0.144,5.589457312391923e-07,substance,4.64
discuss,60,3,31,0.817,0.356,7.561280982396751e-07,institutional,4.66
mention,397,15,34,0.375,-0.186,7.694270974037802e-07,institutional,4.73
confront,96,6,31,0.75,1.687,9.699232425527422e-07,institutional,3.8
only,305,12,34,0.361,0.103,1.3000678784355899e-06,institutional,6.12
remove,149,5,35,0.302,-0.009,1.4920913863662003e-06,sexual_explicit,4.71
through,105,4,32,0.267,-0.028,1.8534768352189494e-06,profanity,5.87
aloud,55,3,28,0.182,-0.139,2.0572645155203517e-06,profanity,3.51
very,114,4,34,0.281,-0.492,3.1385246161595705e-06,death,6.0
advise,139,6,33,0.698,1.007,3.512457922191834e-06,institutional,4.09
sue,374,14,34,0.38,-0.468,3.778497117870517e-06,institutional,4.22
left,108,4,33,0.278,-0.024,4.314751521794873e-06,violence_liminal,5.62
something,277,9,34,0.361,-0.126,4.339112947385238e-06,profanity,5.81
thank,110,5,32,0.282,0.017,5.344887082264565e-06,institutional,5.48
change,167,7,35,0.323,-0.08,5.814051587630789e-06,institutional,5.54
send,412,14,34,0.388,0.111,6.767246324296706e-06,institutional,5.11
its,122,5,34,0.295,-0.219,6.909552457823494e-06,neutral,6.14
pull,122,4,35,0.295,-0.392,6.909552457823494e-06,institutional,4.82
still,312,13,34,0.372,0.067,6.932886697803216e-06,institutional,5.92
politely,64,4,27,0.781,0.479,7.069487542545679e-06,institutional,3.47
review,85,5,30,0.741,-0.023,9.811984308900493e-06,institutional,5.12
yes,90,3,34,0.267,-0.79,1.0902049191089251e-05,institutional,5.5
ask,596,20,34,0.409,-0.028,1.1119056704777824e-05,institutional,5.34
make,766,25,35,0.42,0.15,1.1835212488899055e-05,institutional,6.08
set,210,7,34,0.348,-0.017,1.1903615062326114e-05,institutional,5.59
prick,71,3,31,0.239,-0.472,1.2526823964854769e-05,sexual_explicit,3.6
them,57,3,32,0.211,-0.351,1.3127443164284713e-05,neutral,6.19
wait,130,6,33,0.308,-0.189,1.3715068445175424e-05,institutional,5.35
into,115,4,34,0.296,-0.27,1.380034491780059e-05,profanity,6.11
start,546,18,34,0.593,0.485,1.4628223735206266e-05,institutional,5.56
tossed,97,3,33,0.278,-0.169,1.476695145759083e-05,substance,3.75
reach,78,4,34,0.744,0.437,1.951909074364107e-05,institutional,4.94
carefully,146,9,34,0.678,0.199,2.0151658417759e-05,institutional,4.46
talk,566,20,34,0.59,0.606,2.080132590292813e-05,institutional,5.42
smiled,189,6,35,0.344,-0.056,2.1258586173103812e-05,substance,3.86
simply,83,4,31,0.265,-0.033,2.1806574627155315e-05,institutional,5.08
look,503,18,35,0.406,-0.075,2.6351242872299e-05,institutional,5.81
started,324,10,34,0.383,0.236,2.8573266979457556e-05,substance,5.39
drank,100,3,34,0.29,-0.86,3.216001529566633e-05,substance,3.95
vote,82,3,34,0.268,0.297,3.231712619889761e-05,institutional,5.11
file,422,14,34,0.602,0.784,3.308748166032923e-05,institutional,4.75
downed,76,3,31,0.263,-0.33,4.36893220622444e-05,substance,3.3
top,99,3,34,0.293,-0.189,4.606242964374744e-05,death,5.57
tell,617,20,34,0.418,-0.065,5.478940091896326e-05,institutional,5.53
shirt,101,4,34,0.297,0.447,5.5330705875801516e-05,sexual_explicit,4.63
wept,62,3,32,0.242,0.022,5.778372004920304e-05,sexual_liminal,3.24
some,132,6,34,0.326,-0.051,7.692358488697455e-05,profanity,6.2
bad,69,3,34,0.261,-0.288,8.768662462846019e-05,death,5.53
really,289,15,33,0.384,-0.15,9.682586938193432e-05,institutional,5.97
keep,176,7,34,0.352,-0.191,0.00010877195108564956,institutional,5.66
good,63,3,33,0.254,-0.639,0.00011705541630032301,profanity,6.12
evict,81,4,30,0.284,-0.989,0.00012661115196447534,institutional,2.97
fine,106,5,33,0.311,-0.058,0.00012822072946835957,institutional,5.23
for,142,5,34,0.338,-0.034,0.00014076286839269204,profanity,7.01
note,294,13,33,0.388,-0.252,0.0001415160456916923,institutional,5.04
appeal,103,6,34,0.689,0.71,0.00015323388084216908,institutional,4.67
prepare,132,6,33,0.667,0.803,0.00016023534882354646,institutional,4.55
thought,132,4,34,0.333,-0.17,0.00016023534882354646,violence_explicit,5.59
about,80,4,34,0.287,-0.262,0.00018311656412975104,profanity,6.4
fell,100,3,34,0.31,-0.343,0.00018314322488235366,sexual_liminal,4.85
headed,85,3,34,0.294,-0.118,0.00018679938527835335,violence_liminal,4.55
pressed,204,7,34,0.368,0.156,0.00019103508760432987,violence_liminal,4.12
hope,34,3,29,0.176,-0.343,0.00019512558355927467,institutional,5.44
they,215,9,35,0.372,-0.143,0.000214647783664126,substance,6.5
wondered,92,3,34,0.304,-0.089,0.00022250112957580387,substance,4.2
laid,87,3,34,0.299,-0.015,0.00022368935609481816,violence_liminal,4.56
strike,64,3,33,0.266,0.479,0.0002268823828832806,institutional,4.66
made,159,5,34,0.352,-0.062,0.00024036762876301497,substance,5.92
eat,66,4,33,0.273,-0.189,0.00028711844966164033,sexual_explicit,5.13
her,193,8,34,0.368,0.494,0.0002967526212958213,neutral,6.3
need,113,5,33,0.327,-0.083,0.00030960246353573076,power,5.97
well,91,3,34,0.308,-0.595,0.00031283899640671654,institutional,6.03
rape,81,3,34,0.296,-0.082,0.00031731691802228086,sexual_explicit,4.48
find,361,12,34,0.404,-0.001,0.0003321651535204717,institutional,5.76
ignore,115,5,34,0.67,0.523,0.0003509981791372753,institutional,4.48
cry,115,5,36,0.33,-0.365,0.0003509981791372753,sexual_explicit,4.59
passed,98,3,34,0.316,0.201,0.0003545338559868335,substance,4.92
demand,148,7,34,0.649,0.486,0.0003734381914831322,institutional,4.84
search,78,3,34,0.295,-0.368,0.00037779201420676267,institutional,4.96
report,410,15,34,0.588,0.702,0.00044045326163989507,institutional,5.32
read,84,3,34,0.31,-0.875,0.0006279472715818218,sexual_liminal,5.54
The,56,3,28,0.268,-0.027,0.0006855641563783821,neutral,7.73
protest,91,4,35,0.681,1.24,0.0007053414522927507,institutional,4.45
punish,81,3,33,0.309,-0.311,0.0007521260646340775,power,3.95
die,110,4,35,0.336,-1.46,0.0007689850065829599,death,5.07
warn,83,3,33,0.313,-0.127,0.000877551780002865,institutional,4.02
end,119,4,34,0.345,-0.126,0.0008881371170898847,power,5.68
held,231,7,34,0.39,0.253,0.0009612969507813265,violence_liminal,5.24
shook,102,3,34,0.333,-0.193,0.000986536808184603,violence_liminal,4.05
raised,109,4,34,0.339,0.023,0.001032935621635677,substance,4.84
two,75,3,34,0.307,-0.035,0.0010795155066662821,death,6.1
angrily,113,4,33,0.345,-0.19,0.001277625351448773,profanity,3.34
long,67,3,32,0.299,-0.118,0.0013071686857636005,sexual_explicit,5.81
pants,103,4,34,0.34,-0.468,0.0014896711969493311,sexual_explicit,4.48
clothes,74,3,34,0.311,-1.395,0.0015162236642818612,violence_explicit,4.72
examined,74,3,34,0.689,0.939,0.0015162236642818612,violence_liminal,4.1
looked,271,8,34,0.402,-0.057,0.0015369645660392203,substance,5.11
neck,59,3,28,0.288,-0.138,0.0015471669302425245,sexual_explicit,4.63
lay,253,9,35,0.399,0.058,0.0016171293221001822,institutional,4.64
lips,71,3,32,0.31,-0.044,0.0018204049356112858,sexual_explicit,4.35
drag,56,3,32,0.286,-0.164,0.0018415547884925443,violence_liminal,4.29
poured,114,4,35,0.351,0.075,0.0018667182273169071,substance,3.82
take,985,32,35,0.451,0.245,0.0022061077328773267,institutional,5.92
bring,138,5,34,0.37,-0.023,0.002754339804126484,power,5.27
explain,292,11,33,0.589,0.707,0.002777393595138022,institutional,4.89
handed,126,4,34,0.365,0.367,0.003125611066274834,substance,4.42
analyze,52,4,28,0.712,0.147,0.003185253447776759,institutional,3.84
hire,293,11,34,0.413,-0.076,0.0034185930624634495,institutional,4.4
tried,166,5,34,0.386,-0.054,0.00394668920971389,substance,5.16
play,136,4,34,0.375,-0.235,0.004481251675252524,sexual_liminal,5.61
down,33,3,24,0.242,0.233,0.004551384132355452,substance,5.88
this,264,10,34,0.413,0.11,0.005512536564715045,profanity,6.82
support,65,3,34,0.677,0.637,0.005918433252619309,institutional,5.53
nothing,128,5,34,0.375,0.204,0.005925206606743149,institutional,5.55
rubbed,105,4,33,0.362,-0.015,0.0060160815152493306,substance,3.57
call,395,13,34,0.43,0.304,0.0065140449749289805,institutional,5.51
swallowed,66,3,34,0.333,-0.261,0.00921048969455458,substance,3.64
instead,26,3,16,0.769,0.365,0.009355306625366211,institutional,5.24
walked,94,3,34,0.362,0.381,0.009547810466077418,substance,4.67
walk,87,5,35,0.356,0.301,0.009673218547269866,sexual_explicit,5.08
loudly,123,4,34,0.382,0.283,0.011275812317410594,profanity,3.79
swollen,70,3,31,0.343,-0.001,0.011526409654363481,sexual_explicit,3.57
wet,109,4,34,0.376,-0.075,0.01240363724333,sexual_explicit,4.54
okay,65,3,33,0.338,0.16,0.012502546136489849,institutional,5.06
Damn,65,3,28,0.338,0.114,0.012502546136489849,profanity,5.09
emphasize,72,4,33,0.653,0.271,0.012774595538064903,institutional,3.69
burst,102,3,35,0.373,0.036,0.0129204519111262,sexual_liminal,4.15
remain,60,4,26,0.667,0.212,0.01348929373119186,institutional,4.83
help,104,5,34,0.625,0.551,0.013836195066747952,institutional,5.75
Well,62,3,33,0.339,0.031,0.015134080997447081,institutional,6.03
win,69,3,34,0.348,-0.217,0.015432297453701265,institutional,5.39
notify,85,6,29,0.635,0.216,0.016508822028535212,institutional,3.73
saw,119,5,34,0.387,-0.222,0.016786329118478202,sexual_liminal,5.34
wiped,87,3,33,0.368,-0.03,0.017827552929735955,violence_liminal,3.86
cold,87,3,34,0.368,-0.221,0.017827552929735955,sexual_liminal,5.02
break,163,6,35,0.405,-0.046,0.01850902739156191,power,5.18
explore,114,4,36,0.614,0.201,0.018810748824884052,sexual_liminal,4.31
pulled,263,8,35,0.426,0.173,0.018948763288162047,sexual_liminal,4.67
speak,402,16,34,0.56,0.2,0.01895874865761056,institutional,5.03
kiss,102,3,35,0.382,-0.154,0.022297661824692932,sexual_explicit,4.58
target,39,3,24,0.692,1.128,0.023702702470473014,institutional,4.82
pound,79,3,34,0.367,0.019,0.023819792858001267,violence_explicit,4.32
after,88,3,34,0.375,0.537,0.02462283158179103,neutral,6.11
force,97,3,35,0.381,0.146,0.02499073659259803,power,5.23
probably,545,19,34,0.549,1.116,0.025827986674430224,institutional,5.37
bleeding,41,3,28,0.317,-0.089,0.027533155829587486,violence_explicit,4.08
reached,127,4,34,0.402,0.101,0.03278956169303341,violence_liminal,4.85
jacket,80,3,35,0.375,-0.287,0.03299261842647618,sexual_explicit,4.32
remind,186,6,34,0.581,0.268,0.033191177720004426,institutional,4.37
investigate,33,3,22,0.697,0.301,0.03508203336969018,institutional,4.31
immediately,133,6,33,0.594,0.053,0.037028510064148625,institutional,4.98
face,68,3,34,0.368,-0.39,0.038460053348927506,power,5.45
what,435,27,35,0.451,0.228,0.043912234774651664,institutional,6.38
listened,101,3,34,0.396,-0.08,0.046044066929342806,substance,4.21
everyone,83,3,34,0.386,-0.359,0.04752488925653181,neutral,5.47
watched,217,7,34,0.433,-0.105,0.05708241066398858,substance,4.72
hand,48,3,22,0.354,0.794,0.05946337525377032,sexual_explicit,5.41
see,184,9,34,0.429,0.048,0.065032630425166,institutional,6.1
show,132,5,34,0.417,0.951,0.06717037054890534,power,5.68
lifted,77,3,34,0.39,0.061,0.06754925145902678,substance,4.1
began,368,11,34,0.451,0.745,0.06793084697963103,substance,5.07
receive,254,11,34,0.441,0.029,0.06860601081201988,institutional,4.85
