source,layer,prompt_type,bits_per_char,corpus_type
olmo,base,bos,0.8548909536912433,ai
olmo,base,bos,1.1070894043897952,ai
olmo,base,bos,1.0589554576316107,ai
olmo,base,bos,1.2564401801270446,ai
olmo,base,bos,1.168467474738973,ai
olmo,base,bos,1.4969375578850932,ai
olmo,base,bos,1.1067693296888412,ai
olmo,base,bos,1.5581844564644989,ai
olmo,base,bos,1.26466701931866,ai
olmo,base,bos,,ai
olmo,base,bos,0.9134361106805772,ai
olmo,base,bos,0.40368911167712646,ai
olmo,base,bos,1.42029141178795,ai
olmo,base,bos,,ai
olmo,base,bos,1.9116329805774834,ai
olmo,base,bos,0.9850597590358412,ai
olmo,base,bos,1.2035405937262165,ai
olmo,base,bos,0.9637361127951426,ai
olmo,base,bos,1.4004736457128342,ai
olmo,base,bos,1.1398954954976936,ai
olmo,base,bos,0.7229687720745255,ai
olmo,base,bos,0.8860407773288962,ai
olmo,base,bos,1.4015894464497864,ai
olmo,base,bos,0.8831025761307781,ai
olmo,base,bos,2.00682047079208,ai
olmo,base,bos,0.9108118511809596,ai
olmo,base,bos,2.1947540387245823,ai
olmo,base,bos,1.4330297946178396,ai
olmo,base,bos,0.77363461767996,ai
olmo,base,bos,1.7882175387400057,ai
olmo,base,bos,1.0527024121902542,ai
olmo,base,bos,1.5693772758095887,ai
olmo,base,bos,,ai
olmo,base,bos,,ai
olmo,base,bos,0.3790038852070828,ai
olmo,base,bos,1.322388995856792,ai
olmo,base,bos,,ai
olmo,base,bos,,ai
olmo,base,bos,1.9543081755909961,ai
olmo,base,bos,,ai
olmo,base,bos,,ai
olmo,base,bos,,ai
olmo,base,bos,0.8989014822711211,ai
olmo,base,bos,1.0495094655645265,ai
olmo,base,bos,,ai
olmo,base,bos,2.831175806258742,ai
olmo,base,bos,,ai
olmo,base,bos,0.9863784891942884,ai
olmo,base,bos,0.756357349476912,ai
olmo,base,bos,1.1287967777485637,ai
olmo,base,bos,,ai
olmo,base,bos,1.5229197262233904,ai
olmo,base,bos,1.501800641552755,ai
olmo,base,bos,1.1638087036548501,ai
olmo,base,bos,,ai
olmo,base,bos,1.0297389263093673,ai
olmo,base,bos,0.9480987416930494,ai
olmo,base,bos,0.6361535137230485,ai
olmo,base,bos,0.25622263926188,ai
olmo,base,bos,0.9431050238236665,ai
olmo,base,bos,0.586454324314202,ai
olmo,base,bos,1.9678424477505052,ai
olmo,base,bos,,ai
olmo,base,bos,,ai
olmo,base,bos,0.9475807806041685,ai
olmo,base,bos,0.3020401496498469,ai
olmo,base,bos,1.026656210724467,ai
olmo,base,bos,0.7322790391000012,ai
olmo,base,bos,1.150511310226859,ai
olmo,base,bos,,ai
olmo,base,bos,,ai
olmo,base,bos,0.6892200260967246,ai
olmo,base,bos,,ai
olmo,base,bos,,ai
olmo,base,bos,,ai
