prompt_key,prompt,idx,thinking_len,thinking_words,n_hedging,n_self_correction,n_safety,n_form,n_orientation,n_wait,n_actually,n_hmm,n_zh_hedging,n_zh_safety,n_zh_orientation,dominant_type,category
anger,She was so angry she wanted to,0,500,84,1,0,0,3,7,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,1,500,81,0,0,0,0,2,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,2,500,79,1,0,0,0,4,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,3,500,88,0,0,0,0,4,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,4,500,86,0,0,0,0,4,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,5,500,79,0,0,0,0,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,6,500,84,1,0,0,0,5,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,7,500,95,0,0,0,1,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,8,500,82,1,0,0,0,5,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,9,500,85,1,0,0,0,3,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,10,500,85,0,0,0,0,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,11,500,92,1,0,0,1,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,12,500,78,0,0,0,0,1,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,13,500,82,1,0,0,1,3,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,14,500,76,0,0,0,0,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,15,500,83,1,0,0,0,3,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,16,500,80,1,0,0,0,4,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,17,500,86,0,0,0,0,2,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,18,500,83,0,0,0,0,5,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,19,500,91,0,0,0,0,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,20,500,90,0,0,0,0,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,21,500,92,0,0,0,0,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,22,500,77,1,0,0,0,4,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,23,500,85,2,0,0,0,3,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,24,500,76,2,0,0,0,5,1,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,25,500,76,0,0,0,0,1,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,26,500,79,0,0,0,1,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,27,500,87,0,0,0,0,2,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,28,500,81,1,0,0,1,2,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,29,500,82,1,0,0,0,5,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,30,478,83,0,0,0,0,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,31,500,86,1,0,0,0,3,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,32,500,91,1,0,0,0,3,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,33,500,80,1,0,0,1,2,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,34,500,80,1,0,0,0,2,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,35,500,87,0,0,0,2,2,0,0,0,0,0,0,form,other
anger,She was so angry she wanted to,36,500,84,1,0,0,0,2,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,37,500,89,1,0,0,0,2,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,38,500,94,0,0,0,0,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,39,500,85,1,0,0,0,3,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,40,500,84,1,0,0,1,2,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,41,500,91,0,0,0,1,1,0,0,0,0,0,0,form,other
anger,She was so angry she wanted to,42,500,83,0,0,0,0,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,43,500,80,0,0,0,0,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,44,500,72,0,0,0,0,2,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,45,500,87,1,0,0,0,7,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,46,500,87,0,0,0,1,2,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,47,500,87,0,0,0,0,2,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,48,500,86,1,0,0,1,3,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,49,500,87,0,0,0,2,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,50,500,85,1,0,0,0,2,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,51,500,83,0,0,0,1,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,52,500,82,1,0,0,1,3,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,53,500,82,0,0,0,0,1,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,54,500,83,1,0,0,0,3,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,55,500,80,0,0,0,0,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,56,500,90,2,0,0,1,3,1,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,57,500,79,0,0,0,0,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,58,500,80,0,0,0,0,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,59,500,87,1,0,0,2,5,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,60,422,73,1,0,0,0,3,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,61,500,79,1,0,0,0,3,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,62,500,76,0,0,0,0,3,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,63,500,92,1,0,0,0,3,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,64,466,74,1,0,0,0,2,0,0,1,0,0,0,orientation,other
anger,She was so angry she wanted to,65,500,83,0,0,0,0,2,0,0,0,0,0,0,orientation,other
anger,She was so angry she wanted to,66,500,80,0,0,0,1,4,0,0,0,0,0,0,orientation,other
