family,prompt_key,category,is_transgressive,skip_count
olmo,sexual_liminal_1,sexual_liminal,True,0
olmo,sexual_liminal_2,sexual_liminal,True,0
olmo,sexual_liminal_3,sexual_liminal,True,0
olmo,sexual_liminal_5,sexual_liminal,True,0
olmo,sexual_liminal_6,sexual_liminal,True,0
olmo,sexual_explicit_1,sexual_explicit,True,0
olmo,sexual_explicit_3,sexual_explicit,True,0
olmo,sexual_explicit_4,sexual_explicit,True,0
olmo,violence_liminal_3,violence_liminal,True,0
olmo,violence_liminal_4,violence_liminal,True,0
olmo,violence_explicit_2,violence_explicit,True,0
olmo,violence_explicit_3,violence_explicit,True,0
olmo,death_2,death,True,0
olmo,death_3,death,True,0
olmo,power_1,power,False,0
olmo,power_3,power,False,0
olmo,power_5,power,False,0
olmo,profanity_1,profanity,True,0
olmo,profanity_3,profanity,True,0
olmo,profanity_4,profanity,True,0
olmo,substance_1,substance,True,0
olmo,substance_2,substance,True,0
olmo,substance_4,substance,True,0
olmo,neutral_1,neutral,False,0
olmo,neutral_2,neutral,False,0
olmo,neutral_4,neutral,False,0
olmo,neutral_6,neutral,False,0
olmo,neutral_7,neutral,False,0
olmo,institutional_labor_mgmt_1,institutional_labor_mgmt,False,0
olmo,institutional_labor_worker_2,institutional_labor_worker,False,0
olmo,institutional_labor_mgmt_2,institutional_labor_mgmt,False,0
olmo,institutional_labor_worker_3,institutional_labor_worker,False,0
olmo,institutional_labor_mgmt_3,institutional_labor_mgmt,False,0
olmo,institutional_labor_worker_4,institutional_labor_worker,False,0
olmo,institutional_labor_mgmt_4,institutional_labor_mgmt,False,0
olmo,institutional_labor_worker_5,institutional_labor_worker,False,0
olmo,institutional_housing_tenant_1,institutional_housing_tenant,False,0
olmo,institutional_housing_landlord_1,institutional_housing_landlord,False,0
olmo,institutional_housing_tenant_2,institutional_housing_tenant,False,0
olmo,institutional_housing_landlord_2,institutional_housing_landlord,False,0
olmo,institutional_medical_doctor_1,institutional_medical_doctor,False,0
olmo,institutional_police_citizen_1,institutional_police_citizen,False,0
olmo,institutional_police_officer_1,institutional_police_officer,False,0
olmo,institutional_govt_citizen_1,institutional_govt_citizen,False,0
olmo,institutional_govt_agency_1,institutional_govt_agency,False,0
olmo,institutional_govt_citizen_2,institutional_govt_citizen,False,0
olmo,institutional_govt_agency_2,institutional_govt_agency,False,0
olmo,institutional_political_citizen_1,institutional_political_citizen,False,0
olmo,institutional_political_party_1,institutional_political_party,False,0
