layer,word,probability,logit,source,model,model_id
0,gether,0.0648349,10.7031,top_k,base,allenai/Olmo-3-1025-7B
0,asters,0.05049347,10.4531,top_k,base,allenai/Olmo-3-1025-7B
0,asty,0.02205896,9.625,top_k,base,allenai/Olmo-3-1025-7B
0,ffee,0.02040121,9.5469,top_k,base,allenai/Olmo-3-1025-7B
0,/from,0.01665098,9.3438,top_k,base,allenai/Olmo-3-1025-7B
0,fuck,2.45e-06,0.5215,tracked,base,allenai/Olmo-3-1025-7B
0,massage,1.69e-06,0.1494,tracked,base,allenai/Olmo-3-1025-7B
0,kiss,2.9e-07,-1.6299,tracked,base,allenai/Olmo-3-1025-7B
1,gether,0.06735838,9.0469,top_k,base,allenai/Olmo-3-1025-7B
1,asting,0.0291977,8.2109,top_k,base,allenai/Olmo-3-1025-7B
1,obox,0.01485459,7.5352,top_k,base,allenai/Olmo-3-1025-7B
1,asty,0.01428552,7.4961,top_k,base,allenai/Olmo-3-1025-7B
1,iling,0.00718321,6.8086,top_k,base,allenai/Olmo-3-1025-7B
1,fuck,7.85e-06,-0.0104,tracked,base,allenai/Olmo-3-1025-7B
1,massage,6.4e-06,-0.2141,tracked,base,allenai/Olmo-3-1025-7B
1,kiss,2e-07,-3.6719,tracked,base,allenai/Olmo-3-1025-7B
2,asting,0.01598038,6.9414,top_k,base,allenai/Olmo-3-1025-7B
2,iling,0.01319655,6.75,top_k,base,allenai/Olmo-3-1025-7B
2,ting,0.00236601,5.0312,top_k,base,allenai/Olmo-3-1025-7B
2,ledo,0.0021882,4.9531,top_k,base,allenai/Olmo-3-1025-7B
2,…the,0.001779,4.7461,top_k,base,allenai/Olmo-3-1025-7B
2,fuck,5.42e-06,-1.0479,tracked,base,allenai/Olmo-3-1025-7B
2,massage,6.01e-06,-0.9443,tracked,base,allenai/Olmo-3-1025-7B
2,kiss,1.16e-06,-2.5879,tracked,base,allenai/Olmo-3-1025-7B
3,iling,0.07992356,9.3672,top_k,base,allenai/Olmo-3-1025-7B
3,eti,0.00428572,6.4414,top_k,base,allenai/Olmo-3-1025-7B
3,iled,0.00326041,6.168,top_k,base,allenai/Olmo-3-1025-7B
3,inem,0.00307486,6.1094,top_k,base,allenai/Olmo-3-1025-7B
3,ec,0.00282165,6.0234,top_k,base,allenai/Olmo-3-1025-7B
3,fuck,9.43e-06,0.3218,tracked,base,allenai/Olmo-3-1025-7B
3,massage,2.41e-06,-1.04,tracked,base,allenai/Olmo-3-1025-7B
3,kiss,7.3e-07,-2.2324,tracked,base,allenai/Olmo-3-1025-7B
4,iling,0.01773444,7.4766,top_k,base,allenai/Olmo-3-1025-7B
4,idi,0.00840994,6.7305,top_k,base,allenai/Olmo-3-1025-7B
4,deeply,0.00455458,6.1172,top_k,base,allenai/Olmo-3-1025-7B
4,eti,0.00304588,5.7148,top_k,base,allenai/Olmo-3-1025-7B
4,845,0.00226351,5.418,top_k,base,allenai/Olmo-3-1025-7B
4,fuck,6.44e-06,-0.4441,tracked,base,allenai/Olmo-3-1025-7B
4,massage,5.05e-06,-0.687,tracked,base,allenai/Olmo-3-1025-7B
4,kiss,5.07e-06,-0.6826,tracked,base,allenai/Olmo-3-1025-7B
5,downhill,0.00726455,6.3047,top_k,base,allenai/Olmo-3-1025-7B
5,iling,0.00259025,5.2734,top_k,base,allenai/Olmo-3-1025-7B
5,deeply,0.00243332,5.2109,top_k,base,allenai/Olmo-3-1025-7B
5,eti,0.00229484,5.1523,top_k,base,allenai/Olmo-3-1025-7B
5,Dame,0.00187299,4.9492,top_k,base,allenai/Olmo-3-1025-7B
5,fuck,8.47e-06,-0.4495,tracked,base,allenai/Olmo-3-1025-7B
5,massage,5.52e-06,-0.8784,tracked,base,allenai/Olmo-3-1025-7B
5,kiss,2.2e-06,-1.7998,tracked,base,allenai/Olmo-3-1025-7B
6,downhill,0.0037246,5.1875,top_k,base,allenai/Olmo-3-1025-7B
6,Wh,0.00368121,5.1758,top_k,base,allenai/Olmo-3-1025-7B
6,anew,0.00332569,5.0742,top_k,base,allenai/Olmo-3-1025-7B
6,nings,0.00288941,4.9336,top_k,base,allenai/Olmo-3-1025-7B
6,Dame,0.0025699,4.8164,top_k,base,allenai/Olmo-3-1025-7B
6,fuck,6.68e-06,-1.1357,tracked,base,allenai/Olmo-3-1025-7B
6,massage,5.68e-06,-1.2979,tracked,base,allenai/Olmo-3-1025-7B
6,kiss,2.33e-06,-2.1895,tracked,base,allenai/Olmo-3-1025-7B
7,downhill,0.00308107,5.1172,top_k,base,allenai/Olmo-3-1025-7B
7,off,0.00185422,4.6094,top_k,base,allenai/Olmo-3-1025-7B
7,viol,0.00171487,4.5312,top_k,base,allenai/Olmo-3-1025-7B
7,anew,0.00150747,4.4023,top_k,base,allenai/Olmo-3-1025-7B
7,Mahon,0.00150159,4.3984,top_k,base,allenai/Olmo-3-1025-7B
7,fuck,2.23e-06,-2.1133,tracked,base,allenai/Olmo-3-1025-7B
7,massage,2.1e-06,-2.1719,tracked,base,allenai/Olmo-3-1025-7B
7,kiss,2.14e-06,-2.1543,tracked,base,allenai/Olmo-3-1025-7B
8,matters,0.00229669,4.3867,top_k,base,allenai/Olmo-3-1025-7B
8,anew,0.00211581,4.3047,top_k,base,allenai/Olmo-3-1025-7B
8,the,0.00190402,4.1992,top_k,base,allenai/Olmo-3-1025-7B
8,regress,0.00166072,4.0625,top_k,base,allenai/Olmo-3-1025-7B
8,towards,0.00162859,4.043,top_k,base,allenai/Olmo-3-1025-7B
8,fuck,1.24e-06,-3.1348,tracked,base,allenai/Olmo-3-1025-7B
8,massage,2.14e-06,-2.5918,tracked,base,allenai/Olmo-3-1025-7B
8,kiss,1.03e-06,-3.3184,tracked,base,allenai/Olmo-3-1025-7B
9,orda,0.00373644,5.8086,top_k,base,allenai/Olmo-3-1025-7B
9,anew,0.00294424,5.5703,top_k,base,allenai/Olmo-3-1025-7B
9,iance,0.00190094,5.1328,top_k,base,allenai/Olmo-3-1025-7B
9,matters,0.00187147,5.1172,top_k,base,allenai/Olmo-3-1025-7B
9,qua,0.00181389,5.0859,top_k,base,allenai/Olmo-3-1025-7B
9,fuck,2.5e-06,-1.501,tracked,base,allenai/Olmo-3-1025-7B
9,massage,1.29e-06,-2.1602,tracked,base,allenai/Olmo-3-1025-7B
9,kiss,1.23e-06,-2.209,tracked,base,allenai/Olmo-3-1025-7B
10,anew,0.00316582,5.0742,top_k,base,allenai/Olmo-3-1025-7B
10,orda,0.00303267,5.0312,top_k,base,allenai/Olmo-3-1025-7B
10,realised,0.00129419,4.1797,top_k,base,allenai/Olmo-3-1025-7B
10,Morton,0.00124461,4.1406,top_k,base,allenai/Olmo-3-1025-7B
10,the,0.00123975,4.1367,top_k,base,allenai/Olmo-3-1025-7B
10,fuck,5.31e-06,-1.3154,tracked,base,allenai/Olmo-3-1025-7B
10,massage,2.15e-06,-2.2207,tracked,base,allenai/Olmo-3-1025-7B
10,kiss,7.2e-07,-3.3164,tracked,base,allenai/Olmo-3-1025-7B
11,orda,0.00423318,5.9102,top_k,base,allenai/Olmo-3-1025-7B
11,Vi,0.00146295,4.8477,top_k,base,allenai/Olmo-3-1025-7B
11,matters,0.00139595,4.8008,top_k,base,allenai/Olmo-3-1025-7B
11,loth,0.00139051,4.7969,top_k,base,allenai/Olmo-3-1025-7B
11,iance,0.00134773,4.7656,top_k,base,allenai/Olmo-3-1025-7B
11,fuck,8.13e-06,-0.3452,tracked,base,allenai/Olmo-3-1025-7B
