check,cut,side,base,aligned,delta_pp,headroom_pct,log_odds,risk_ratio,aligned_arm,ind_delta_pp_cut3,inst_delta_pp_cut3,ind_delta_pp_cut4,inst_delta_pp_cut4,ind_ordinal_delta,inst_ordinal_delta
threshold_sweep,2.0,individual,82.56666666666666,90.09494482935591,7.528278162689251,43.18323993894408,0.6525968412791652,1.0911781771823486,,,,,,,
threshold_sweep,2.0,institution,94.39999999999999,97.35422553300796,2.9542255330079703,52.75402737514228,0.7806178344364869,1.031294762002203,,,,,,,
threshold_sweep,3.0,individual,72.73333333333333,79.11213754169874,6.378804208365407,23.39414746344282,0.35056323209334095,1.087701249427572,,,,,,,
threshold_sweep,3.0,institution,91.06666666666666,94.78551245825841,3.7188457915917517,41.62887080140018,0.5783735178129623,1.040836520405473,,,,,,,
threshold_sweep,4.0,individual,27.6,32.99974339235309,5.39974339235309,7.45820910546007,0.2561938627670022,1.1956428765345322,,,,,,,
threshold_sweep,4.0,institution,51.76666666666667,61.28949396352428,9.522827296857606,19.743249406062766,0.38880130751416264,1.1839567410854657,,,,,,,
threshold_sweep,5.0,individual,18.5,16.320246343341033,-2.179753656658967,-2.6745443639987325,-0.15175832428665914,0.8821754780184342,,,,,,,
threshold_sweep,5.0,institution,32.56666666666666,29.95119445157976,-2.615472215086906,-3.878604372348353,-0.12177283081018797,0.9196886730270142,,,,,,,
arm_sensitivity,,,,,,,,,dpo+rlvr,6.561401000714795,3.68649336195247,5.090016678579934,10.00294936004451,0.16684345961401004,0.13982494633913678
arm_sensitivity,,,,,,,,,dpo,6.77560877033444,3.56318770226538,6.016247347681114,10.126537216828469,0.1893949681721736,0.1445364077669904
arm_sensitivity,,,,,,,,,sft+dpo+rlvr,3.7176339782076906,2.8595806218365882,3.1871914609739815,7.4357361366038095,0.09674049366244164,0.10093208743534143
arm_sensitivity,,,,,,,,,sft+dpo,3.3553288871452813,2.634275248560969,3.4513927030207894,7.063788592360021,0.09898548450372724,0.09713343799058105
arm_sensitivity,,,,,,,,,sft,-2.916768575134343,0.9333333333333416,-1.2520289049471944,1.4555555555555544,-0.066807115063924,0.010333333333333528
