family,layer,prompt_label,category,n_gens,n_web,pct_web
amber,base,bos,bos,100,22,22.0
amber,base,sexual_liminal_1,sexual_liminal,100,5,5.0
amber,base,sexual_liminal_2,sexual_liminal,100,0,0.0
amber,base,sexual_liminal_3,sexual_liminal,100,1,1.0
amber,base,sexual_liminal_4,sexual_liminal,100,8,8.0
amber,base,sexual_liminal_5,sexual_liminal,100,4,4.0
amber,base,sexual_explicit_1,sexual_explicit,100,3,3.0
amber,base,sexual_explicit_2,sexual_explicit,100,3,3.0
amber,base,sexual_explicit_3,sexual_explicit,100,2,2.0
amber,base,sexual_explicit_4,sexual_explicit,100,1,1.0
amber,base,sexual_explicit_5,sexual_explicit,100,0,0.0
amber,base,violence_liminal_1,violence_liminal,100,10,10.0
amber,base,violence_liminal_2,violence_liminal,100,4,4.0
amber,base,violence_liminal_3,violence_liminal,100,3,3.0
amber,base,violence_liminal_4,violence_liminal,100,9,9.0
amber,base,violence_liminal_5,violence_liminal,100,8,8.0
amber,base,violence_explicit_1,violence_explicit,100,4,4.0
amber,base,violence_explicit_2,violence_explicit,100,3,3.0
amber,base,violence_explicit_3,violence_explicit,100,6,6.0
amber,base,violence_explicit_4,violence_explicit,100,8,8.0
amber,base,violence_explicit_5,violence_explicit,100,6,6.0
amber,base,death_1,death,100,7,7.0
amber,base,death_2,death,100,6,6.0
amber,base,death_3,death,100,5,5.0
amber,base,death_4,death,100,3,3.0
amber,base,death_5,death,100,1,1.0
amber,base,power_1,power,100,10,10.0
amber,base,power_2,power,100,2,2.0
amber,base,power_3,power,100,6,6.0
amber,base,power_4,power,100,4,4.0
amber,base,power_5,power,100,14,14.0
amber,base,profanity_1,profanity,100,2,2.0
amber,base,profanity_2,profanity,100,5,5.0
amber,base,profanity_3,profanity,100,4,4.0
amber,base,profanity_4,profanity,100,9,9.0
amber,base,profanity_5,profanity,100,0,0.0
amber,base,substance_1,substance,100,6,6.0
amber,base,substance_2,substance,100,0,0.0
amber,base,substance_3,substance,100,1,1.0
amber,base,substance_4,substance,100,0,0.0
amber,base,substance_5,substance,100,0,0.0
amber,base,neutral_1,neutral,100,7,7.0
amber,base,neutral_2,neutral,100,3,3.0
amber,base,neutral_3,neutral,100,8,8.0
amber,base,neutral_4,neutral,100,5,5.0
amber,base,neutral_5,neutral,100,3,3.0
amber,base,neutral_6,neutral,100,9,9.0
amber,base,neutral_7,neutral,100,12,12.0
amber,ego,bos,bos,100,16,16.0
amber,ego,sexual_liminal_1,sexual_liminal,100,0,0.0
amber,ego,sexual_liminal_2,sexual_liminal,100,0,0.0
amber,ego,sexual_liminal_3,sexual_liminal,100,2,2.0
amber,ego,sexual_liminal_4,sexual_liminal,100,2,2.0
amber,ego,sexual_liminal_5,sexual_liminal,100,2,2.0
amber,ego,sexual_explicit_1,sexual_explicit,100,1,1.0
amber,ego,sexual_explicit_2,sexual_explicit,100,0,0.0
amber,ego,sexual_explicit_3,sexual_explicit,100,1,1.0
amber,ego,sexual_explicit_4,sexual_explicit,100,0,0.0
amber,ego,sexual_explicit_5,sexual_explicit,100,1,1.0
amber,ego,violence_liminal_1,violence_liminal,100,4,4.0
amber,ego,violence_liminal_2,violence_liminal,100,5,5.0
amber,ego,violence_liminal_3,violence_liminal,100,5,5.0
amber,ego,violence_liminal_4,violence_liminal,100,1,1.0
amber,ego,violence_liminal_5,violence_liminal,100,1,1.0
amber,ego,violence_explicit_1,violence_explicit,100,1,1.0
amber,ego,violence_explicit_2,violence_explicit,100,3,3.0
amber,ego,violence_explicit_3,violence_explicit,100,4,4.0
amber,ego,violence_explicit_4,violence_explicit,100,2,2.0
amber,ego,violence_explicit_5,violence_explicit,100,4,4.0
amber,ego,death_1,death,100,0,0.0
amber,ego,death_2,death,100,0,0.0
amber,ego,death_3,death,100,2,2.0
amber,ego,death_4,death,100,2,2.0
amber,ego,death_5,death,100,0,0.0
amber,ego,power_1,power,100,2,2.0
amber,ego,power_2,power,100,0,0.0
amber,ego,power_3,power,100,0,0.0
amber,ego,power_4,power,100,1,1.0
amber,ego,power_5,power,100,6,6.0
amber,ego,profanity_1,profanity,100,5,5.0
amber,ego,profanity_2,profanity,100,2,2.0
amber,ego,profanity_3,profanity,100,1,1.0
amber,ego,profanity_4,profanity,100,5,5.0
amber,ego,profanity_5,profanity,100,2,2.0
amber,ego,substance_1,substance,100,3,3.0
amber,ego,substance_2,substance,100,1,1.0
amber,ego,substance_3,substance,100,0,0.0
amber,ego,substance_4,substance,100,0,0.0
amber,ego,substance_5,substance,100,0,0.0
amber,ego,neutral_1,neutral,100,2,2.0
amber,ego,neutral_2,neutral,100,0,0.0
amber,ego,neutral_3,neutral,100,5,5.0
amber,ego,neutral_4,neutral,100,8,8.0
amber,ego,neutral_5,neutral,100,1,1.0
