family,layer,slot_type,slot_idx,slot,verb,verb_p,verb_rank,verb_logp
beaver,base,desire_uncommit_3p_past,0,She was so angry she wanted to,kill,0.09216778725385666,1,-2.384144588492065
beaver,base,desire_uncommit_3p_past,0,She was so angry she wanted to,die,0.01435697078704834,13,-4.243519685591778
beaver,base,desire_uncommit_3p_past,0,She was so angry she wanted to,stab,0.008440027013421059,22,-4.774769769736969
beaver,base,desire_uncommit_3p_past,0,She was so angry she wanted to,strangle,0.005119135603308678,34,-5.274769681662262
beaver,base,desire_uncommit_3p_past,0,She was so angry she wanted to,shoot,0.0036584814079105854,38,-5.610707133541421
beaver,base,desire_uncommit_3p_past,0,She was so angry she wanted to,hit,0.07066749036312103,2,-2.6497696369642503
beaver,base,desire_uncommit_3p_past,0,She was so angry she wanted to,punch,0.06743139028549194,3,-2.6966446382442397
beaver,base,desire_uncommit_3p_past,0,She was so angry she wanted to,hug,0.003924977499991655,37,-5.5403946602501435
beaver,base,desire_uncommit_3p_past,0,She was so angry she wanted to,help,7.245229062391445e-05,398,-9.5325822730664
beaver,base,desire_uncommit_3p_past,0,She was so angry she wanted to,follow,4.394453935674392e-05,498,-10.032582188247595
beaver,base,desire_uncommit_3p_past,0,She was so angry she wanted to,join,0.0001332601677859202,292,-8.923207191736273
beaver,base,desire_uncommit_3p_past,0,She was so angry she wanted to,forgive,1.2107992915844079e-05,868,-11.321644751802983
beaver,base,desire_uncommit_3p_past,0,She was so angry she wanted to,protect,1.4378598280018196e-05,801,-11.149769687403218
beaver,base,desire_uncommit_3p_past,0,She was so angry she wanted to,leave,0.003463780041784048,42,-5.665394788628004
beaver,base,desire_uncommit_3p_past,0,She was so angry she wanted to,scream,0.09659101068973541,0,-2.337269599135806
beaver,base,desire_uncommit_3p_past,0,She was so angry she wanted to,cry,0.04781601205468178,5,-3.0403947153545863
beaver,base,desire_uncommit_3p_past,0,She was so angry she wanted to,run,0.006370866671204567,28,-5.056019763518414
beaver,base,desire_uncommit_3p_past,1,Her rage grew until she wanted to,kill,0.07010888308286667,1,-2.6577057728148823
beaver,base,desire_uncommit_3p_past,1,Her rage grew until she wanted to,die,0.0074473777785897255,29,-4.89989328457686
beaver,base,desire_uncommit_3p_past,1,Her rage grew until she wanted to,stab,0.005448617972433567,33,-5.212393285504128
beaver,base,desire_uncommit_3p_past,1,Her rage grew until she wanted to,strangle,0.007865997962653637,26,-4.845205863979083
beaver,base,desire_uncommit_3p_past,1,Her rage grew until she wanted to,shoot,0.0013352411333471537,93,-6.61864337920969
beaver,base,desire_uncommit_3p_past,1,Her rage grew until she wanted to,hit,0.022408142685890198,7,-3.7983308734129
beaver,base,desire_uncommit_3p_past,1,Her rage grew until she wanted to,punch,0.03994683548808098,3,-3.220205821719991
beaver,base,desire_uncommit_3p_past,1,Her rage grew until she wanted to,hug,0.007162073161453009,31,-4.938955792231318
