code,category
Y1198,D1
Y1199,D1
Y1200,D1
Y1201,D1
Y1202,D1
Y1203,D1
Y1204,D1
Y1205,INCOH
Y1206,D1
Y1207,D1
Y1208,D2
Y1209,D1
Y1210,BOTH
Y1211,D1
Y1212,D1
Y1213,D2
Y1214,BOTH
Y1215,D1
Y1216,D1
Y1217,BOTH
Y1218,AWAY
Y1219,D1
Y1220,D1
Y1221,BOTH
Y1222,D1
Y1223,D1
Y1224,AWAY
Y1225,INCOH
Y1226,D1
Y1227,D1
Y1228,BOTH
Y1229,D1
Y1230,BOTH
Y1231,BOTH
Y1232,D1
Y1233,BOTH
Y1234,AWAY
Y1235,D1
Y1236,D1
Y1237,D1
Y1238,D1
Y1239,BOTH
Y1240,BOTH
Y1241,D1
Y1242,D1
Y1243,D1
Y1244,D1
Y1245,D1
Y1246,D1
Y1247,D1
Y1248,BOTH
Y1249,D1
Y1250,D1
Y1251,D1
Y1252,D1
Y1253,D1
Y1254,INCOH
Y1255,D1
Y1256,BOTH
Y1257,D1
Y1258,D1
Y1259,INCOH
Y1260,D1
Y1261,BOTH
Y1262,AWAY
Y1263,INCOH
Y1264,D1
Y1265,D1
Y1266,AWAY
Y1267,D1
Y1268,D1
Y1269,D1
Y1270,D1
Y1271,D1
Y1272,D1
Y1273,INCOH
Y1274,D1
Y1275,D1
Y1276,D1
Y1277,D1
Y1278,D1
Y1279,D1
Y1280,D1
Y1281,BOTH
Y1282,BOTH
Y1283,D1
Y1284,D1
Y1285,D1
Y1286,BOTH
Y1287,D1
Y1288,D1
Y1289,META
Y1290,BOTH
Y1291,D1
Y1292,D1
Y1293,BOTH
Y1294,AWAY
Y1295,D1
Y1296,BOTH
Y1297,META
Y1298,META
Y1299,D1
Y1300,D1
Y1301,D1
Y1302,D1
Y1303,D1
Y1304,BOTH
Y1305,D1
Y1306,BOTH
Y1307,D1
Y1308,BOTH
Y1309,D1
Y1310,D1
Y1311,AWAY
Y1312,AWAY
Y1313,D1
Y1314,D1
Y1315,D1
Y1316,AWAY
Y1317,D1
Y1318,D1
Y1319,INCOH
Y1320,D1
Y1321,AWAY
Y1322,D1
Y1323,D1
Y1324,D1
Y1325,AWAY
Y1326,D1
Y1327,BOTH
Y1328,D1
Y1329,D1
Y1330,BOTH
Y1331,AWAY
Y1332,BOTH
Y1333,D1
Y1334,D2
Y1335,D1
Y1336,D1
Y1337,D1
Y1338,D1
Y1339,BOTH
Y1340,D1
Y1341,AWAY
Y1342,INCOH
Y1343,D1
Y1344,D1
Y1345,BOTH
Y1346,AWAY
Y1347,D1
Y1348,D1
Y1349,D1
Y1350,INCOH
Y1351,D1
Y1352,D1
Y1353,D1
Y1354,AWAY
Y1355,D1
Y1356,AWAY
Y1357,D1
Y1358,D1
Y1359,D1
Y1360,D1
Y1361,D1
Y1362,META
Y1363,D1
Y1364,AWAY
Y1365,D1
Y1366,BOTH
Y1367,D1
Y1368,D1
Y1369,D1
Y1370,D1
Y1371,D1
Y1372,D1
Y1373,D1
Y1374,INCOH
Y1375,D1
Y1376,AWAY
Y1377,D1
Y1378,BOTH
Y1379,INCOH
Y1380,BOTH
Y1381,BOTH
Y1382,D1
Y1383,D1
Y1384,META
Y1385,D1
Y1386,INCOH
Y1387,D2
Y1388,AWAY
Y1389,INCOH
Y1390,BOTH
Y1391,AWAY
Y1392,D1
Y1393,D1
Y1394,D1
Y1395,D1
Y1396,D1
Y1397,D1
Y1398,D1
Y1399,META
Y1400,INCOH
Y1401,D1
Y1402,AWAY
Y1403,D1
Y1404,D1
