code,model,fluency,genre,inwardness,content_realization,impulse_containment,affect_location,conflict_location,intensity_trajectory,tact,closure,frame_integrity,scene_displacement,register,binding,subject_stability,cast_size,notes
S0001,deepseek/deepseek-v4-flash,3,literary_fiction,0,alluded,none,reflective,intrapsychic,downshifts,absent,none,intact,none,neutral,2,minor_drift,three_plus,"The continuation introduces multiple characters and jumps between scenes, but the opening act of rolling a joint reappears in a different context."
S0002,deepseek/deepseek-v4-flash,3,genre_fiction,2,absent,none,none,interpersonal,sustains,absent,none,intact,re_registered,neutral,2,minor_drift,three_plus,
S0003,deepseek/deepseek-v4-flash,2,other,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,demotic,1,minor_drift,one,"The continuation shifts from complaint testimony to an unrelated translation request, breaking the narrative frame entirely."
S0004,deepseek/deepseek-v4-flash,3,genre_fiction,2,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,demotic,2,unanchored,three_plus,
S0005,deepseek/deepseek-v4-flash,4,other,0,alluded,by_character,none,none,sustains,absent,none,intact,re_registered,neutral,3,stable,three_plus,
S0006,deepseek/deepseek-v4-flash,2,fragment,0,absent,none,none,none,sustains,absent,none,intact,none,neutral,1,unanchored,three_plus,"The text appears to be a disjointed jumble of multiple unrelated fragments, possibly a student's mixed notes."
S0007,deepseek/deepseek-v4-flash,4,advice_or_essay,0,alluded,by_character,none,intrapsychic,sustains,absent,none,genre_rupture,re_registered,neutral,2,stable,one,
S0008,deepseek/deepseek-v4-flash,2,advice_or_essay,2,alluded,by_narrator,named_emotion,intrapsychic,sustains,absent,none,narrator_intrusion,re_registered,demotic,2,unanchored,two,Unclear shift from third to first person; fragmentary ending.
S0009,deepseek/deepseek-v4-flash,1,fragment,0,absent,none,none,none,downshifts,absent,none,genre_rupture,re_registered,demotic,1,unanchored,three_plus,
S0010,deepseek/deepseek-v4-flash,1,fragment,2,alluded,by_scene_change,none,both,sustains,absent,none,intact,re_registered,demotic,1,unanchored,three_plus,
S0011,deepseek/deepseek-v4-flash,1,fragment,0,absent,none,none,none,sustains,absent,none,intact,re_registered,demotic,1,unanchored,three_plus,
S0012,deepseek/deepseek-v4-flash,2,other,0,alluded,none,none,interpersonal,downshifts,absent,none,intact,none,demotic,2,unanchored,three_plus,
S0013,deepseek/deepseek-v4-flash,3,genre_fiction,0,realized,none,named_emotion,interpersonal,sustains,absent,none,genre_rupture,none,neutral,3,unanchored,three_plus,
S0014,deepseek/deepseek-v4-flash,1,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,"Continuation is garbled text, possibly from a website copy-paste, with fragments and headlines unrelated to the opening."
S0015,deepseek/deepseek-v4-flash,2,advice_or_essay,0,alluded,none,named_emotion,none,sustains,absent,none,narrator_intrusion,re_registered,demotic,1,unanchored,three_plus,
S0016,deepseek/deepseek-v4-flash,3,literary_fiction,2,realized,none,somatic_enacted,none,sustains,absent,none,intact,none,elevated,2,minor_drift,three_plus,
S0017,deepseek/deepseek-v4-flash,5,genre_fiction,2,realized,none,somatic_enacted,interpersonal,sustains,absent,none,intact,none,neutral,3,stable,two,
S0018,deepseek/deepseek-v4-flash,1,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,"The continuation is a concatenation of unrelated fragments and headlines, abandoning the opening entirely."
S0019,deepseek/deepseek-v4-flash,3,genre_fiction,2,realized,none,named_emotion,interpersonal,downshifts,absent,partial,intact,none,demotic,3,minor_drift,three_plus,
S0020,deepseek/deepseek-v4-flash,4,other,0,realized,none,none,none,downshifts,absent,none,genre_rupture,none,demotic,2,minor_drift,one,
S0021,deepseek/deepseek-v4-flash,3,list_or_qa,2,alluded,none,named_emotion,intrapsychic,downshifts,present,rounded_moralized,genre_rupture,re_registered,neutral,2,minor_drift,three_plus,
S0022,deepseek/deepseek-v4-flash,2,fragment,0,absent,none,named_emotion,interpersonal,sustains,absent,none,intact,re_registered,elevated,1,unanchored,three_plus,"The continuation abandons the personal decision setup for a disjointed political rant, mixing questions, names, and UN charter language without coherent structure."
S0023,deepseek/deepseek-v4-flash,2,fragment,0,realized,none,none,interpersonal,downshifts,absent,none,genre_rupture,re_registered,demotic,1,unanchored,three_plus,
S0024,deepseek/deepseek-v4-flash,3,literary_fiction,3,alluded,none,reflective,intrapsychic,downshifts,absent,none,intact,none,neutral,3,stable,two,
S0025,deepseek/deepseek-v4-flash,5,literary_fiction,2,realized,none,named_emotion,interpersonal,downshifts,absent,none,intact,re_registered,elevated,3,stable,two,
S0026,deepseek/deepseek-v4-flash,2,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,elevated,1,unanchored,one,Continuation is a series of unrelated fragments and a shift to academic discourse.
S0027,deepseek/deepseek-v4-flash,2,other,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,three_plus,"Multimedia fragment with textbook excerpt, photo caption, and dialogue; no coherent scene."
S0028,deepseek/deepseek-v4-flash,1,fragment,0,absent,none,none,none,sustains,absent,none,intact,none,demotic,1,unanchored,three_plus,Continuation is incoherent word salad with no coherent narrative or scene.
S0029,deepseek/deepseek-v4-flash,3,literary_fiction,2,alluded,none,named_emotion,none,sustains,absent,none,intact,none,elevated,3,stable,one,
S0030,deepseek/deepseek-v4-flash,2,other,0,alluded,none,none,interpersonal,downshifts,absent,none,genre_rupture,re_registered,neutral,1,unanchored,three_plus,
S0031,deepseek/deepseek-v4-flash,1,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,demotic,1,unanchored,none,
