family,base_eff_vocab,aligned_eff_vocab,base_entropy,aligned_entropy
amber,137,51,5.411539554595947,3.3437092304229736
amber,121,45,4.9948296546936035,2.6475987434387207
amber,121,57,4.654358863830566,2.3962888717651367
amber,113,42,4.43804931640625,1.7071313858032227
amber,93,18,4.134865760803223,1.7635958194732666
amber,72,36,3.144230842590332,1.934148907661438
amber,96,25,4.3111066818237305,2.182408332824707
amber,66,29,3.003850221633911,1.2974401712417603
amber,154,34,5.444485664367676,2.0696346759796143
amber,39,2,1.854875087738037,0.297992467880249
amber,87,40,4.1074066162109375,2.7628092765808105
amber,137,59,5.03962516784668,3.3695907592773438
amber,116,125,4.830467700958252,4.797535419464111
amber,78,28,3.5643112659454346,2.2206149101257324
amber,126,24,4.900270462036133,1.719843864440918
amber,60,17,3.043468475341797,1.8188114166259766
amber,51,13,2.5166447162628174,1.1658686399459839
amber,31,9,2.3406736850738525,0.8629802465438843
amber,78,32,3.1243274211883545,1.9198048114776611
amber,40,15,2.620072603225708,0.6797024607658386
amber,12,2,0.5063015222549438,0.3829875588417053
amber,157,66,5.47891092300415,3.5024280548095703
amber,60,34,3.737992286682129,2.8391735553741455
amber,61,30,3.7890396118164062,1.9777714014053345
amber,108,48,4.447336673736572,2.6500296592712402
amber,90,42,4.319263458251953,2.6731057167053223
amber,49,24,3.101529359817505,1.5363328456878662
amber,116,29,4.676787376403809,1.7023274898529053
amber,141,87,5.317075252532959,4.124242782592773
amber,70,28,3.398414134979248,1.9234709739685059
amber,92,35,4.388310432434082,2.522275924682617
amber,50,16,3.3460683822631836,1.8015532493591309
amber,81,41,4.343553066253662,2.919616222381592
amber,63,23,3.729816436767578,1.8267030715942383
amber,63,20,3.5104305744171143,1.4889256954193115
amber,126,56,4.82286262512207,2.697420120239258
amber,145,57,5.207818508148193,2.8370094299316406
amber,123,42,5.064578056335449,2.926473617553711
amber,136,94,4.954050064086914,4.428213119506836
amber,129,95,5.393731594085693,4.4613447189331055
amber,84,24,4.278822422027588,1.0011669397354126
amber,86,33,3.9600987434387207,1.5823532342910767
amber,66,38,3.823103666305542,2.663313388824463
amber,98,46,4.661235809326172,2.811626434326172
amber,87,87,5.688683986663818,4.31774377822876
amber,126,67,5.049830913543701,3.505573034286499
amber,141,152,6.56427001953125,5.149420738220215
amber,40,28,2.2716660499572754,2.483006000518799
amber,76,37,3.624101161956787,2.804586887359619
amber,94,27,4.373619556427002,2.0643680095672607
amber,98,41,4.231048583984375,2.8849098682403564
amber,118,28,4.920367240905762,1.7864789962768555
amber,81,21,4.203024864196777,1.148964285850525
amber,47,53,2.7772421836853027,3.08288311958313
amber,111,8,4.69774055480957,0.6354727745056152
amber,93,25,4.143585681915283,2.2437782287597656
amber,79,10,4.141933441162109,0.5648549795150757
amber,72,9,3.337550640106201,1.4049677848815918
amber,98,14,4.224797248840332,1.0357599258422852
amber,69,15,3.402644395828247,0.5045819282531738
amber,99,52,4.422219276428223,3.100090503692627
amber,53,30,2.666367530822754,2.232194662094116
amber,100,39,4.580637454986572,2.033813714981079
amber,85,15,3.81931209564209,1.435873031616211
amber,96,26,4.135662078857422,1.908430814743042
amber,30,16,1.8087658882141113,0.5052492618560791
amber,95,49,4.394618988037109,3.3184127807617188
amber,98,20,4.232470989227295,1.237783670425415
amber,83,64,4.040703773498535,3.1976819038391113
amber,104,45,4.5921525955200195,2.8839452266693115
amber,117,41,4.732567310333252,2.5885345935821533
deepseek-7b,164,128,6.729513168334961,6.205163478851318
deepseek-7b,148,131,5.586339473724365,5.419244289398193
deepseek-7b,138,127,5.768360137939453,5.497208595275879
deepseek-7b,134,155,5.756900787353516,5.729225158691406
deepseek-7b,97,68,4.70712423324585,3.517123222351074
deepseek-7b,91,100,4.111648082733154,4.783895492553711
deepseek-7b,173,142,6.252336502075195,5.672179222106934
deepseek-7b,152,111,6.100788593292236,4.964508533477783
deepseek-7b,147,142,6.185537815093994,5.887772083282471
deepseek-7b,63,32,3.6076982021331787,2.1002020835876465
deepseek-7b,106,77,4.783146858215332,3.380664825439453
deepseek-7b,152,131,5.576178073883057,5.243565559387207
deepseek-7b,140,134,6.14879035949707,6.269861698150635
deepseek-7b,118,132,5.330984115600586,5.511938095092773
deepseek-7b,153,151,6.24775505065918,5.674637794494629
deepseek-7b,129,126,5.387353897094727,5.163188934326172
deepseek-7b,90,71,4.813502311706543,4.258121013641357
deepseek-7b,77,36,3.871234178543091,2.4568440914154053
deepseek-7b,149,128,6.274985313415527,5.804660797119141
deepseek-7b,89,135,4.219475746154785,5.371029376983643
deepseek-7b,64,45,3.862501859664917,2.999006509780884
deepseek-7b,139,137,6.859293460845947,7.00673246383667
deepseek-7b,109,104,5.702660083770752,5.99868631362915
deepseek-7b,91,90,4.968591213226318,4.886050224304199
deepseek-7b,134,113,5.638061046600342,5.000546932220459
deepseek-7b,108,107,5.14003849029541,4.85291051864624
deepseek-7b,37,39,2.6372687816619873,2.490598678588867
deepseek-7b,136,139,5.769276142120361,5.644918918609619
deepseek-7b,155,150,5.982608318328857,5.6506476402282715
deepseek-7b,100,91,5.044900894165039,4.878978729248047
deepseek-7b,87,99,4.21724796295166,4.580881118774414
deepseek-7b,77,66,4.37730073928833,4.045321464538574
deepseek-7b,70,60,4.196560859680176,2.874642848968506
deepseek-7b,73,61,4.010807037353516,3.590834856033325
deepseek-7b,72,57,4.1862664222717285,3.4498307704925537
deepseek-7b,171,174,6.936441898345947,6.628935813903809
deepseek-7b,151,151,5.725223541259766,5.649832248687744
deepseek-7b,148,126,5.827960014343262,5.340295314788818
deepseek-7b,165,162,5.979137420654297,5.914064884185791
deepseek-7b,151,155,6.154998779296875,6.190689563751221
deepseek-7b,47,18,2.1795496940612793,0.7912472486495972
deepseek-7b,138,128,5.692757606506348,4.997810363769531
deepseek-7b,87,75,4.503876686096191,4.444701194763184
deepseek-7b,137,106,5.911651611328125,5.43436861038208
deepseek-7b,94,107,5.629251480102539,5.985602855682373
deepseek-7b,123,139,5.427759647369385,5.037775993347168
deepseek-7b,161,159,6.987279891967773,7.078403472900391
deepseek-7b,39,36,2.341520309448242,2.041638135910034
deepseek-7b,73,85,4.087903022766113,4.1942853927612305
deepseek-7b,82,82,4.104207992553711,3.957730770111084
deepseek-7b,79,90,3.8244144916534424,3.912282943725586
deepseek-7b,98,98,4.339834690093994,4.270219802856445
deepseek-7b,65,73,3.6012980937957764,3.786689043045044
deepseek-7b,55,37,2.8035552501678467,2.3637406826019287
deepseek-7b,88,103,4.2385077476501465,4.432312965393066
deepseek-7b,49,37,2.9356002807617188,2.500070095062256
deepseek-7b,45,40,2.976109504699707,2.665708065032959
deepseek-7b,59,53,2.9454755783081055,2.811638355255127
deepseek-7b,80,92,3.6062779426574707,3.5685853958129883
deepseek-7b,65,63,3.104581117630005,3.102217674255371
deepseek-7b,100,94,4.125971794128418,4.159972190856934
deepseek-7b,36,29,1.938876748085022,1.5861250162124634
deepseek-7b,90,93,4.007798671722412,4.080004692077637
deepseek-7b,43,41,2.2603232860565186,2.210232734680176
deepseek-7b,113,79,4.5243659019470215,3.7066404819488525
deepseek-7b,31,25,1.7405112981796265,1.6027987003326416
deepseek-7b,65,67,3.6006715297698975,3.350796937942505
deepseek-7b,91,96,3.7107865810394287,3.973011016845703
deepseek-7b,85,109,3.8987748622894287,4.25691032409668
deepseek-7b,79,67,3.8916871547698975,3.46537184715271
deepseek-7b,113,109,4.051302433013916,4.28074836730957
llama,116,112,5.004891395568848,5.082219123840332
llama,92,32,4.52745246887207,1.8257029056549072
llama,108,94,4.480870723724365,4.203319072723389
llama,127,131,5.292775630950928,5.456933975219727
llama,73,63,3.8476784229278564,3.633087396621704
llama,57,38,3.3206191062927246,2.404310703277588
llama,72,80,3.863450765609741,3.9418129920959473
llama,91,105,4.468435287475586,4.880457878112793
