idx,_id,year,author,title,n_words,passage_seq,dialogue_density,blt_bits_per_char,pythia_loss,pythia_chars_per_token,pythia_n_tokens,qc
0,_eebo_tcp/A05159,1484,"La Tour Landry, Geoffroy de, 14th cent.","[Here begynneth the booke which the knyght of the toure made,",621,6,sparse,1.8027128860485413,4.404819965362549,3.805812417437252,512,1450
1,_earlyprint/A14476,1490,Virgil. Aeneis.,"Here fynyssheth the boke yf [sic] Eneydos, compyled by Vyrgyle, which hathe be translated oute of latyne in to frenshe, and oute of frenshe reduced in to Englysshe by me wyll[ia]m Caxton, the xxij. daye of Iuyn. the yere of our lorde. M.iiij.Clxxxx. The fythe yere of the regne of kynge Henry the seuenth",504,45,none,,4.7408623695373535,4.299684542586751,512,1450
2,_earlyprint/A14476,1490,Virgil. Aeneis.,"Here fynyssheth the boke yf [sic] Eneydos, compyled by Vyrgyle, which hathe be translated oute of latyne in to frenshe, and oute of frenshe reduced in to Englysshe by me wyll[ia]m Caxton, the xxij. daye of Iuyn. the yere of our lorde. M.iiij.Clxxxx. The fythe yere of the regne of kynge Henry the seuenth",503,55,sparse,,5.182207107543945,4.04860088365243,512,1450
3,_eebo_tcp/A08928,1492,"Pierre, de la Cépède, 15th cent.",Thystorye of the right noble and worthy knyght parys and of the fayre vyenne the dolphyns doughter of vyennoys.,528,11,sparse,,3.7277114391326904,3.2198830409356725,512,1450
4,_earlyprint/A19162,1496,"Joannes, of Hildesheim, d. 1375.",[The lyfe of the thre kynges of Coleyne],519,4,none,1.3720117491746024,3.7085797786712646,4.191626409017713,512,1450
5,_earlyprint/A19162,1496,"Joannes, of Hildesheim, d. 1375.",[The lyfe of the thre kynges of Coleyne],509,8,sparse,1.4579302511623522,4.192650318145752,4.1435257410296416,512,1450
6,_earlyprint/A19162,1496,"Joannes, of Hildesheim, d. 1375.",[The lyfe of the thre kynges of Coleyne],530,16,none,,3.6614346504211426,4.264475743348982,512,1450
7,_earlyprint/A19162,1496,"Joannes, of Hildesheim, d. 1375.",[The lyfe of the thre kynges of Coleyne],515,25,none,1.9014466951190432,4.223715782165527,3.9178885630498534,512,1450
8,_earlyprint/A19162,1496,"Joannes, of Hildesheim, d. 1375.",[The lyfe of the thre kynges of Coleyne],517,37,none,,4.354307174682617,3.857142857142857,512,1450
9,_eebo_tcp/A06811,1496,"Mandeville, John, Sir.",[Here endeth the boke of Iohn Maunduyle.,507,8,sparse,1.7433272908382433,3.9274544715881343,3.948805460750853,512,1450
