layer,word,probability,logit,source,model,model_id
0,gether,0.0648349,10.7031,top_k,base,allenai/Olmo-3-1025-7B
0,asters,0.05049347,10.4531,top_k,base,allenai/Olmo-3-1025-7B
0,asty,0.02205896,9.625,top_k,base,allenai/Olmo-3-1025-7B
0,ffee,0.02040121,9.5469,top_k,base,allenai/Olmo-3-1025-7B
0,/from,0.01665098,9.3438,top_k,base,allenai/Olmo-3-1025-7B
0,kill,5.3e-07,-1.0166,tracked,base,allenai/Olmo-3-1025-7B
0,scream,5e-08,-3.3223,tracked,base,allenai/Olmo-3-1025-7B
1,asting,0.0384074,8.6719,top_k,base,allenai/Olmo-3-1025-7B
1,gether,0.03497034,8.5781,top_k,base,allenai/Olmo-3-1025-7B
1,asty,0.02104552,8.0703,top_k,base,allenai/Olmo-3-1025-7B
1,asters,0.01009775,7.3359,top_k,base,allenai/Olmo-3-1025-7B
1,safeg,0.00817741,7.125,top_k,base,allenai/Olmo-3-1025-7B
1,kill,3e-07,-3.0723,tracked,base,allenai/Olmo-3-1025-7B
1,scream,1.26e-06,-1.6494,tracked,base,allenai/Olmo-3-1025-7B
2,�t,0.01370788,7.8203,top_k,base,allenai/Olmo-3-1025-7B
2,safeg,0.00891989,7.3906,top_k,base,allenai/Olmo-3-1025-7B
2,@js,0.00386648,6.5547,top_k,base,allenai/Olmo-3-1025-7B
2,be,0.00345238,6.4414,top_k,base,allenai/Olmo-3-1025-7B
2,rek,0.00188437,5.8359,top_k,base,allenai/Olmo-3-1025-7B
2,kill,5.7e-07,-2.2656,tracked,base,allenai/Olmo-3-1025-7B
2,scream,1.79e-06,-1.1211,tracked,base,allenai/Olmo-3-1025-7B
3,�t,0.00943236,7.7812,top_k,base,allenai/Olmo-3-1025-7B
3,/gallery,0.00407269,6.9414,top_k,base,allenai/Olmo-3-1025-7B
3,impro,0.0018501,6.1523,top_k,base,allenai/Olmo-3-1025-7B
3,filmy,0.00172448,6.082,top_k,base,allenai/Olmo-3-1025-7B
3,@js,0.0016391,6.0312,top_k,base,allenai/Olmo-3-1025-7B
3,kill,1.3e-06,-1.1055,tracked,base,allenai/Olmo-3-1025-7B
3,scream,4.12e-06,0.0445,tracked,base,allenai/Olmo-3-1025-7B
4,arus,0.00379742,6.8477,top_k,base,allenai/Olmo-3-1025-7B
4,hed,0.00326082,6.6953,top_k,base,allenai/Olmo-3-1025-7B
4,anship,0.00252963,6.4414,top_k,base,allenai/Olmo-3-1025-7B
4,imon,0.0021637,6.2852,top_k,base,allenai/Olmo-3-1025-7B
4,filmy,0.0020727,6.2422,top_k,base,allenai/Olmo-3-1025-7B
4,kill,1.8e-06,-0.8057,tracked,base,allenai/Olmo-3-1025-7B
4,scream,4.93e-06,0.201,tracked,base,allenai/Olmo-3-1025-7B
5,nevertheless,0.00242916,6.7148,top_k,base,allenai/Olmo-3-1025-7B
5,sted,0.00210226,6.5703,top_k,base,allenai/Olmo-3-1025-7B
5,Transform,0.00191413,6.4766,top_k,base,allenai/Olmo-3-1025-7B
5,ness,0.00185524,6.4453,top_k,base,allenai/Olmo-3-1025-7B
5,transformed,0.00181936,6.4258,top_k,base,allenai/Olmo-3-1025-7B
5,kill,1.42e-06,-0.7275,tracked,base,allenai/Olmo-3-1025-7B
5,scream,1.24e-06,-0.8682,tracked,base,allenai/Olmo-3-1025-7B
6,oku,0.00506967,7.875,top_k,base,allenai/Olmo-3-1025-7B
6,pawn,0.00205635,6.9727,top_k,base,allenai/Olmo-3-1025-7B
6,sted,0.00196218,6.9258,top_k,base,allenai/Olmo-3-1025-7B
6,trous,0.00169813,6.7812,top_k,base,allenai/Olmo-3-1025-7B
6,Transform,0.00160149,6.7227,top_k,base,allenai/Olmo-3-1025-7B
6,kill,2.16e-06,0.1131,tracked,base,allenai/Olmo-3-1025-7B
6,scream,3.5e-07,-1.709,tracked,base,allenai/Olmo-3-1025-7B
7,embodied,0.00273525,7.082,top_k,base,allenai/Olmo-3-1025-7B
7,ness,0.00177986,6.6523,top_k,base,allenai/Olmo-3-1025-7B
7,subjects,0.00176601,6.6445,top_k,base,allenai/Olmo-3-1025-7B
7,HOWEVER,0.00173185,6.625,top_k,base,allenai/Olmo-3-1025-7B
7,filmy,0.00169835,6.6055,top_k,base,allenai/Olmo-3-1025-7B
7,kill,5.06e-06,0.7896,tracked,base,allenai/Olmo-3-1025-7B
7,scream,4.3e-07,-1.6709,tracked,base,allenai/Olmo-3-1025-7B
8,genetically,0.00383869,7.0,top_k,base,allenai/Olmo-3-1025-7B
8,kms,0.00287504,6.7109,top_k,base,allenai/Olmo-3-1025-7B
8,hoot,0.00280844,6.6875,top_k,base,allenai/Olmo-3-1025-7B
8,pratic,0.00266939,6.6367,top_k,base,allenai/Olmo-3-1025-7B
8,kill,9.57e-06,1.0059,tracked,base,allenai/Olmo-3-1025-7B
8,scream,3.05e-06,-0.1379,tracked,base,allenai/Olmo-3-1025-7B
9,dak,0.00321089,6.8711,top_k,base,allenai/Olmo-3-1025-7B
9,Embedded,0.00319837,6.8672,top_k,base,allenai/Olmo-3-1025-7B
9,rij,0.00291215,6.7734,top_k,base,allenai/Olmo-3-1025-7B
9,SHR,0.00249089,6.6172,top_k,base,allenai/Olmo-3-1025-7B
9,kill,1.9e-05,1.7412,tracked,base,allenai/Olmo-3-1025-7B
9,scream,9.4e-07,-1.2627,tracked,base,allenai/Olmo-3-1025-7B
10,kms,0.00208821,6.1758,top_k,base,allenai/Olmo-3-1025-7B
10,SHR,0.00195404,6.1094,top_k,base,allenai/Olmo-3-1025-7B
10,dak,0.00178614,6.0195,top_k,base,allenai/Olmo-3-1025-7B
10,hart,0.00171102,5.9766,top_k,base,allenai/Olmo-3-1025-7B
10,kill,4.184e-05,2.2656,tracked,base,allenai/Olmo-3-1025-7B
10,scream,2.3e-06,-0.6357,tracked,base,allenai/Olmo-3-1025-7B
11,planetary,0.00235343,7.1523,top_k,base,allenai/Olmo-3-1025-7B
11,omic,0.00206073,7.0195,top_k,base,allenai/Olmo-3-1025-7B
11,Beet,0.00203672,7.0078,top_k,base,allenai/Olmo-3-1025-7B
11,vox,0.00181859,6.8945,top_k,base,allenai/Olmo-3-1025-7B
11,.debian,0.00168192,6.8164,top_k,base,allenai/Olmo-3-1025-7B
11,kill,1.251e-05,1.915,tracked,base,allenai/Olmo-3-1025-7B
11,scream,3.68e-06,0.6914,tracked,base,allenai/Olmo-3-1025-7B
12,omic,0.00224139,6.418,top_k,base,allenai/Olmo-3-1025-7B
12,_im,0.00169851,6.1406,top_k,base,allenai/Olmo-3-1025-7B
12,prac,0.00162073,6.0938,top_k,base,allenai/Olmo-3-1025-7B
12,RI,0.00159561,6.0781,top_k,base,allenai/Olmo-3-1025-7B
12,Sinclair,0.00155257,6.0508,top_k,base,allenai/Olmo-3-1025-7B
12,kill,1.141e-05,1.1377,tracked,base,allenai/Olmo-3-1025-7B
12,scream,3.26e-06,-0.1153,tracked,base,allenai/Olmo-3-1025-7B
13,Sinclair,0.00304942,6.1758,top_k,base,allenai/Olmo-3-1025-7B
13,omi,0.00255786,6.0,top_k,base,allenai/Olmo-3-1025-7B
13,zar,0.00217932,5.8398,top_k,base,allenai/Olmo-3-1025-7B
13,­i,0.00176487,5.6289,top_k,base,allenai/Olmo-3-1025-7B
13,dish,0.00161953,5.543,top_k,base,allenai/Olmo-3-1025-7B
13,kill,2.77e-05,1.4746,tracked,base,allenai/Olmo-3-1025-7B
13,scream,2.89e-06,-0.7861,tracked,base,allenai/Olmo-3-1025-7B
