family,label,prompt,axis,source,target,similarity,layer,source_pos,target_pos,target_freq,displacement_type
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,stared,0.8459,16,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,stared,0.8143,24,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,screamed,0.8065,16,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,screamed,0.7849,24,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,stared,0.784,8,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,gazed,0.7786,16,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,stared,0.7696,16,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,screamed,0.7675,16,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,screamed,0.7661,8,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,gazed,0.7644,8,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,stared,0.7463,8,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,gazed,0.7372,24,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,screamed,0.7244,16,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,gazed,0.7119,16,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,screamed,0.7075,8,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,screamed,0.7069,24,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,felt,0.6866,8,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,stared,0.6784,8,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,gazed,0.6758,8,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,stared,0.6736,8,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,stared,0.6617,16,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,stared,0.6534,16,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,felt,0.6526,8,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,gazed,0.65,16,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,gazed,0.6485,8,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,stared,0.6479,8,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,stared,0.6463,24,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,gazed,0.6448,8,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,gazed,0.6442,8,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,gazed,0.6441,16,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,screamed,0.6413,8,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,gazed,0.6401,8,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,felt,0.6364,8,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,stared,0.6344,24,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,felt,0.6328,16,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,screamed,0.6322,24,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,felt,0.6318,16,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,gazed,0.6301,16,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,let,0.6264,16,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,felt,0.6253,16,PRON,VERB,5.13,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,felt,0.625,16,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,felt,0.6228,16,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,felt,0.6224,16,PRON,VERB,5.13,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,gazed,0.6222,8,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,gazed,0.6212,16,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,he,gazed,0.6205,16,PRON,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,slept,screamed,0.6203,16,VERB,VERB,3.72,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,gazed,0.62,8,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,stared,0.619,16,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,let,0.6175,16,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,pulled,0.6131,16,VERB,VERB,4.67,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,let,0.6121,16,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,gazed,0.6087,16,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,gazed,0.608,16,PRON,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,let,0.6051,16,VERB,VERB,5.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,felt,0.603,16,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,slept,closed,0.6029,16,VERB,VERB,4.9,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,gazed,0.6027,16,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,felt,0.6025,8,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,gazed,0.6012,16,PRON,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,he,felt,0.6011,16,PRON,VERB,5.13,category_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,he,gazed,0.6008,24,PRON,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,gazed,0.6,16,VERB,VERB,2.83,archaic
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,felt,0.5992,16,VERB,VERB,5.13,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,stared,0.5986,8,VERB,VERB,3.6,register_shift
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,felt,0.5961,16,VERB,VERB,5.13,register_shift
