family,layer,mode,model_id,prompt_key,gen_idx,step,chosen_token,chosen_prob,entropy,eff_vocab,top1,top1_prob,top5_words
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,0,She,0.18108788132667542,5.018301010131836,151,She,0.18108788132667542,She|What|ĠShe|I|å¯¹ä¸įèµ·
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,1,w,0.8535719513893127,1.1341140270233154,3,w,0.8535719513893127,w|Ġwanted|Ġwas|Ġis|wants
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,2,asso,0.6141550540924072,1.34452223777771,3,asso,0.6141550540924072,asso|ass|assa|ason|ast
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,3,angry,0.9927650094032288,0.05538869649171829,1,angry,0.9927650094032288,angry|ang|an|angu|Ġangry
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,4,she,0.9649969935417175,0.2472718209028244,1,she,0.9649969935417175,she|because|that|She|Ċ
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,5,wanted,0.9847715497016907,0.11130580306053162,1,wanted,0.9847715497016907,wanted|want|wants|Ġwanted|wa
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,6,to,0.8745825886726379,0.8226954340934753,2,to,0.8745825886726379,to|tos|t|tok|tog
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,7,return,0.00039433318306691945,4.281217575073242,72,Ċ,0.2813933193683624,Ċ|<｜end of sentence｜>|She|Ġ-|play
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,8,food,0.0008456336800009012,4.368983268737793,78,the,0.223733589053154,the|her|h|to|Ċ
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,9,because,0.0548575222492218,4.543729305267334,94,.,0.153851717710495,.|she|Ċ|because|to
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,10,There,0.0002956668904516846,1.4634771347045898,4,it,0.6448244452476501,it|itis|of|oft|its
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,11,aca,5.369529753807001e-05,2.2999391555786133,9,was,0.5500147938728333,was|were|Was|Were|is
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,12,fe,0.33237990736961365,2.1347126960754395,8,ution,0.4335050880908966,ution|fe|resh|ft|res
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,13,owner,0.20311985909938812,3.7291979789733887,41,owner,0.20311985909938812,"owner|.|and|,|at"
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,14,int,0.0042940108105540276,4.316854953765869,74,who,0.2134646624326706,"who|,|She|had|."
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,15,he,0.8692640066146851,0.7092576026916504,2,he,0.8692640066146851,he|here|hes|hen|her
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,16,neighbour,0.0032946185674518347,3.6538772583007812,38,mall,0.1798800677061081,mall|neighborhood|area|small|next
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,17,ho,0.3014177978038788,2.2832045555114746,9,h,0.36357924342155457,h|ho|hood|ing|who
deepseek-7b,superego,complete,deepseek-ai/deepseek-llm-7b-chat,anger,0,18,os,0.2041696459054947,1.8683656454086304,6,ode,0.5549905896186829,ode|os|ood|of|old
