family,token,base,aligned,delta
olmo,strike,0.0035676006227731705,0.0002700293262023479,-0.0032975712965708226
olmo,quit,0.006409817840903997,0.001641257549636066,-0.0047685602912679315
olmo,sue,0.0077317156828939915,0.001382077462039888,-0.0063496382208541036
olmo,walk,0.0055472347885370255,0.00010492208821233362,-0.005442312700324692
olmo,leave,0.005334723275154829,0.0007514224853366613,-0.004583300789818168
olmo,refuse,0.0013647287851199508,0.00010910171113209799,-0.0012556270739878528
olmo,fight,0.004106283187866211,0.0035017936024814844,-0.0006044895853847265
olmo,consider,0.009289870038628578,0.04367224499583244,0.034382374957203865
olmo,negotiate,0.0022065374068915844,0.028418071568012238,0.026211534161120653
olmo,think,0.0012499019503593445,0.006749883759766817,0.005499981809407473
olmo,talk,0.0019472624408081174,0.0027918731793761253,0.000844610738568008
olmo,discuss,0.0005881101242266595,0.0012007696786895394,0.0006126595544628799
olmo,ask,0.0013541084481403232,0.005339597351849079,0.003985488903708756
olmo,union,0.009039291180670261,0.0410262793302536,0.03198698814958334
olmo,report,0.0014930178876966238,0.0012882378650829196,-0.0002047800226137042
olmo,file,0.011697712354362011,0.008532652631402016,-0.0031650597229599953
olmo,demand,0.0019170729210600257,0.0006377239478752017,-0.001279348973184824
llama,strike,0.003102085320279002,0.0036958528216928244,0.0005937675014138222
llama,quit,0.00024680039496161044,0.0003204268869012594,7.362649193964899e-05
llama,sue,0.0026327057275921106,0.0034719326067715883,0.0008392268791794777
llama,walk,0.0002078267716569826,0.00015018106205388904,-5.7645709603093565e-05
llama,leave,0.0003144318761769682,0.00045899031101725996,0.00014455843484029174
llama,refuse,0.00013736510300077498,0.00038650858914479613,0.00024914348614402115
llama,fight,0.0034069744870066643,0.009437690488994122,0.006030716001987457
llama,consider,0.002066434361040592,0.010694305412471294,0.008627871051430702
llama,negotiate,0.001132312580011785,0.003136629704385996,0.002004317124374211
llama,think,0.0002212304389104247,0.00035192008363083005,0.00013068964472040534
llama,talk,0.0004757202113978565,0.002025160240009427,0.0015494400286115706
llama,discuss,0.0002014326018979773,0.001050639315508306,0.0008492067136103287
llama,ask,0.0013341903686523438,0.0017457972280681133,0.0004116068594157696
llama,union,0.008237007074058056,0.027308862656354904,0.01907185558229685
llama,report,0.00038827149546705186,0.0019324214663356543,0.0015441499708686024
llama,file,0.0038908866699784994,0.014617381617426872,0.010726494947448373
llama,demand,0.002512145321816206,0.003088000463321805,0.000575855141505599
amber,strike,0.0006197734037414193,1.0220315743936226e-05,-0.0006095530879974831
amber,quit,0.00024270675203297287,7.959590220707469e-06,-0.0002347471618122654
amber,sue,0.002032158663496375,0.03046633116900921,0.028434172505512834
amber,walk,0.000331740768160671,2.0124994080106262e-06,-0.00032972826875266037
amber,leave,0.000331740768160671,3.567240491975099e-05,-0.00029606836324092
amber,refuse,0.00022800188162364066,0.0011813079472631216,0.000953306065639481
amber,fight,0.0024512512609362602,0.07308492809534073,0.07063367683440447
amber,consider,0.0011578891426324844,0.02688644453883171,0.025728555396199226
amber,think,0.0009903950849547982,0.00012450893700588495,-0.0008658861479489133
amber,talk,0.000387844251235947,0.02372720278799534,0.02333935853675939
amber,discuss,0.00017210484656970948,0.007703094743192196,0.007530989896622486
amber,ask,0.0024512512609362602,0.03046633116900921,0.02801507990807295
amber,union,0.0005301202763803303,0.000492442399263382,-3.7677877116948366e-05
amber,report,0.00010770047083497047,0.0022069737315177917,0.0020992732606828213
amber,file,0.0005643101176247001,0.0502304881811142,0.0496661780634895
amber,demand,0.0016328854253515601,0.0502304881811142,0.04859760275576264
qwen,strike,0.00462835468351841,0.004203783348202705,-0.00042457133531570435
qwen,quit,0.0033598251175135374,0.001546485465951264,-0.0018133396515622735
qwen,sue,0.002965035382658243,0.0032739099115133286,0.0003088745288550854
qwen,walk,0.0015382401179522276,0.0009020570432767272,-0.0006361830746755004
qwen,leave,0.002309171948581934,0.0008880718960426748,-0.0014211000525392592
qwen,refuse,0.0013788695214316249,0.0006497273570857942,-0.0007291421643458307
qwen,fight,0.007112749852240086,0.006985226646065712,-0.00012752320617437363
qwen,consider,0.004485954996198416,0.004726441111415625,0.00024048611521720886
qwen,negotiate,0.003412734717130661,0.005314080510288477,0.001901345793157816
qwen,think,0.0006825898308306932,0.0003318482486065477,-0.00035074158222414553
qwen,talk,0.0018994729034602642,0.0023581087589263916,0.0004586358554661274
qwen,discuss,0.0012653217418119311,0.0015831594355404377,0.00031783769372850657
qwen,ask,0.004701240453869104,0.0036238878965377808,-0.0010773525573313236
qwen,union,0.022080644965171814,0.039266038686037064,0.01718539372086525
qwen,report,0.00046913669211789966,0.00033707410329952836,-0.0001320625888183713
qwen,file,0.003493665251880884,0.004876474384218454,0.0013828091323375702
qwen,demand,0.006375827826559544,0.007731941062957048,0.0013561132363975048
tulu,strike,0.003102085320279002,0.006787768565118313,0.0036856832448393106
tulu,quit,0.00024680039496161044,0.0001547216234030202,-9.207877155859023e-05
tulu,sue,0.0026327057275921106,0.0012753839837387204,-0.0013573217438533902
tulu,walk,0.0002078267716569826,7.65927616157569e-05,-0.0001312340100412257
tulu,leave,0.0003144318761769682,0.0003125462681055069,-1.88560807146132e-06
tulu,refuse,0.00013736510300077498,0.0003149975964333862,0.00017763249343261123
tulu,fight,0.0034069744870066643,0.0065277330577373505,0.003120758570730686
tulu,consider,0.002066434361040592,0.012195411138236523,0.01012897677719593
tulu,negotiate,0.001132312580011785,0.008187612518668175,0.00705529993865639
tulu,think,0.0002212304389104247,0.0001272705412702635,-9.395989764016122e-05
tulu,talk,0.0004757202113978565,0.0016634142957627773,0.0011876940843649209
tulu,discuss,0.0002014326018979773,0.0011703581549227238,0.0009689255530247465
tulu,ask,0.0013341903686523438,0.0021027526818215847,0.000768562313169241
tulu,union,0.008237007074058056,0.02561677247285843,0.017379765398800373
tulu,report,0.00038827149546705186,0.0008562522125430405,0.00046798071707598865
tulu,file,0.0038908866699784994,0.0066305301152169704,0.002739643445238471
tulu,demand,0.002512145321816206,0.004214621149003506,0.0017024758271872997
zephyr,strike,0.005358118563890457,0.019984731450676918,0.014626612886786461
zephyr,quit,0.001910496037453413,0.004494170658290386,0.002583674620836973
zephyr,sue,0.0031253627967089415,0.00951415952295065,0.006388796726241708
zephyr,walk,0.0010971055598929524,0.0011099817929789424,1.2876233085989952e-05
zephyr,leave,0.0013028450775891542,0.0007748921634629369,-0.0005279529141262174
zephyr,refuse,0.001910496037453413,0.0024626022204756737,0.0005521061830222607
zephyr,fight,0.011254864744842052,0.017227917909622192,0.00597305316478014
zephyr,consider,0.0017531696939840913,0.0021063752938061953,0.000353205599822104
zephyr,think,0.00041804410284385085,0.00040833945968188345,-9.704643161967397e-06
zephyr,talk,0.0007083445671014488,0.00038964024861343205,-0.0003187043184880167
zephyr,discuss,0.0001833447313401848,0.00016955759201664478,-1.3787139323540032e-05
zephyr,ask,0.0013233617646619678,0.0007279437850229442,-0.0005954179796390235
zephyr,union,0.0031994786113500595,0.024871401488780975,0.021671922877430916
zephyr,report,0.00016628645244054496,0.00012798878015019,-3.829767229035497e-05
zephyr,file,0.0022687700111418962,0.0043220012448728085,0.002053231233730912
