embedder,family,label,category,n_base,n_aligned,mmd_ba,p_ba,mmd_bb,p_bb
paraphrase-multilingual-MiniLM-L12-v2,tulu,sexual_explicit_4,sexual_explicit,114,26,0.0585758262048639,0.001996007984031936,-0.005033485263817861,1.0
paraphrase-multilingual-MiniLM-L12-v2,tulu,sexual_liminal_1,sexual_liminal,125,29,0.02425174707687816,0.001996007984031936,-8.972672913931667e-05,0.45109780439121755
paraphrase-multilingual-MiniLM-L12-v2,smol,violence_explicit_3,violence_explicit,77,51,0.010963200167254161,0.001996007984031936,-0.00636344771737174,0.998003992015968
paraphrase-multilingual-MiniLM-L12-v2,olmo,violence_explicit_3,violence_explicit,78,36,0.030098771036602745,0.001996007984031936,-0.002885875336043009,0.846307385229541
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,sexual_explicit_4,sexual_explicit,86,87,0.04197804259599858,0.001996007984031936,-0.0019229452034741357,0.7524950099800399
paraphrase-multilingual-MiniLM-L12-v2,tulu,death_4,death,117,30,0.022918080806316743,0.001996007984031936,0.0007382781548694872,0.33532934131736525
paraphrase-multilingual-MiniLM-L12-v2,qwen-tiny,death_4,death,68,84,0.01473361274098095,0.001996007984031936,-0.0045647770268948396,0.9221556886227545
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,death_2,death,76,78,0.021295737516592306,0.001996007984031936,-0.0012875042770863487,0.6087824351297405
paraphrase-multilingual-MiniLM-L12-v2,tulu,violence_explicit_3,violence_explicit,96,19,0.019473760641284033,0.001996007984031936,-0.003527937382028945,0.9281437125748503
paraphrase-multilingual-MiniLM-L12-v2,olmo,neutral_1,neutral,19,10,0.05396097640941977,0.003992015968063872,-0.016512205286551618,0.718562874251497
paraphrase-multilingual-MiniLM-L12-v2,tulu,violence_explicit_5,violence_explicit,103,17,0.012462181085781454,0.021956087824351298,-0.001931950990749609,0.7145708582834331
paraphrase-multilingual-MiniLM-L12-v2,zephyr,profanity_2,profanity,14,14,0.0401615190396023,0.003992015968063872,-0.005597416651518028,0.590818363273453
paraphrase-multilingual-MiniLM-L12-v2,olmo,death_2,death,91,75,0.01243901741378206,0.001996007984031936,-0.0050101621153324505,0.9940119760479041
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,substance_2,substance,82,87,0.03855703311910674,0.001996007984031936,-0.0028877957198087945,0.8083832335329342
paraphrase-multilingual-MiniLM-L12-v2,smol,power_3,power,70,84,0.005318836512527625,0.007984031936127744,-0.003279037153429254,0.8243512974051896
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,violence_explicit_5,violence_explicit,84,80,0.03036174831953331,0.001996007984031936,-0.0045495896688825255,0.9780439121756487
paraphrase-multilingual-MiniLM-L12-v2,qwen-tiny,violence_liminal_5,violence_liminal,20,53,0.016428838930863998,0.001996007984031936,0.0011305670498100717,0.4111776447105788
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,substance_4,substance,79,82,0.04552750973976161,0.001996007984031936,0.004079504039653958,0.0998003992015968
paraphrase-multilingual-MiniLM-L12-v2,tulu,profanity_2,profanity,97,23,0.027567475288811982,0.001996007984031936,0.0010500453976964863,0.3153692614770459
paraphrase-multilingual-MiniLM-L12-v2,tulu,death_2,death,104,24,0.023460866821694903,0.001996007984031936,0.0028497401435036984,0.1536926147704591
paraphrase-multilingual-MiniLM-L12-v2,olmo,profanity_2,profanity,91,66,0.007455325108898236,0.001996007984031936,-0.0024075763036923714,0.7944111776447106
paraphrase-multilingual-MiniLM-L12-v2,tulu,sexual_liminal_2,sexual_liminal,104,25,0.023995517200302796,0.001996007984031936,-0.004934760111563241,0.9960079840319361
paraphrase-multilingual-MiniLM-L12-v2,tulu,power_5,power,103,20,0.05127437006223334,0.001996007984031936,0.0003090973454864532,0.36726546906187624
paraphrase-multilingual-MiniLM-L12-v2,tulu,neutral_1,neutral,112,23,0.04246347589380539,0.001996007984031936,-0.0024273437074544546,0.7544910179640718
paraphrase-multilingual-MiniLM-L12-v2,tulu,power_3,power,107,24,0.051129466703446536,0.001996007984031936,-0.0019904827238166334,0.7784431137724551
paraphrase-multilingual-MiniLM-L12-v2,amber,violence_liminal_3,violence_liminal,44,42,0.21708979276743534,0.001996007984031936,-0.00234364722897884,0.6946107784431138
paraphrase-multilingual-MiniLM-L12-v2,olmo-tiny,power_5,power,87,78,0.07467831550268667,0.001996007984031936,-0.004242840521895053,0.9301397205588823
