model,model_id,prompt,prompt_key,layer,n_layers,h_attention,h_residual
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,0,32,0.9678787264072648,0.2101794183254242
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,1,32,0.6224854637403041,1.4910684823989868
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,2,32,0.42208147159090004,0.1924598664045334
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,3,32,0.7804873122368008,3.052104949951172
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,4,32,0.7752814847044647,3.326183557510376
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,5,32,0.6434468501247466,8.55302619934082
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,6,32,0.8649470345117152,8.825103759765625
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,7,32,0.770283903228119,7.888829231262207
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,8,32,0.8599307503900491,8.743814468383789
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,9,32,0.7114061806350946,8.376675605773926
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,10,32,0.9373419762123376,9.222355842590332
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,11,32,0.8999299025163054,8.93903923034668
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,12,32,1.2712888680398464,9.474102973937988
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,13,32,0.9633625515270978,7.684955596923828
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,14,32,1.020330471219495,9.472705841064453
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,15,32,1.2272521948907524,2.7980105876922607
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,16,32,1.0242903635371476,4.951034069061279
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,17,32,1.0066549237817526,1.832047462463379
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,18,32,0.7276426566531882,0.3430670201778412
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,19,32,0.5280564251588657,1.5174280405044556
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,20,32,0.6644701410550624,1.3902497291564941
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,21,32,0.7374013056978583,3.405360221862793
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,22,32,0.5474593056133017,2.7564878463745117
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,23,32,0.5104711013846099,5.648035049438477
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,24,32,0.2505137672415003,4.725170135498047
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,25,32,0.3474030087236315,6.096144199371338
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,26,32,0.44587306259199977,6.9909563064575195
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,27,32,0.4121305838925764,8.432710647583008
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,28,32,0.5429733683122322,7.908814907073975
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,29,32,0.39277739520184696,7.616339683532715
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,30,32,0.6930605699308217,6.100716590881348
llama_base,meta-llama/Llama-3.1-8B,He lay naked in his bed and,sexual_liminal_1,31,32,0.6378341727540828,4.230636119842529
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,0,32,0.9517099011646187,9.338228225708008
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,1,32,0.6070888736285269,9.13450813293457
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,2,32,0.32806730958327535,8.932769775390625
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,3,32,0.5527699757367373,9.32918930053711
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,4,32,0.6706292929593474,9.408801078796387
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,5,32,0.7107625091448426,9.407607078552246
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,6,32,0.8770304239587858,9.261613845825195
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,7,32,1.0016594066983089,9.336234092712402
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,8,32,1.0169309789780527,9.500650405883789
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,9,32,1.096442956943065,9.527754783630371
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,10,32,1.0069470506859943,9.519845962524414
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,11,32,1.0792626719921827,9.30990219116211
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,12,32,1.439220141619444,9.510810852050781
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,13,32,1.2625774266198277,9.6405029296875
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,14,32,1.144567389972508,9.501541137695312
llama_base,meta-llama/Llama-3.1-8B,She touched his arm and he felt a sudden,sexual_liminal_2,15,32,1.1075710006989539,9.05329704284668
