model,prompt_key,prompt,idx,is_chinese,is_exam,text,text_len
qwen_base,anger,She was so angry she wanted to,0,False,True,"throw ______out of the window.
these
the
this book
two of my books
Answer:

D

When drilling, the main person responsible for the job must be the____. MCQ
A. Site Manager
B. Team Leader
C. Designated ",431
qwen_base,anger,She was so angry she wanted to,1,True,True,"jump another person．____
off
out
over
onto
答案:
B

下列实验现象描述正确的是____
A. 灼烧硫酸铜固体，产生蓝色火焰，产生刺激性气味的气体
B. 镁条在空气中燃烧，发出耀眼的白光，放出热量，生成白色固体
C. 细铁丝在空气中剧烈燃烧，火星四射，生成黑色固体
D. 打开盛有浓硫酸的试剂",169
qwen_base,anger,She was so angry she wanted to,2,False,True,"what ________.
A. yell atthe boy
B. scream
C. scold personally
D. wait around the corner
答案:

 C

金属在固态下随温度变化，由一固态相向另_种固态相转变的过程，称为____。
A. 同素异晶转变
B. 同素同晶转变
C. 变晶转变
D. 结晶转变
答案:

 A

What must students ",221
qwen_base,anger,She was so angry she wanted to,3,True,True,"__________ somebody but she couldn't think of anything sensible( ) 答案：break...up 答案：break...up

房地产业和建筑业的区别? 建筑业从业单位在施工现场提供现场劳务,是个项目法人的性质； 房地产开发企业是依法定程序设立的,独立自主、自负盈亏的经济实体,并不是一个项目法人.房地产开发企业入驻某楼斑后,该块土地的",207
qwen_base,anger,She was so angry she wanted to,4,False,True,"____ （ 驱逐； 赶走 ） him from the room．
drive

计算：（sin52°-cos52°）^{2}=____．
1-$\\sqrt{2}$sin104°

A．born B．end up C．enthusiasm D．exhibition E.fragment F.grateful G.identical H.innate I.passion J.preferK.sn",230
qwen_base,anger,She was so angry she wanted to,5,False,True,"_____ the manager and fight with him. ____
pass by
precede over
mayor for
Adjourn over
remark against
upset over
knock it off
Answer:

knock it off

The intrinsic psychological process that enables im",414
qwen_base,anger,She was so angry she wanted to,6,False,True,"the store window with a rock.
A. smash
B. shatter
C. smash
D. shatter
Answer:
C

To reduce occupational hazards and ensure the healthy development of the economy and society, governments at all levels",496
qwen_base,anger,She was so angry she wanted to,7,True,True,"____（讥诮地提问）．
challenge

Anna was watching TV ____the doorbell rang.
when

在横线里填上合适的单位． （1）数学课本封面的面积大约是405____． （2）东莞市的总面积大约是2460____．
平方厘米,平方千米

1781年，清政府组织军民收复伊犁，新疆重新置于中央政府的管辖之下。 判断：____改正：____",194
qwen_base,anger,She was so angry she wanted to,8,True,True,"kill him.Her _____ look suggested that we leave her alone.
bad
ill
awful
wroth
答案:

 A

380、下列哪些案例属于无效投诉____。
A. 供电企业在高峰用电时段限制客户用电，导致客户安全用电存在隐患
B. 供电企业工作人员在现场工作时存在误停电的情况，造成客户生活不便
C. 客户反映职工违规收取客户100元赔偿",211
qwen_base,anger,She was so angry she wanted to,9,False,True,"allow no time for a(n) _______ of temper. ____
A. rumble
B. rumour
C. rumination
D. rumour
答案:

C

在门禁系统中，__________是门禁系统中的数据处理中心。
A. 信号主机
B. 联网控制器
C. 就地控制器
D. 读卡器
答案:

B

患者的原发疾病是口底右缘由黏液表",189
