model,role,en_covered,en_total,zh_covered,zh_total,en_pct,zh_pct,any
01-ai/Yi-1.5-9B,base,2200,2200,379,379,100.0,100.0,2579
01-ai/Yi-1.5-9B-Chat,aligned,2200,2200,379,379,100.0,100.0,2579
BSC-LT/salamandra-7b,base,2200,2200,379,379,100.0,100.0,2579
BSC-LT/salamandra-7b-instruct,aligned,2200,2200,379,379,100.0,100.0,2579
ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,2200,2200,379,379,100.0,100.0,2579
ContextualAI/archangel_sft-kto_pythia2-8b,,2200,2200,379,379,100.0,100.0,2579
ContextualAI/archangel_sft-ppo_pythia2-8b,,2200,2200,379,379,100.0,100.0,2579
ContextualAI/archangel_sft-slic_pythia2-8b,,2200,2200,379,379,100.0,100.0,2579
ContextualAI/archangel_sft_pythia2-8b,,2200,2200,379,379,100.0,100.0,2579
EleutherAI/pythia-2.8b,base,2200,2200,379,379,100.0,100.0,2579
EleutherAI/pythia-6.9b,base,2200,2200,379,379,100.0,100.0,2579
HuggingFaceH4/mistral-7b-sft-beta,,2200,2200,379,379,100.0,100.0,2579
HuggingFaceH4/zephyr-7b-beta,aligned,2200,2200,379,379,100.0,100.0,2579
HuggingFaceTB/SmolLM2-360M,base,2200,2200,379,379,100.0,100.0,2579
HuggingFaceTB/SmolLM2-360M-Instruct,aligned,2200,2200,379,379,100.0,100.0,2579
HuggingFaceTB/SmolLM3-3B,aligned,2200,2200,379,379,100.0,100.0,2579
HuggingFaceTB/SmolLM3-3B-Base,base,2200,2200,379,379,100.0,100.0,2579
LLM360/Amber,base,2200,2200,379,379,100.0,100.0,2579
LLM360/AmberChat,,2200,2200,379,379,100.0,100.0,2579
LLM360/AmberSafe,aligned,2200,2200,379,379,100.0,100.0,2579
OpenLLM-France/Lucie-7B,base,2200,2200,379,379,100.0,100.0,2579
OpenLLM-France/Lucie-7B-Instruct-v1.1,aligned,2200,2200,379,379,100.0,100.0,2579
PKU-Alignment/alpaca-7b-reproduced,,2200,2200,379,379,100.0,100.0,2579
PKU-Alignment/beaver-7b-v1.0,aligned,2200,2200,379,379,100.0,100.0,2579
Qwen/Qwen2.5-0.5B,base,2200,2200,379,379,100.0,100.0,2579
Qwen/Qwen2.5-0.5B-Instruct,aligned,2200,2200,379,379,100.0,100.0,2579
Qwen/Qwen2.5-7B,base,2200,2200,379,379,100.0,100.0,2579
Qwen/Qwen2.5-7B-Instruct,aligned,2200,2200,379,379,100.0,100.0,2579
Qwen/Qwen3-8B,aligned,2200,2200,379,379,100.0,100.0,2579
Qwen/Qwen3-8B-Base,base,2200,2200,379,379,100.0,100.0,2579
RWKV/rwkv-4-7b-pile,base,2200,2200,379,379,100.0,100.0,2579
RWKV/rwkv-raven-7b,aligned,2200,2200,379,379,100.0,100.0,2579
TinyLlama/TinyLlama-1.1B-Chat-v1.0,aligned,2200,2200,379,379,100.0,100.0,2579
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,base,2200,2200,379,379,100.0,100.0,2579
allenai/Llama-3.1-Tulu-3-8B-DPO,,2200,2200,379,379,100.0,100.0,2579
allenai/Llama-3.1-Tulu-3-8B-SFT,,2200,2200,379,379,100.0,100.0,2579
allenai/Llama-3.1-Tulu-3-8B-SFT-no-math-data,,2200,2200,379,379,100.0,100.0,2579
allenai/Llama-3.1-Tulu-3-8B-SFT-no-persona-data,,2200,2200,379,379,100.0,100.0,2579
allenai/Llama-3.1-Tulu-3-8B-SFT-no-safety-data,,2200,2200,379,379,100.0,100.0,2579
allenai/Llama-3.1-Tulu-3-8B-SFT-no-wildchat-data,,2200,2200,379,379,100.0,100.0,2579
allenai/Llama-3.1-Tulu-3.1-8B,,2200,2200,379,379,100.0,100.0,2579
allenai/OLMo-2-0425-1B,base,2200,2200,379,379,100.0,100.0,2579
allenai/OLMo-2-0425-1B-DPO,aligned,2200,2200,379,379,100.0,100.0,2579
allenai/OLMo-2-0425-1B-Instruct,,2200,2200,379,379,100.0,100.0,2579
allenai/OLMo-2-0425-1B-SFT,,2200,2200,379,379,100.0,100.0,2579
allenai/OLMoE-1B-7B-0125,base,2200,2200,379,379,100.0,100.0,2579
allenai/OLMoE-1B-7B-0125-DPO,aligned,2200,2200,379,379,100.0,100.0,2579
allenai/OLMoE-1B-7B-0125-Instruct,,2200,2200,379,379,100.0,100.0,2579
allenai/OLMoE-1B-7B-0125-SFT,,2200,2200,379,379,100.0,100.0,2579
allenai/Olmo-3-1025-7B,base,2200,2200,379,379,100.0,100.0,2579
allenai/Olmo-3-1125-32B,base,2200,2200,379,379,100.0,100.0,2579
