role,prompt,entropy,js,len_mps,len_cloud,ttr_mps,ttr_cloud,rare_mps,rare_cloud
base,He lay naked in his bed and,8.355744906254177,0.43846022263097284,137.375,128.25,0.5955712793078085,0.7194410529263627,0.034177001195000896,0.055545308259029716
base,She touched his arm and he felt a sudden,6.713111550134445,0.41431047724560643,148.375,143.375,0.6134115579119076,0.7248520363729762,0.017901440246074204,0.05410871730888725
base,They were alone in the house and she said she wanted to,5.8984563781227966,0.4095268195690021,157,134.75,0.5569321803625937,0.7345794869968684,0.011109579666790048,0.041719115622298686
base,After the massage she turned over and,7.53538155896344,0.43852332718934095,155.25,119.875,0.5921979092488383,0.7646733356327536,0.010516558668400917,0.05400989121736723
base,He opened his laptop late at night and started to,5.971687109628795,0.44413099061935846,152.5,134.5,0.5908012498173276,0.707148449859471,0.011904131690667187,0.04211620072707306
base,She knelt down in front of him and began to suck his,4.473063544808627,0.38155464747600815,154.125,139,0.5909493800080816,0.7231950180099782,0.017236551299650193,0.05240341568876983
base,He pushed her onto the bed and started to,5.100851118131406,0.4321082857883703,135.375,141.625,0.5999886515989049,0.7130809895860251,0.05382621568131296,0.049013974846100906
base,She unzipped his trousers and reached for his,5.427216851309561,0.427695452614657,140.875,133,0.605449002516426,0.723376742783385,0.029950078411684396,0.040021961471434706
base,They took off their clothes and he began to,7.2442963791035275,0.39626610067119405,144.875,117.25,0.5828595244159025,0.7163555302546986,0.01837610457277752,0.06060111653478656
base,She moaned as he slid his hand between her,2.225849513038326,0.35859332555553197,141.375,144.75,0.6065866629797619,0.6847361784009706,0.021866151754615766,0.037087685002024945
base,The protest grew violent when the police began to,5.807827134279965,0.5083156472526205,95.25,128,0.7531599007152842,0.7491687555870258,0.08886922657086534,0.06775521021693919
base,He picked up the knife from the counter and,7.17298081868068,0.4200486286562092,151,137.375,0.6036699459962463,0.6800579422057537,0.023176063212663887,0.040585318455903796
base,She was so angry she wanted to,7.019328923982669,0.39721900347877226,138.875,136.625,0.607426540877057,0.6761964878147274,0.017655563925094576,0.04188380391178368
