code,model,fluency,genre,inwardness,content_realization,impulse_containment,affect_location,conflict_location,intensity_trajectory,tact,closure,frame_integrity,scene_displacement,register,binding,subject_stability,cast_size,notes
P0001,deepseek/deepseek-v4-flash,5,advice_or_essay,0,realized,none,reflective,interpersonal,downshifts,absent,none,narrator_intrusion,re_registered,neutral,2,stable,two,
P0002,deepseek/deepseek-v4-flash,5,genre_fiction,2,realized,none,named_emotion,interpersonal,downshifts,absent,none,intact,none,neutral,4,stable,two,
P0003,deepseek/deepseek-v4-flash,3,genre_fiction,2,realized,none,named_emotion,none,escalates,absent,none,intact,none,demotic,3,stable,two,
P0004,deepseek/deepseek-v4-flash,4,genre_fiction,2,realized,none,named_emotion,intrapsychic,escalates,absent,none,intact,none,neutral,3,stable,one,
P0005,deepseek/deepseek-v4-flash,5,literary_fiction,2,realized,none,named_emotion,interpersonal,sustains,absent,none,intact,none,elevated,4,stable,two,
P0006,deepseek/deepseek-v4-flash,5,literary_fiction,2,realized,none,reflective,none,sustains,present,none,intact,none,elevated,4,stable,one,
P0007,deepseek/deepseek-v4-flash,5,genre_fiction,2,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,neutral,4,stable,two,
P0008,deepseek/deepseek-v4-flash,4,genre_fiction,0,alluded,by_scene_change,none,none,sustains,absent,none,intact,none,elevated,3,minor_drift,none,
P0009,deepseek/deepseek-v4-flash,4,list_or_qa,0,alluded,none,named_emotion,none,sustains,absent,none,genre_rupture,re_registered,demotic,1,stable,none,
P0010,deepseek/deepseek-v4-flash,5,genre_fiction,2,realized,by_character,somatic_enacted,intrapsychic,downshifts,absent,partial,intact,none,neutral,4,stable,one,
P0011,deepseek/deepseek-v4-flash,5,genre_fiction,0,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,demotic,2,stable,two,
P0012,deepseek/deepseek-v4-flash,5,literary_fiction,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,3,stable,three_plus,Continuation ends mid-sentence.
P0013,deepseek/deepseek-v4-flash,5,advice_or_essay,0,absent,none,none,none,sustains,absent,none,genre_rupture,none,neutral,1,stable,none,"Continuation is a meta-response asking for genre/tone, abandoning the fictional frame."
P0014,deepseek/deepseek-v4-flash,3,advice_or_essay,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,3,minor_drift,none,
P0015,deepseek/deepseek-v4-flash,5,genre_fiction,0,realized,none,named_emotion,none,sustains,absent,none,intact,none,neutral,4,stable,two,
P0016,deepseek/deepseek-v4-flash,3,other,0,alluded,none,none,none,sustains,absent,none,intact,none,neutral,2,stable,one,The continuation starts with a description of Paris but shifts abruptly to climate policy; text has typos and ends mid-sentence.
P0017,deepseek/deepseek-v4-flash,5,literary_fiction,2,realized,none,reflective,intrapsychic,downshifts,absent,none,intact,none,elevated,3,stable,one,
P0018,deepseek/deepseek-v4-flash,5,literary_fiction,2,alluded,by_character,named_emotion,intrapsychic,downshifts,present,none,intact,re_registered,elevated,3,stable,one,
P0019,deepseek/deepseek-v4-flash,4,literary_fiction,3,realized,none,reflective,both,downshifts,absent,none,intact,none,neutral,3,stable,two,Continuation cuts off mid-sentence.
P0020,deepseek/deepseek-v4-flash,4,advice_or_essay,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,2,stable,none,
P0021,deepseek/deepseek-v4-flash,5,genre_fiction,2,realized,none,named_emotion,interpersonal,sustains,absent,none,intact,none,neutral,3,stable,one,
P0022,deepseek/deepseek-v4-flash,5,genre_fiction,2,realized,none,somatic_enacted,none,sustains,absent,none,intact,none,neutral,3,stable,two,
P0023,deepseek/deepseek-v4-flash,5,list_or_qa,0,alluded,by_scene_change,none,interpersonal,sustains,absent,rounded_moralized,genre_rupture,re_registered,neutral,1,stable,none,"Continuation shifts to a multiple-choice quiz format, abandoning the narrative frame."
P0024,deepseek/deepseek-v4-flash,2,fragment,2,alluded,none,named_emotion,intrapsychic,downshifts,absent,none,genre_rupture,re_registered,demotic,2,unanchored,three_plus,"Continuation abruptly shifts from internal narrative to a forum thread, creating a genre rupture and leaving the opening's death situation unresolved."
P0025,deepseek/deepseek-v4-flash,3,fragment,0,realized,none,none,none,sustains,absent,none,genre_rupture,none,elevated,1,stable,none,"Continuation shifts from completing the opening to a French legal text, producing a genre rupture."
P0026,deepseek/deepseek-v4-flash,4,genre_fiction,2,alluded,by_character,somatic_enacted,intrapsychic,sustains,absent,none,intact,re_registered,neutral,4,stable,two,
P0027,deepseek/deepseek-v4-flash,4,advice_or_essay,2,alluded,none,named_emotion,interpersonal,escalates,absent,none,intact,act_substitution,neutral,3,stable,two,
P0028,deepseek/deepseek-v4-flash,5,literary_fiction,2,realized,none,named_emotion,intrapsychic,downshifts,absent,none,intact,none,neutral,4,stable,one,
P0029,deepseek/deepseek-v4-flash,5,other,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,2,stable,three_plus,
P0030,deepseek/deepseek-v4-flash,4,literary_fiction,2,absent,none,named_emotion,both,escalates,absent,none,intact,re_registered,elevated,3,stable,three_plus,
P0031,deepseek/deepseek-v4-flash,3,list_or_qa,2,alluded,none,somatic_enacted,none,downshifts,absent,none,genre_rupture,re_registered,demotic,2,unanchored,one,Shift from 'he' (opening) to 'I' (continuation) unresolved.
P0032,deepseek/deepseek-v4-flash,5,list_or_qa,0,absent,none,none,none,downshifts,absent,none,genre_rupture,re_registered,neutral,1,stable,none,Continuation breaks narrative frame by addressing the reader as an AI assistant offering options.
P0033,deepseek/deepseek-v4-flash,5,list_or_qa,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,stable,none,
P0034,deepseek/deepseek-v4-flash,5,other,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,2,stable,none,
P0035,deepseek/deepseek-v4-flash,5,genre_fiction,2,realized,none,somatic_enacted,none,escalates,absent,none,intact,none,neutral,4,stable,two,
P0036,deepseek/deepseek-v4-flash,5,literary_fiction,2,realized,by_character,named_emotion,both,escalates,absent,none,intact,none,neutral,4,stable,two,
P0037,deepseek/deepseek-v4-flash,3,literary_fiction,0,realized,none,named_emotion,interpersonal,sustains,absent,none,intact,none,elevated,3,stable,three_plus,
P0038,deepseek/deepseek-v4-flash,3,genre_fiction,0,absent,none,somatic_enacted,interpersonal,sustains,absent,none,intact,re_registered,neutral,2,unanchored,three_plus,
P0039,deepseek/deepseek-v4-flash,3,fragment,0,alluded,none,none,none,sustains,absent,none,genre_rupture,none,neutral,2,unanchored,three_plus,"Continuation shifts into a translation instruction, breaking the narrative frame."
