family,layer,model_id,prompt_type,idx,genre,language,code_lang,surprisal_mean,surprisal_std,n_tokens
olmo,base,allenai/Olmo-3-1025-7B,bos,0,prose,en,,2.8346,2.7426,49
olmo,base,allenai/Olmo-3-1025-7B,bos,1,prose,en,,3.18,2.785,52
olmo,base,allenai/Olmo-3-1025-7B,bos,2,prose,en,,2.7707,2.4052,105
olmo,base,allenai/Olmo-3-1025-7B,bos,3,prose,en,,2.6068,2.0644,101
olmo,base,allenai/Olmo-3-1025-7B,bos,4,prose,en,,1.789,2.3614,125
olmo,base,allenai/Olmo-3-1025-7B,bos,5,prose,en,,3.2952,3.1336,102
olmo,base,allenai/Olmo-3-1025-7B,bos,6,prose,en,,1.977,2.3159,109
olmo,base,allenai/Olmo-3-1025-7B,bos,7,prose,en,,1.6259,2.1489,84
olmo,base,allenai/Olmo-3-1025-7B,bos,8,prose,en,,2.1129,2.4626,100
olmo,base,allenai/Olmo-3-1025-7B,bos,9,exam,en,,2.1257,2.7537,95
olmo,base,allenai/Olmo-3-1025-7B,bos,10,code,en,python,2.0036,2.2607,121
olmo,base,allenai/Olmo-3-1025-7B,bos,11,prose,en,,0.5748,1.5927,123
olmo,base,allenai/Olmo-3-1025-7B,bos,12,prose,en,,1.5895,2.1675,101
olmo,base,allenai/Olmo-3-1025-7B,bos,13,prose,en,,3.8425,2.8116,99
olmo,base,allenai/Olmo-3-1025-7B,bos,14,prose,en,,2.1598,2.6342,113
olmo,base,allenai/Olmo-3-1025-7B,bos,15,prose,en,,1.682,2.6163,128
olmo,base,allenai/Olmo-3-1025-7B,bos,16,prose,en,,2.6433,2.5041,99
olmo,base,allenai/Olmo-3-1025-7B,bos,17,prose,en,,1.9144,2.7127,131
olmo,base,allenai/Olmo-3-1025-7B,bos,18,prose,en,,2.122,2.015,98
olmo,base,allenai/Olmo-3-1025-7B,bos,19,exam,en,,2.8102,3.1369,103
olmo,base,allenai/Olmo-3-1025-7B,bos,20,prose,en,,2.0616,2.0522,108
olmo,base,allenai/Olmo-3-1025-7B,bos,21,code,en,python,1.2624,2.0143,108
olmo,base,allenai/Olmo-3-1025-7B,bos,22,prose,en,,2.9888,2.7149,116
olmo,base,allenai/Olmo-3-1025-7B,bos,23,prose,en,,1.9179,2.2834,117
olmo,base,allenai/Olmo-3-1025-7B,bos,24,prose,en,,3.4725,4.7722,96
olmo,base,allenai/Olmo-3-1025-7B,bos,25,math,en,,1.8923,2.3141,107
olmo,base,allenai/Olmo-3-1025-7B,bos,26,prose,en,,2.6541,2.5172,94
olmo,base,allenai/Olmo-3-1025-7B,bos,27,prose,en,,2.07,2.5982,119
olmo,base,allenai/Olmo-3-1025-7B,bos,28,prose,en,,2.2913,2.5555,97
olmo,base,allenai/Olmo-3-1025-7B,bos,29,prose,en,,1.6202,1.8593,92
olmo,base,allenai/Olmo-3-1025-7B,bos,30,code,en,python,2.1412,2.7487,113
olmo,base,allenai/Olmo-3-1025-7B,bos,31,prose,en,,2.0622,1.9392,60
olmo,base,allenai/Olmo-3-1025-7B,bos,32,prose,en,,2.3908,2.0929,103
olmo,base,allenai/Olmo-3-1025-7B,bos,33,prose,en,,1.916,2.3024,104
olmo,base,allenai/Olmo-3-1025-7B,bos,34,prose,en,,0.7674,1.7519,104
olmo,base,allenai/Olmo-3-1025-7B,bos,35,math,en,,1.5791,2.0147,82
olmo,base,allenai/Olmo-3-1025-7B,bos,36,prose,en,,2.3921,2.1629,98
olmo,base,allenai/Olmo-3-1025-7B,bos,37,prose,en,,2.0102,2.13,108
olmo,base,allenai/Olmo-3-1025-7B,bos,38,math,en,,2.5831,2.5095,108
olmo,base,allenai/Olmo-3-1025-7B,bos,39,prose,en,,1.3383,2.3904,120
olmo,base,allenai/Olmo-3-1025-7B,bos,40,prose,en,,3.0513,2.1945,99
olmo,base,allenai/Olmo-3-1025-7B,bos,41,prose,en,,2.9166,2.7823,107
olmo,base,allenai/Olmo-3-1025-7B,bos,42,prose,en,,1.0136,1.8533,71
olmo,base,allenai/Olmo-3-1025-7B,bos,43,prose,en,,2.3379,2.5978,96
olmo,base,allenai/Olmo-3-1025-7B,bos,44,prose,zh,,1.7403,2.1055,112
olmo,base,allenai/Olmo-3-1025-7B,bos,45,prose,en,,3.201,2.6592,82
olmo,base,allenai/Olmo-3-1025-7B,bos,46,prose,en,,3.089,2.2184,101
olmo,base,allenai/Olmo-3-1025-7B,bos,47,prose,en,,1.891,2.1077,104
olmo,base,allenai/Olmo-3-1025-7B,bos,48,prose,en,,1.1162,1.7783,117
olmo,base,allenai/Olmo-3-1025-7B,bos,49,prose,en,,2.887,3.1153,113
olmo,base,allenai/Olmo-3-1025-7B,bos,50,prose,zh,,1.8922,2.1712,131
olmo,base,allenai/Olmo-3-1025-7B,bos,51,prose,en,,3.0337,2.8539,93
olmo,base,allenai/Olmo-3-1025-7B,bos,52,prose,en,,2.3305,2.7325,111
olmo,base,allenai/Olmo-3-1025-7B,bos,53,prose,zh,,2.122,2.0244,117
olmo,base,allenai/Olmo-3-1025-7B,bos,54,prose,en,,2.8745,2.6998,102
olmo,base,allenai/Olmo-3-1025-7B,bos,55,code,en,python,1.3985,2.1168,100
olmo,base,allenai/Olmo-3-1025-7B,bos,56,prose,en,,1.8046,2.6311,136
olmo,base,allenai/Olmo-3-1025-7B,bos,57,prose,en,,3.5558,2.5911,121
olmo,base,allenai/Olmo-3-1025-7B,bos,58,prose,en,,4.0039,1.5757,99
olmo,base,allenai/Olmo-3-1025-7B,bos,59,prose,en,,2.3859,2.063,100
olmo,base,allenai/Olmo-3-1025-7B,bos,60,prose,en,,1.8407,2.2903,100
olmo,base,allenai/Olmo-3-1025-7B,bos,61,prose,en,,3.6439,2.6944,101
olmo,base,allenai/Olmo-3-1025-7B,bos,62,prose,en,,2.3657,2.031,107
olmo,base,allenai/Olmo-3-1025-7B,bos,63,prose,en,,3.4,1.9696,106
olmo,base,allenai/Olmo-3-1025-7B,bos,64,prose,en,,2.5054,3.1782,108
olmo,base,allenai/Olmo-3-1025-7B,bos,65,prose,en,,0.4519,1.4405,74
olmo,base,allenai/Olmo-3-1025-7B,bos,66,prose,en,,2.5205,3.1292,104
olmo,base,allenai/Olmo-3-1025-7B,bos,67,code,en,javascript,1.0647,2.0706,130
olmo,base,allenai/Olmo-3-1025-7B,bos,68,prose,en,,2.4902,2.6469,115
olmo,base,allenai/Olmo-3-1025-7B,bos,69,prose,en,,2.6041,2.8322,115
olmo,base,allenai/Olmo-3-1025-7B,bos,70,math,en,,1.9793,2.3601,100
olmo,base,allenai/Olmo-3-1025-7B,bos,71,prose,en,,1.7024,2.7081,105
olmo,base,allenai/Olmo-3-1025-7B,bos,72,code,en,python,0.8107,1.7374,128
olmo,base,allenai/Olmo-3-1025-7B,bos,73,math,en,,1.8931,2.2177,107
olmo,base,allenai/Olmo-3-1025-7B,bos,74,code,en,javascript,1.3926,2.1228,110
olmo,base,allenai/Olmo-3-1025-7B,bos,75,prose,en,,2.6198,2.6842,105
olmo,base,allenai/Olmo-3-1025-7B,bos,76,exam,en,,2.5803,2.9393,109
olmo,base,allenai/Olmo-3-1025-7B,bos,77,prose,en,,0.4339,0.9841,99
olmo,base,allenai/Olmo-3-1025-7B,bos,78,prose,en,,2.4374,2.0916,106
olmo,base,allenai/Olmo-3-1025-7B,bos,79,prose,en,,2.5033,3.0022,93
olmo,base,allenai/Olmo-3-1025-7B,bos,80,code,en,unknown,2.2165,3.2285,109
olmo,base,allenai/Olmo-3-1025-7B,bos,81,prose,en,,4.6706,3.3707,99
olmo,base,allenai/Olmo-3-1025-7B,bos,82,prose,en,,1.8976,1.8605,101
olmo,base,allenai/Olmo-3-1025-7B,bos,83,code,en,python,2.3167,2.6957,101
olmo,base,allenai/Olmo-3-1025-7B,bos,84,prose,en,,2.8149,2.3424,103
olmo,base,allenai/Olmo-3-1025-7B,bos,85,prose,en,,3.1615,2.8311,101
olmo,base,allenai/Olmo-3-1025-7B,bos,86,prose,en,,2.3239,2.5096,104
olmo,base,allenai/Olmo-3-1025-7B,bos,87,prose,en,,6.1137,0.9579,99
olmo,base,allenai/Olmo-3-1025-7B,bos,88,math,en,,2.2845,2.377,98
olmo,base,allenai/Olmo-3-1025-7B,bos,89,prose,en,,2.5083,1.9237,100
olmo,base,allenai/Olmo-3-1025-7B,bos,90,prose,en,,2.2448,2.1745,111
olmo,base,allenai/Olmo-3-1025-7B,bos,91,prose,en,,2.1799,2.8543,105
olmo,base,allenai/Olmo-3-1025-7B,bos,92,prose,en,,2.7827,2.5898,103
olmo,base,allenai/Olmo-3-1025-7B,bos,93,prose,en,,2.1603,1.7512,106
olmo,base,allenai/Olmo-3-1025-7B,bos,94,prose,en,,2.7605,3.4138,114
olmo,base,allenai/Olmo-3-1025-7B,bos,95,prose,en,,2.538,1.9542,93
olmo,base,allenai/Olmo-3-1025-7B,bos,96,prose,en,,2.3827,2.5482,108
olmo,base,allenai/Olmo-3-1025-7B,bos,97,prose,en,,2.1853,2.337,101
olmo,base,allenai/Olmo-3-1025-7B,bos,98,prose,en,,0.9512,2.1184,102
olmo,base,allenai/Olmo-3-1025-7B,bos,99,exam,en,,3.5884,2.7823,98
olmo,base,allenai/Olmo-3-1025-7B,the,0,exam,en,,2.5441,2.6246,107
olmo,base,allenai/Olmo-3-1025-7B,the,1,math,en,,2.4349,2.4073,98
olmo,base,allenai/Olmo-3-1025-7B,the,2,math,en,,2.3723,2.7566,109
olmo,base,allenai/Olmo-3-1025-7B,the,3,exam,en,,2.4439,2.6693,111
olmo,base,allenai/Olmo-3-1025-7B,the,4,prose,en,,2.8874,2.7397,107
olmo,base,allenai/Olmo-3-1025-7B,the,5,prose,en,,2.1511,2.2017,105
olmo,base,allenai/Olmo-3-1025-7B,the,6,math,en,,2.0551,1.9477,99
olmo,base,allenai/Olmo-3-1025-7B,the,7,exam,en,,3.3455,3.2139,109
olmo,base,allenai/Olmo-3-1025-7B,the,8,exam,en,,2.3244,2.5461,109
olmo,base,allenai/Olmo-3-1025-7B,the,9,prose,en,,2.6485,2.5727,92
olmo,base,allenai/Olmo-3-1025-7B,the,10,prose,en,,2.0537,2.3832,97
olmo,base,allenai/Olmo-3-1025-7B,the,11,prose,en,,3.0301,2.0033,99
olmo,base,allenai/Olmo-3-1025-7B,the,12,prose,en,,2.5888,1.9697,101
olmo,base,allenai/Olmo-3-1025-7B,the,13,exam,en,,1.7978,2.5258,103
olmo,base,allenai/Olmo-3-1025-7B,the,14,prose,en,,2.8062,2.9055,115
olmo,base,allenai/Olmo-3-1025-7B,the,15,prose,en,,2.29,2.3842,103
olmo,base,allenai/Olmo-3-1025-7B,the,16,exam,en,,2.6717,2.9071,103
olmo,base,allenai/Olmo-3-1025-7B,the,17,prose,en,,2.5335,2.6219,108
olmo,base,allenai/Olmo-3-1025-7B,the,18,prose,en,,3.1024,2.7621,102
olmo,base,allenai/Olmo-3-1025-7B,the,19,math,en,,2.6447,2.4684,99
olmo,base,allenai/Olmo-3-1025-7B,the,20,prose,en,,3.1351,2.8344,104
olmo,base,allenai/Olmo-3-1025-7B,the,21,exam,en,,2.4699,2.5819,105
olmo,base,allenai/Olmo-3-1025-7B,the,22,prose,en,,2.6448,2.7508,94
olmo,base,allenai/Olmo-3-1025-7B,the,23,exam,en,,3.0613,2.8785,106
olmo,base,allenai/Olmo-3-1025-7B,the,24,exam,en,,2.5754,2.8207,107
olmo,base,allenai/Olmo-3-1025-7B,the,25,exam,en,,2.6488,2.9114,109
olmo,base,allenai/Olmo-3-1025-7B,the,26,prose,en,,2.9204,2.7769,108
olmo,base,allenai/Olmo-3-1025-7B,the,27,exam,en,,3.3773,3.2446,103
olmo,base,allenai/Olmo-3-1025-7B,the,28,exam,en,,3.0812,2.6589,107
olmo,base,allenai/Olmo-3-1025-7B,the,29,prose,en,,2.2016,2.4186,108
olmo,base,allenai/Olmo-3-1025-7B,the,30,prose,en,,2.0993,2.1255,97
olmo,base,allenai/Olmo-3-1025-7B,the,31,math,en,,1.8309,1.8941,103
olmo,base,allenai/Olmo-3-1025-7B,the,32,prose,en,,3.1763,2.7133,99
olmo,base,allenai/Olmo-3-1025-7B,the,33,exam,en,,2.6475,3.0674,109
olmo,base,allenai/Olmo-3-1025-7B,the,34,prose,en,,2.4723,2.6806,97
olmo,base,allenai/Olmo-3-1025-7B,the,35,exam,en,,2.3997,2.7484,112
olmo,base,allenai/Olmo-3-1025-7B,the,36,exam,en,,2.9729,3.3336,102
olmo,base,allenai/Olmo-3-1025-7B,the,37,prose,en,,3.0586,2.9098,99
olmo,base,allenai/Olmo-3-1025-7B,the,38,exam,en,,2.6579,2.8937,106
