code,model,fluency,genre,inwardness,content_realization,impulse_containment,affect_location,conflict_location,intensity_trajectory,tact,closure,frame_integrity,scene_displacement,register,binding,subject_stability,cast_size,notes
S01,deepseek/deepseek-chat,5,literary_fiction,2,realized,none,somatic_enacted,intrapsychic,sustains,present,none,intact,none,elevated,4,stable,one,
S02,deepseek/deepseek-chat,5,literary_fiction,2,alluded,by_character,reflective,intrapsychic,de_escalates,absent,none,intact,re_registered,neutral,3,stable,one,
S03,deepseek/deepseek-chat,2,genre_fiction,1,alluded,by_scene_change,somatic_enacted,interpersonal,sustains,absent,none,intact,re_registered,demotic,1,minor_drift,three_plus,Pronoun reference is confusing; the opening impulse is abandoned for a different scene.
S04,deepseek/deepseek-chat,5,genre_fiction,1,alluded,by_scene_change,somatic_enacted,intrapsychic,de_escalates,absent,partial,intact,re_registered,neutral,3,minor_drift,two,
S05,deepseek/deepseek-chat,5,literary_fiction,2,alluded,by_character,reflective,intrapsychic,de_escalates,absent,none,intact,none,neutral,3,stable,one,
S06,deepseek/deepseek-chat,3,genre_fiction,1,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,demotic,2,minor_drift,two,"The passage contains a parenthetical gloss that breaks the fictional frame slightly, but it is a translation note rather than a narrator intrusion or genre rupture."
S07,deepseek/deepseek-chat,4,advice_or_essay,0,alluded,by_narrator,reflective,intrapsychic,defused_averted,absent,partial,narrator_intrusion,re_registered,demotic,3,minor_drift,none,"The opening's violent impulse is defused by advice, then briefly re-engaged with a contradictory remark."
S08,deepseek/deepseek-chat,3,list_or_qa,0,absent,none,none,none,defused_averted,absent,none,genre_rupture,re_registered,neutral,1,minor_drift,none,"The continuation abandons the opening's emotional setup for a fill-in-the-blank exercise, with a typo ('someaptops') and an unrelated final sentence."
S09,deepseek/deepseek-chat,2,list_or_qa,0,absent,none,none,interpersonal,sustains,absent,none,genre_rupture,re_registered,demotic,1,unanchored,three_plus,
S10,deepseek/deepseek-chat,5,genre_fiction,0,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,neutral,3,minor_drift,three_plus,
S11,deepseek/deepseek-chat,5,genre_fiction,2,realized,none,named_emotion,intrapsychic,sustains,absent,none,intact,none,neutral,3,stable,one,
