pair,model,js_to_A,js_to_B,js_to_mean,ratio
love/hate,base,0.25234341621398926,0.14041127264499664,0.12081949412822723,0.8604686208755937
love/hate,sft,0.37116944789886475,0.2768704295158386,0.25110238790512085,0.9069310447642308
love/hate,dpo,0.43079763650894165,0.3454192876815796,0.31441038846969604,0.9102282347346258
love/hate,rlvr,0.4372642934322357,0.3566995859146118,0.3251396417617798,0.9115223414910636
trust/fear,base,0.06522296369075775,0.07131601870059967,0.034535348415374756,0.529496767106713
trust/fear,sft,0.22655542194843292,0.14981946349143982,0.12863516807556152,0.8586011795651057
trust/fear,dpo,0.33705252408981323,0.19513601064682007,0.19471481442451477,0.9978415248886705
trust/fear,rlvr,0.3339860737323761,0.20705808699131012,0.19870316982269287,0.9596494042323115
beautiful/disgusting,base,0.07990241795778275,0.18375317752361298,0.06699328124523163,0.838438722600713
beautiful/disgusting,sft,0.16355253756046295,0.3227369487285614,0.17901641130447388,1.0945498857716847
beautiful/disgusting,dpo,0.25056523084640503,0.4357229173183441,0.2803024649620056,1.1186806086987757
beautiful/disgusting,rlvr,0.25844767689704895,0.4456983208656311,0.2914038896560669,1.1275159953252196
desire/disgust,base,0.11097481846809387,0.16355130076408386,0.08616362512111664,0.7764250152469441
desire/disgust,sft,0.3502236008644104,0.2811215817928314,0.2477341890335083,0.8812350423386295
desire/disgust,dpo,0.4629557728767395,0.397377610206604,0.3763560652732849,0.9470993221727072
desire/disgust,rlvr,0.4786686301231384,0.40052127838134766,0.3867567777633667,0.9656335346935665
obey/rebel,base,0.0952661782503128,0.1193835437297821,0.06955300271511078,0.7300912453143611
obey/rebel,sft,0.12564396858215332,0.13316267728805542,0.06574894487857819,0.5232956712568954
obey/rebel,dpo,0.13116559386253357,0.16654890775680542,0.07405176758766174,0.5645670133988854
obey/rebel,rlvr,0.129010409116745,0.1697503924369812,0.07390028238296509,0.5728241844120557
sacred/profane,base,0.09062772989273071,0.0857400968670845,0.04184834286570549,0.48808369006836294
sacred/profane,sft,0.1265987604856491,0.13623842597007751,0.08197946846485138,0.6475534843340298
sacred/profane,dpo,0.13204455375671387,0.19448524713516235,0.10616578906774521,0.8040149029042946
sacred/profane,rlvr,0.1322505921125412,0.19007323682308197,0.105929434299469,0.8009751231157157
man/woman,base,0.0329803042113781,0.04595974460244179,0.03156805410981178,0.9571789849931375
man/woman,sft,0.09767897427082062,0.1251082718372345,0.09782880544662476,1.0015339143036937
man/woman,dpo,0.13522478938102722,0.18522554636001587,0.14341235160827637,1.0605477905695144
man/woman,rlvr,0.14403259754180908,0.19391335546970367,0.15148372948169708,1.051732261078782
human/animal,base,0.0945877879858017,0.04073713719844818,0.023175131529569626,0.5688944565906425
human/animal,sft,0.11329026520252228,0.06010863557457924,0.046290017664432526,0.7701059460416234
human/animal,dpo,0.14908137917518616,0.09358475357294083,0.06987327337265015,0.7466309490059219
human/animal,rlvr,0.14581914246082306,0.10136733949184418,0.07292971014976501,0.7194596456350006
pleasure/pain,base,0.07194641977548599,0.07801352441310883,0.025384020060300827,0.35281839095695794
pleasure/pain,sft,0.176020085811615,0.2869122326374054,0.13974663615226746,0.7939243723686791
pleasure/pain,dpo,0.19207219779491425,0.34579992294311523,0.18103250861167908,0.9425232318369011
pleasure/pain,rlvr,0.18881937861442566,0.35190489888191223,0.1769462525844574,0.9371191340788516
create/destroy,base,0.11791736632585526,0.08396057784557343,0.05221182852983475,0.6218612338026859
create/destroy,sft,0.2023056149482727,0.14953500032424927,0.14221973717212677,0.9510799268648797
create/destroy,dpo,0.2621389627456665,0.22673796117305756,0.21000239253044128,0.9261898247826139
create/destroy,rlvr,0.26570507884025574,0.22959861159324646,0.2139624059200287,0.9318976470950153
free/captive,base,0.1044832095503807,0.08497199416160583,0.07928690314292908,0.9330945322071124
free/captive,sft,0.1751900315284729,0.21937020123004913,0.17845456302165985,1.0186342308675045
free/captive,dpo,0.21027709543704987,0.2664273679256439,0.21437862515449524,1.019505356534056
free/captive,rlvr,0.2145284116268158,0.2822791337966919,0.22514156997203827,1.0494720408580875
