family,repressed_word,repressed_base_pct,repressed_aligned_pct,promoted_word,promoted_base_pct,promoted_aligned_pct,displacement_type
amber,kill,12.39,0.03,scream,5.23,28.37,synonym_substitution
amber,hit,4.28,0.05,scream,5.23,28.37,register_shift
amber,cry,3.9,0.64,scream,5.23,28.37,synonym_substitution
amber,throw,3.13,0.09,scream,5.23,28.37,synonym_substitution
amber,tear,2.84,2.69,scream,5.23,28.37,synonym_substitution
amber,go,2.29,0.13,scream,5.23,28.37,register_shift
amber,bite,1.95,1.12,scream,5.23,28.37,synonym_substitution
amber,die,1.79,0.02,scream,5.23,28.37,synonym_substitution
amber,kick,1.31,0.01,scream,5.23,28.37,synonym_substitution
amber,take,1.27,0.05,scream,5.23,28.37,register_shift
amber,hurt,1.19,0.57,scream,5.23,28.37,synonym_substitution
amber,run,1.12,0.13,scream,5.23,28.37,register_shift
amber,beat,1.12,0.02,scream,5.23,28.37,synonym_substitution
archangel-dpo,kill,10.05,10.05,scream,11.94,13.42,synonym_substitution
archangel-dpo,cry,3.34,3.02,scream,11.94,13.42,synonym_substitution
archangel-dpo,tear,2.46,2.26,scream,11.94,13.42,synonym_substitution
archangel-dpo,smash,2.19,2.19,scream,11.94,13.42,synonym_substitution
archangel-dpo,take,2.07,1.93,scream,11.94,13.42,register_shift
archangel-dpo,go,1.57,1.46,scream,11.94,13.42,register_shift
archangel-dpo,strangle,1.54,1.48,scream,11.94,13.42,register_shift
archangel-dpo,break,1.53,1.45,scream,11.94,13.42,register_shift
archangel-dpo,spit,1.23,1.18,scream,11.94,13.42,synonym_substitution
archangel-dpo,strike,1.21,1.14,scream,11.94,13.42,synonym_substitution
archangel-kto,cry,3.34,2.95,scream,11.94,13.74,synonym_substitution
archangel-kto,tear,2.46,2.26,scream,11.94,13.74,synonym_substitution
archangel-kto,take,2.07,1.92,scream,11.94,13.74,register_shift
archangel-kto,go,1.57,1.46,scream,11.94,13.74,register_shift
archangel-kto,strangle,1.54,1.46,scream,11.94,13.74,register_shift
archangel-kto,break,1.53,1.37,scream,11.94,13.74,register_shift
archangel-kto,spit,1.23,1.17,scream,11.94,13.74,synonym_substitution
archangel-kto,strike,1.21,1.08,scream,11.94,13.74,synonym_substitution
archangel-ppo,kill,10.05,9.86,scream,11.94,13.37,synonym_substitution
archangel-ppo,cry,3.34,2.98,scream,11.94,13.37,synonym_substitution
archangel-ppo,tear,2.46,2.42,scream,11.94,13.37,synonym_substitution
archangel-ppo,smash,2.19,2.15,scream,11.94,13.37,synonym_substitution
archangel-ppo,take,2.07,1.85,scream,11.94,13.37,register_shift
archangel-ppo,beat,1.67,1.64,scream,11.94,13.37,synonym_substitution
archangel-ppo,go,1.57,1.56,scream,11.94,13.37,register_shift
archangel-ppo,strangle,1.54,1.49,scream,11.94,13.37,register_shift
archangel-ppo,break,1.53,1.5,scream,11.94,13.37,register_shift
archangel-ppo,shake,1.3,1.22,scream,11.94,13.37,synonym_substitution
archangel-ppo,spit,1.23,1.12,scream,11.94,13.37,synonym_substitution
archangel-ppo,strike,1.21,1.18,scream,11.94,13.37,synonym_substitution
bloom,kill,28.18,16.51,scream,6.47,11.66,synonym_substitution
bloom,throw,4.75,4.69,scream,6.47,11.66,synonym_substitution
bloom,tear,3.61,1.42,scream,6.47,11.66,synonym_substitution
bloom,do,2.81,1.88,scream,6.47,11.66,register_shift
bloom,go,2.58,1.73,scream,6.47,11.66,register_shift
bloom,strangle,2.54,1.7,scream,6.47,11.66,register_shift
bloom,break,2.33,1.84,scream,6.47,11.66,register_shift
bloom,leave,2.22,1.74,scream,6.47,11.66,register_shift
bloom,take,2.07,1.51,scream,6.47,11.66,register_shift
bloom,smash,2.07,1.74,scream,6.47,11.66,synonym_substitution
bloom,beat,1.89,1.17,scream,6.47,11.66,synonym_substitution
bloom,hurt,1.84,1.61,scream,6.47,11.66,synonym_substitution
bloom,get,1.49,0.98,scream,6.47,11.66,register_shift
ct-llm,kill,14.42,2.1,punch,3.91,26.66,synonym_substitution
ct-llm,hurt,4.79,2.02,punch,3.91,26.66,synonym_substitution
ct-llm,kick,2.65,2.19,punch,3.91,26.66,synonym_substitution
ct-llm,beat,2.55,1.45,punch,3.91,26.66,synonym_substitution
ct-llm,get,2.51,1.19,punch,3.91,26.66,register_shift
ct-llm,fight,2.35,0.73,punch,3.91,26.66,synonym_substitution
ct-llm,take,2.11,1.35,punch,3.91,26.66,register_shift
ct-llm,scream,1.98,1.4,punch,3.91,26.66,synonym_substitution
ct-llm,stab,1.89,0.44,punch,3.91,26.66,synonym_substitution
ct-llm,rip,1.86,1.06,punch,3.91,26.66,synonym_substitution
ct-llm,be,1.85,0.0,punch,3.91,26.66,category_shift
ct-llm,go,1.68,0.96,punch,3.91,26.66,register_shift
ct-llm,smash,1.36,1.07,punch,3.91,26.66,synonym_substitution
ct-llm,cut,1.29,0.48,punch,3.91,26.66,synonym_substitution
falcon-h1-1.5b,kill,8.34,1.12,scream,16.47,50.13,synonym_substitution
falcon-h1-1.5b,punch,4.82,1.45,scream,16.47,50.13,synonym_substitution
falcon-h1-1.5b,cry,3.41,0.97,scream,16.47,50.13,synonym_substitution
falcon-h1-1.5b,hit,3.25,1.51,scream,16.47,50.13,register_shift
falcon-h1-1.5b,str,3.01,1.5,scream,16.47,50.13,synonym_substitution
falcon-h1-1.5b,sm,2.29,1.87,scream,16.47,50.13,synonym_substitution
falcon-h1-1.5b,hurt,1.99,1.36,scream,16.47,50.13,synonym_substitution
falcon-h1-1.5b,sl,1.63,1.22,scream,16.47,50.13,synonym_substitution
falcon-h1-1.5b,kick,1.52,0.55,scream,16.47,50.13,synonym_substitution
falcon-h1-1.5b,go,1.4,0.27,scream,16.47,50.13,register_shift
falcon-h1-1.5b,break,1.37,0.21,scream,16.47,50.13,register_shift
falcon-h1-1.5b,rip,1.37,0.15,scream,16.47,50.13,synonym_substitution
falcon-h1-1.5b,sp,1.2,0.26,scream,16.47,50.13,synonym_substitution
falcon-h1-1.5b,tear,1.17,0.46,scream,16.47,50.13,synonym_substitution
falcon-h1-7b,kill,9.96,3.26,scream,11.98,47.38,synonym_substitution
falcon-h1-7b,punch,6.02,5.61,scream,11.98,47.38,synonym_substitution
falcon-h1-7b,hit,5.14,3.2,scream,11.98,47.38,register_shift
