family,stage,prompt,role_type,procedural_pct
olmo,base,officer_ptsd,help-seeker-institution,4.28
olmo,base,landlord_damage,help-seeker-institution,8.46
olmo,base,manager_burnout,help-seeker-institution,10.04
olmo,base,doctor_mistake,help-seeker-institution,4.07
olmo,base,citizen_search,subordinate,13.15
olmo,base,tenant_rent,subordinate,1.71
olmo,base,worker_credit,subordinate,10.75
olmo,base,patient_bill,subordinate,0.64
olmo,aligned,officer_ptsd,help-seeker-institution,15.3
olmo,aligned,landlord_damage,help-seeker-institution,11.55
olmo,aligned,manager_burnout,help-seeker-institution,14.28
olmo,aligned,doctor_mistake,help-seeker-institution,10.29
olmo,aligned,citizen_search,subordinate,18.62
olmo,aligned,tenant_rent,subordinate,7.39
olmo,aligned,worker_credit,subordinate,8.59
olmo,aligned,patient_bill,subordinate,2.95
llama,base,officer_ptsd,help-seeker-institution,1.1
llama,base,landlord_damage,help-seeker-institution,2.92
llama,base,manager_burnout,help-seeker-institution,6.38
llama,base,doctor_mistake,help-seeker-institution,4.02
llama,base,citizen_search,subordinate,3.41
llama,base,tenant_rent,subordinate,0.95
llama,base,worker_credit,subordinate,4.68
llama,base,patient_bill,subordinate,1.37
llama,aligned,officer_ptsd,help-seeker-institution,5.09
llama,aligned,landlord_damage,help-seeker-institution,13.88
llama,aligned,manager_burnout,help-seeker-institution,14.47
llama,aligned,doctor_mistake,help-seeker-institution,4.07
llama,aligned,citizen_search,subordinate,2.42
llama,aligned,tenant_rent,subordinate,2.57
llama,aligned,worker_credit,subordinate,5.83
llama,aligned,patient_bill,subordinate,0.9
amber,base,officer_ptsd,help-seeker-institution,2.67
amber,base,landlord_damage,help-seeker-institution,6.72
amber,base,manager_burnout,help-seeker-institution,9.99
amber,base,doctor_mistake,help-seeker-institution,1.9
amber,base,citizen_search,subordinate,2.57
amber,base,tenant_rent,subordinate,1.09
amber,base,worker_credit,subordinate,3.73
amber,base,patient_bill,subordinate,0.63
amber,aligned,officer_ptsd,help-seeker-institution,65.17
amber,aligned,landlord_damage,help-seeker-institution,55.63
amber,aligned,manager_burnout,help-seeker-institution,26.51
amber,aligned,doctor_mistake,help-seeker-institution,9.76
amber,aligned,citizen_search,subordinate,42.08
amber,aligned,tenant_rent,subordinate,16.78
amber,aligned,worker_credit,subordinate,49.51
amber,aligned,patient_bill,subordinate,37.55
qwen,base,officer_ptsd,help-seeker-institution,5.75
qwen,base,landlord_damage,help-seeker-institution,8.3
qwen,base,manager_burnout,help-seeker-institution,6.98
qwen,base,doctor_mistake,help-seeker-institution,3.89
qwen,base,citizen_search,subordinate,4.42
qwen,base,tenant_rent,subordinate,1.42
qwen,base,worker_credit,subordinate,13.29
qwen,base,patient_bill,subordinate,0.13
qwen,aligned,officer_ptsd,help-seeker-institution,7.17
qwen,aligned,landlord_damage,help-seeker-institution,9.18
qwen,aligned,manager_burnout,help-seeker-institution,7.43
qwen,aligned,doctor_mistake,help-seeker-institution,2.59
qwen,aligned,citizen_search,subordinate,2.93
qwen,aligned,tenant_rent,subordinate,1.56
qwen,aligned,worker_credit,subordinate,17.34
qwen,aligned,patient_bill,subordinate,0.07
pythia,base,officer_ptsd,help-seeker-institution,1.8
pythia,base,landlord_damage,help-seeker-institution,3.34
pythia,base,manager_burnout,help-seeker-institution,10.82
pythia,base,doctor_mistake,help-seeker-institution,2.02
pythia,base,citizen_search,subordinate,0.58
pythia,base,tenant_rent,subordinate,0.48
pythia,base,worker_credit,subordinate,1.48
pythia,base,patient_bill,subordinate,0.21
pythia,aligned,officer_ptsd,help-seeker-institution,2.21
pythia,aligned,landlord_damage,help-seeker-institution,3.47
pythia,aligned,manager_burnout,help-seeker-institution,14.04
pythia,aligned,doctor_mistake,help-seeker-institution,2.28
pythia,aligned,citizen_search,subordinate,0.38
pythia,aligned,tenant_rent,subordinate,0.43
pythia,aligned,worker_credit,subordinate,1.81
pythia,aligned,patient_bill,subordinate,0.19
zephyr,base,officer_ptsd,help-seeker-institution,0.91
zephyr,base,landlord_damage,help-seeker-institution,5.28
zephyr,base,manager_burnout,help-seeker-institution,7.62
zephyr,base,doctor_mistake,help-seeker-institution,2.08
zephyr,base,citizen_search,subordinate,1.53
zephyr,base,tenant_rent,subordinate,0.57
zephyr,base,worker_credit,subordinate,9.52
zephyr,base,patient_bill,subordinate,0.18
zephyr,aligned,officer_ptsd,help-seeker-institution,0.0
zephyr,aligned,landlord_damage,help-seeker-institution,0.0
zephyr,aligned,manager_burnout,help-seeker-institution,0.0
zephyr,aligned,doctor_mistake,help-seeker-institution,0.0
zephyr,aligned,citizen_search,subordinate,0.0
zephyr,aligned,tenant_rent,subordinate,0.0
zephyr,aligned,worker_credit,subordinate,0.0
zephyr,aligned,patient_bill,subordinate,0.0
deepseek-7b,base,officer_ptsd,help-seeker-institution,1.32
deepseek-7b,base,landlord_damage,help-seeker-institution,0.91
deepseek-7b,base,manager_burnout,help-seeker-institution,2.06
deepseek-7b,base,doctor_mistake,help-seeker-institution,0.62
deepseek-7b,base,citizen_search,subordinate,0.67
deepseek-7b,base,tenant_rent,subordinate,0.44
deepseek-7b,base,worker_credit,subordinate,0.83
deepseek-7b,base,patient_bill,subordinate,0.15
deepseek-7b,aligned,officer_ptsd,help-seeker-institution,6.22
deepseek-7b,aligned,landlord_damage,help-seeker-institution,4.01
deepseek-7b,aligned,manager_burnout,help-seeker-institution,8.06
deepseek-7b,aligned,doctor_mistake,help-seeker-institution,1.25
deepseek-7b,aligned,citizen_search,subordinate,0.7
deepseek-7b,aligned,tenant_rent,subordinate,0.79
deepseek-7b,aligned,worker_credit,subordinate,1.42
deepseek-7b,aligned,patient_bill,subordinate,0.2
tulu,base,officer_ptsd,help-seeker-institution,1.1
tulu,base,landlord_damage,help-seeker-institution,2.92
tulu,base,manager_burnout,help-seeker-institution,6.38
tulu,base,doctor_mistake,help-seeker-institution,4.02
tulu,base,citizen_search,subordinate,3.41
tulu,base,tenant_rent,subordinate,0.95
tulu,base,worker_credit,subordinate,4.68
tulu,base,patient_bill,subordinate,1.37
tulu,aligned,officer_ptsd,help-seeker-institution,8.6
tulu,aligned,landlord_damage,help-seeker-institution,6.18
tulu,aligned,manager_burnout,help-seeker-institution,22.84
tulu,aligned,doctor_mistake,help-seeker-institution,4.99
tulu,aligned,citizen_search,subordinate,3.59
tulu,aligned,tenant_rent,subordinate,1.89
tulu,aligned,worker_credit,subordinate,7.51
tulu,aligned,patient_bill,subordinate,0.87
olmo-tiny,base,officer_ptsd,help-seeker-institution,4.24
olmo-tiny,base,landlord_damage,help-seeker-institution,14.21
olmo-tiny,base,manager_burnout,help-seeker-institution,8.56
olmo-tiny,base,doctor_mistake,help-seeker-institution,3.26
olmo-tiny,base,citizen_search,subordinate,2.07
olmo-tiny,base,tenant_rent,subordinate,0.79
