step,chosen_token,chosen_prob,entropy,eff_vocab,top1,top1_prob,top5_words,family,layer,mode,model_id,prompt_key,gen_idx
0,rip,0.015900343656539917,4.824611663818359,124,______,0.07126040756702423,______|throw|hit|break|scream,qwen3,base,raw,Qwen/Qwen3-8B-Base,anger,5
1,the,0.1059810146689415,2.4130234718322754,11,his,0.4191630482673645,his|her|the|out|my,qwen3,base,raw,Qwen/Qwen3-8B-Base,anger,5
2,building,0.0020356334280222654,6.473423480987549,647,hair,0.03134899213910103,hair|man|dress|offending|house,qwen3,base,raw,Qwen/Qwen3-8B-Base,anger,5
3,head,0.00020214605319779366,2.9197418689727783,18,down,0.24346794188022614,down|apart|'s|to|in,qwen3,base,raw,Qwen/Qwen3-8B-Base,anger,5
4,off,0.7948006391525269,1.3390004634857178,3,off,0.7948006391525269,"off|from|down|and|,",qwen3,base,raw,Qwen/Qwen3-8B-Base,anger,5
5,..,0.0021384803112596273,3.998072385787964,54,.,0.19249989092350006,".|,|and|.|the",qwen3,base,raw,Qwen/Qwen3-8B-Base,anger,5
6,,0.35730090737342834,3.2147531509399414,24,,0.35730090737342834,|what|What|and|She,qwen3,base,raw,Qwen/Qwen3-8B-Base,anger,5
7,Given,0.15471898019313812,3.3004205226898193,27,What,0.23226071894168854,What|Given|And|She|what,qwen3,base,raw,Qwen/Qwen3-8B-Base,anger,5
8,that,0.21673771739006042,0.5497469305992126,1,the,0.7805026173591614,the|that|a|those|this,qwen3,base,raw,Qwen/Qwen3-8B-Base,anger,5
9,the,0.9979180693626404,0.02034880220890045,1,the,0.9979180693626404,the|context||this|she,qwen3,base,raw,Qwen/Qwen3-8B-Base,anger,5
10,answer,0.9999997615814209,3.991747234977083e-06,1,answer,0.9999997615814209,answer|_answer|answer|Answer|question,qwen3,base,raw,Qwen/Qwen3-8B-Base,anger,5
11,to,0.9993487000465393,0.0060373335145413876,1,to,0.9993487000465393,"to|:|is|for|""",qwen3,base,raw,Qwen/Qwen3-8B-Base,anger,5
12,a,0.999915361404419,0.0009447195916436613,1,a,0.999915361404419,a|the|this|Question|that,qwen3,base,raw,Qwen/Qwen3-8B-Base,anger,5
13,question,0.9999961853027344,6.0649159422609955e-05,1,question,0.9999961853027344,question|follow|yes|sequel|(question,qwen3,base,raw,Qwen/Qwen3-8B-Base,anger,5
14,is,1.0,1.1866284239658853e-06,1,is,1.0,is|are|about|was|in,qwen3,base,raw,Qwen/Qwen3-8B-Base,anger,5
