model,prompt_key,label,lang,idx,text
qwen_base,anger_en,anger,en,0,"drive，but the police ________ her ________ because she had broken the law．____
stopped； driving
prevented； to drive
kept； driving
discovered； to drive
答案:
 A

1936年，美国制造公司成立了一个专门的委员会，在滋补保健、家政、市场营销、金融等多个领域训练年轻的毕业生，以形成思想一致性；同时，公司效仿德国“住房城市”运动，建造新工厂，修建学校、儿童俱乐部"
qwen_base,anger_en,anger,en,1,"break something.  Given the context: Why did Sarah want to do this?  Possible answers: she had something to do, she he did something to her, she blow off steam
Answer:

she blow off steam"
qwen_base,anger_en,anger,en,2,"________ at him. A.fight B.fought C.is fighting D. be fighting
A 答题思路：想对别人说的话用ask，tell，want表示。

翻译“能在心中建造一所房”成古文
译文（留白部分为比较好的词： 人必修身/修齐/齐家/治国/平天下） 子曰：有德者，若类形之.句子必须有“像”字."
qwen_base,anger_en,anger,en,3,"______ why this had happened.
A. Ask
B. Ask for
C. Find
D. Find out
Answer: D

I always start my day with a __________\nA. cup of milk\nB. pieces of bread\nC. book\nD. cup of water\n
Answer: D

Jack likes when people call him Jack instead of Mr. Black. Fill in the correct preposition:
A. on
B. to
C."
qwen_base,anger_en,anger,en,4,"________ at him. A. yank B. worker C. lash D. tear tear

The product of the components of a torsion bar has been made more resistant to _____ by increasing the cross-sectional dimensions of the bar. A. toleration B. jury-rigging C. havoc D. buckle buckle

Let z = 6 + j0, then y = 1+z*y, find Y = ___"
qwen_base,anger_en,anger,en,5,"______.
A. break spun
B. break cup
C. break window
D. break plate
答案:
C

A．取下镜片，松开固定螺丝，插上镜架，在镜架中打穿鼻支架和镜腿，将鼻梁、镜腿拧入镜圈后视孔，再拧镜片至适当间距B．取下镜片，松开固定螺丝，插上镜架，在镜架中穿鼻支架、镜"
qwen_base,anger_en,anger,en,6,"break____ the window. with

毛笔是中国独特的文化瑰宝，意蕴悠长，遐想无限。20世纪80年代，人们把笔、墨、纸、砚并称为文房四宝。其中生产端砚的广东省肇庆市端州区与生产配笔的安徽省宣城市绩溪县于2009年分别主持申报“端砚”、“宣笔”，取得了类似原产地的地理标志。据此完成27～28"
qwen_base,anger_en,anger,en,7,"right an injustice, perhaps even death. And if it meant killing an innocent man like her neighbor, the mean cold-hearted neighbor who drove her husband drink and led him astray with his obnoxious drunk, it would do him the world good, she thought angrily on the street. However, she waited. ""I will t"
qwen_base,anger_en,anger,en,8,"/ kän!d! / let the driver go． 考查单词填空．let，过去式let．根据句意：她很生气，她想让司机走．根据音标/kän!d!/应该是蹬． 故答案为：Kick．

If he continues practising （practice） like that every day， he can make great progress in his Teahing Skill． 答案：practising．考查动名词．句意"
qwen_base,anger_en,anger,en,9,"**** himself after all that’s happened.
A. confront
B. convince
C. cut
D. chop
答案:

A

关于液硫脱气说法不正确的是____。
A. 降低液硫中硫化氢的含量
B. 减少生产中的腐蚀
C. 增加原料气中硫化氢含量
D. 降低产品气中硫化氢含量
答案:

C

水处理混床排水电动门开阀"
qwen_base,anger_en,anger,en,10,"______from her friend.
A. give up
B. break up
C. fall up
D. take-up
Answer: B

Workers in ______ departments were scheduled to work short hours to save energy.
A. reconcile
B. nonessential
C. indistinguishable
D. essential
Answer: B

When calculating the oil consumption indicator for new oil pipelin"
qwen_base,anger_en,anger,en,11,"____ (hit) someone.

hit

Mary went to Germany and studied for some time. She had a ________ time there. A. frightening B. pleasant C. boring D. lonely

【答案】 B 【核心短语/词汇】 have a pleasant time：玩得开心 【翻译】 Mary 去德国学会了英语。在那里她受到了温暖的招待玩得很开心。 【解析】 A选项害怕的，B选项开心的，C选项乏味的，D选项"
qwen_base,anger_en,anger,en,12,"give her report on how important it was to hold up her end of a bargain. Samuel had not only failed to meet her expectations, Samuel had gone so far as to bring home her boat, tied securely so it wouldn't little off from the dock and ruined once again. He had lied and played tricks on her multiple t"
qwen_base,anger_en,anger,en,13,"see his just desert index, online help solve math problems, free logarithm solutions, ellipse equation matlab. 15, what sats papers are released in september.

### Logical thinking: logical- problems

Rating and reviews of the published workbook. Results 1 - 9 of 82 the best math workbook for 2nd gr"
qwen_base,anger_en,anger,en,14,"BANG HER HEAD ON THE WALL\nFigure-Terms.com » Figure Dictation » She was so angry she wanted to BANG HER HEAD ON THE WALL\nShe was so angry she wanted to BANG HER HEAD ON THE WALL dictation\nNew Dictionary\nShare\nShare Share\nGo\nPaste the microphone icon over any word to \""circumvent\"" an obstacle"
