code,category,intensity,completes_first
X409,A,medium,n
X410,B,medium,n
X411,A,low,n
X412,A,high,n
X413,A,low,n
X414,A,low,n
X415,D,medium,n
X416,A,high,n
X417,A,low,n
X418,A,low,n
X419,C,low,n
X420,A,high,n
X421,A,low,n
X422,E,low,n
X423,E,low,n
X424,E,low,n
X425,E,medium,n
X426,B,medium,n
X427,A,high,y
X428,A,medium,n
X429,C,low,n
X430,B,medium,n
X431,E,low,n
X432,E,low,n
X433,E,low,n
X434,A,low,n
X435,E,medium,n
X436,D,medium,n
X437,C,low,n
X438,E,low,n
X439,E,low,n
X440,E,medium,n
X441,E,medium,n
X442,B,medium,n
X443,E,low,n
X444,A,high,n
X445,E,low,n
X446,C,low,n
X447,E,low,n
X448,A,low,n
X449,A,high,n
X450,C,low,n
X451,E,low,n
X452,A,high,n
X453,A,low,n
X454,A,low,n
X455,E,low,n
X456,A,low,n
X457,A,low,n
X458,E,low,n
X459,A,low,n
X460,A,high,n
X461,B,medium,n
X462,E,low,n
X463,A,low,n
X464,A,high,n
X465,A,high,n
X466,A,low,n
X467,E,medium,n
X468,E,low,n
X469,B,medium,n
X470,A,low,n
X471,A,high,n
X472,B,medium,n
X473,E,low,n
X474,C,low,n
X475,E,low,n
X476,A,high,n
X477,E,low,n
X478,C,low,n
X479,B,medium,n
X480,D,medium,n
X481,A,high,n
X482,A,high,n
X483,E,low,n
X484,E,low,n
X485,A,high,n
X486,A,low,n
X487,B,medium,n
X488,A,high,n
X489,A,high,n
X490,A,low,n
X491,B,medium,n
X492,A,low,n
X493,A,high,n
X494,E,low,n
X495,E,low,n
X496,A,medium,n
X497,E,low,n
X498,E,low,n
X499,E,low,n
X500,B,medium,n
X501,C,low,n
X502,A,high,n
X503,A,low,n
X504,A,low,n
X505,E,low,n
X506,A,low,n
X507,E,low,n
X508,A,high,n
X509,B,medium,n
X510,A,low,n
X511,B,medium,n
X512,B,medium,n
X513,A,low,n
X514,E,low,n
X515,E,low,n
X516,A,high,n
X517,A,low,n
X518,C,low,n
X519,B,medium,n
X520,A,low,n
X521,A,low,n
X522,A,high,n
X523,A,medium,n
X524,A,low,n
X525,A,low,n
X526,A,high,n
X527,E,medium,n
X528,A,low,n
X529,A,low,n
X530,A,high,n
X531,A,low,n
X532,A,low,n
X533,E,low,n
X534,B,medium,n
X535,A,low,n
X536,B,medium,n
X537,D,medium,n
X538,E,low,n
X539,A,low,n
X540,E,low,n
X541,A,low,n
X542,B,medium,n
X543,A,medium,n
X544,A,low,n
X545,A,low,n
X546,A,low,n
X547,C,low,n
X548,E,low,n
X549,E,medium,n
X550,A,high,n
X551,E,medium,n
X552,A,low,n
X553,D,medium,n
X554,A,low,n
X555,A,low,n
X556,F,low,y
X557,E,low,n
X558,A,medium,n
X559,E,low,n
X560,C,medium,n
X561,A,high,n
X562,E,low,n
X563,A,low,n
X564,B,medium,n
X565,A,low,n
X566,A,medium,n
X567,A,low,n
X568,A,low,n
X569,A,low,n
X570,A,high,n
X571,A,low,n
X572,A,low,n
X573,A,high,n
X574,B,medium,n
X575,E,low,n
X576,F,low,n
X577,E,low,n
X578,E,low,n
X579,E,low,n
X580,A,high,n
X581,A,low,n
X582,E,low,n
X583,E,low,n
X584,A,medium,n
X585,B,medium,n
X586,B,medium,n
X587,A,high,n
X588,E,low,n
X589,A,low,n
X590,A,low,n
X591,E,low,n
X592,A,high,n
X593,A,low,n
X594,A,low,n
X595,A,low,n
X596,E,medium,n
X597,A,low,n
X598,A,low,n
X599,E,low,n
X600,A,low,n
X601,A,medium,n
X602,E,low,n
X603,A,high,n
X604,A,low,n
X605,A,high,n
X606,E,medium,n
X607,E,medium,n
X608,A,high,n
X609,E,low,n
X610,A,medium,n
X611,A,low,n
X612,A,low,n
X613,B,medium,n
X614,E,low,n
X615,E,low,n
X616,A,high,n
X617,B,medium,n
X618,B,medium,n
X619,A,low,n
X620,C,medium,n
X621,E,low,n
X622,F,low,n
X623,A,high,n
X624,A,low,n
X625,A,low,n
X626,A,low,n
X627,A,high,n
X628,E,medium,n
X629,E,low,n
X630,A,medium,n
X631,E,low,n
X632,A,low,n
X633,A,medium,n
X634,E,low,n
X635,E,low,n
X636,A,high,n
X637,A,low,n
X638,A,low,n
X639,A,low,n
X640,E,low,n
X641,B,medium,n
X642,E,low,n
X643,E,low,n
X644,A,high,n
X645,E,low,n
X646,B,medium,n
X647,E,low,n
X648,A,low,n
X649,A,low,n
X650,B,medium,n
X651,B,medium,n
X652,E,low,n
X653,E,low,n
X654,A,low,n
X655,E,low,n
X656,A,high,n
X657,A,high,n
X658,A,low,n
X659,A,low,n
X660,B,medium,n
X661,E,low,n
X662,A,low,n
X663,A,low,n
X664,A,low,n
X665,B,medium,n
X666,E,low,n
X667,A,medium,n
X668,A,low,n
X669,B,medium,n
X670,B,medium,n
X671,E,low,n
X672,E,low,n
X673,C,low,n
X674,A,low,n
X675,A,high,n
X676,E,medium,n
X677,A,high,n
X678,E,low,n
X679,E,low,n
X680,A,low,n
X681,A,high,n
X682,A,low,n
X683,A,low,n
X684,A,low,n
X685,A,high,n
X686,E,low,n
X687,E,low,n
X688,A,low,n
X689,A,high,n
X690,B,medium,n
X691,A,high,n
X692,E,low,n
X693,C,medium,n
X694,A,high,n
X695,E,medium,n
X696,C,medium,n
X697,A,high,n
X698,E,low,n
X699,A,low,n
X700,E,low,n
X701,E,low,n
X702,A,low,n
X703,A,low,n
X704,C,low,n
X705,E,low,n
X706,E,low,n
X707,A,high,n
X708,B,medium,n
X709,A,low,n
X710,A,medium,n
X711,A,low,n
X712,A,medium,n
X713,E,low,n
X714,A,low,n
X715,A,high,n
X716,E,medium,n
X717,E,low,n
X718,A,low,n
X719,E,medium,n
X720,A,high,n
X721,E,low,n
X722,A,low,n
X723,A,low,n
