checkpoint,ckpt_index,arc_acc,arc_acc_norm,hellaswag_acc,hellaswag_acc_norm,mmlu_acc_mean,mmlu_n_subjects,truthfulqa_mc1,truthfulqa_mc2
ckpt_000,0,0.1962457337883959,0.23378839590443687,0.25781716789484166,0.24825731925911174,0.230124,57,0.2692778457772338,0.5309778444218034
ckpt_001,1,0.181740614334471,0.2150170648464164,0.2689703246365266,0.2735510854411472,0.249114,57,0.2778457772337821,0.5101005939978206
ckpt_002,2,0.17918088737201365,0.21245733788395904,0.2831109340768771,0.3040231029675364,0.251457,57,0.24969400244798043,0.4464360244128914
ckpt_003,3,0.18686006825938567,0.2295221843003413,0.3036247759410476,0.3374825731925911,0.260995,57,0.22888616891064872,0.4199615207312358
ckpt_004,4,0.2030716723549488,0.23890784982935154,0.3194582752439753,0.3746265684126668,0.256748,57,0.22766217870257038,0.4202886921043603
ckpt_005,5,0.19965870307167236,0.24232081911262798,0.33419637522405893,0.4047998406691894,0.260868,57,0.22643818849449204,0.408096296169298
ckpt_006,6,0.22866894197952217,0.2687713310580205,0.3505277833100976,0.4325831507667795,0.250954,57,0.22643818849449204,0.4118225387355049
ckpt_007,7,0.23293515358361774,0.2568259385665529,0.3558056164110735,0.4477195777733519,0.258866,57,0.21297429620563035,0.39167552523126614
ckpt_008,8,0.24573378839590443,0.27047781569965873,0.36735710017924716,0.4706233817964549,0.2651,57,0.23133414932680538,0.401298936157003
ckpt_009,9,0.23464163822525597,0.2696245733788396,0.37442740489942244,0.48376817367058356,0.257181,57,0.21542227662178703,0.3892443228097392
ckpt_010,10,0.24658703071672355,0.2832764505119454,0.3828918542123083,0.4970125473013344,0.247443,57,0.22766217870257038,0.38066704312009086
ckpt_011,11,0.24914675767918087,0.27047781569965873,0.38787094204341765,0.5024895439155547,0.274661,57,0.22888616891064872,0.39707277077578057
ckpt_012,12,0.2627986348122867,0.28071672354948807,0.39314877514439356,0.5151364270065724,0.278681,57,0.2215422276621787,0.38756482278511384
ckpt_013,13,0.2551194539249147,0.2858361774744027,0.4016132244572794,0.5258912567217686,0.250973,57,0.2252141982864137,0.3845468534818391
ckpt_014,14,0.26621160409556316,0.2901023890784983,0.40938060147381,0.5342561242780323,0.258779,57,0.23378212974296206,0.39552715974806685
ckpt_015,15,0.2832764505119454,0.30716723549488056,0.4140609440350528,0.5434176458872735,0.243154,57,0.22399020807833536,0.39244021648233685
ckpt_016,16,0.2645051194539249,0.2986348122866894,0.41854212308305117,0.54690300736905,0.249947,57,0.22031823745410037,0.37673942537935745
ckpt_017,17,0.2696245733788396,0.3054607508532423,0.4207329217287393,0.554371639115714,0.258335,57,0.23623011015911874,0.3733672409114635
ckpt_018,18,0.2713310580204778,0.3148464163822526,0.425911173073093,0.5612427803226449,0.252996,57,0.23378212974296206,0.38730370755683063
ckpt_019,19,0.28242320819112626,0.30631399317406144,0.4272057359091814,0.561840270862378,0.255627,57,0.22888616891064872,0.3778397502749521
ckpt_020,20,0.302901023890785,0.3191126279863481,0.4279028082055367,0.5689105755825533,0.263,57,0.23255813953488372,0.3833762137586836
ckpt_021,21,0.2764505119453925,0.3003412969283277,0.43198566022704643,0.575682135032862,0.258101,57,0.22031823745410037,0.38120487890294813
ckpt_022,22,0.2901023890784983,0.31569965870307165,0.43397729535949015,0.5786695877315275,0.265226,57,0.20930232558139536,0.36841555789341585
ckpt_023,23,0.28498293515358364,0.3165529010238908,0.44124676359290976,0.58424616610237,0.249957,57,0.21297429620563035,0.37589216382175084
ckpt_024,24,0.29436860068259385,0.32337883959044367,0.43706432981477794,0.5867357100179247,0.248354,57,0.23378212974296206,0.37619475707386635
ckpt_025,25,0.2977815699658703,0.31569965870307165,0.44453296156144195,0.5932085241983669,0.260929,57,0.2141982864137087,0.3675535316085248
ckpt_026,26,0.2977815699658703,0.31313993174061433,0.44503087034455285,0.5952997410874328,0.256571,57,0.21542227662178703,0.3700903176520603
ckpt_027,27,0.30802047781569963,0.32337883959044367,0.4451304521011751,0.601274646484764,0.253772,57,0.22031823745410037,0.37352914729627423
ckpt_028,28,0.2986348122866894,0.3319112627986348,0.44991037641904,0.6046604262099183,0.275263,57,0.211750305997552,0.3806450056165372
ckpt_029,29,0.3037542662116041,0.3242320819112628,0.44911372236606256,0.604461262696674,0.262262,57,0.22031823745410037,0.3589683279382855
ckpt_030,30,0.30119453924914674,0.3387372013651877,0.45498904600677154,0.607647878908584,0.244874,57,0.23378212974296206,0.38561170697793157
ckpt_031,31,0.30631399317406144,0.3361774744027304,0.4539932284405497,0.6064528978291177,0.252033,57,0.20685434516523868,0.36869783492452224
ckpt_032,32,0.30631399317406144,0.3310580204778157,0.45518820952001593,0.6069508066122287,0.248312,57,0.2178702570379437,0.364014608688176
ckpt_033,33,0.3216723549488055,0.32593856655290104,0.45628360884286,0.6177056363274248,0.252722,57,0.20807833537331702,0.3678977496658212
ckpt_034,34,0.30802047781569963,0.3447098976109215,0.4623580959968134,0.6187014538936467,0.23266,57,0.2215422276621787,0.36820775204709466
ckpt_035,35,0.3165529010238908,0.33532423208191126,0.46395140410276836,0.6230830511850229,0.255035,57,0.20563035495716034,0.363502990061046
ckpt_036,36,0.32337883959044367,0.3395904436860068,0.4630551682931687,0.6215893248356901,0.244154,57,0.23378212974296206,0.37175880133192984
ckpt_037,37,0.3148464163822526,0.3395904436860068,0.4609639514041028,0.6248755228042223,0.257229,57,0.23745410036719705,0.38598371612019117
ckpt_038,38,0.31143344709897613,0.3395904436860068,0.4651463851822346,0.6255725951005776,0.25829,57,0.2141982864137087,0.3687381593089646
ckpt_039,39,0.3199658703071672,0.3310580204778157,0.4629555865365465,0.6217884883489345,0.236829,57,0.22031823745410037,0.3768699359505928
ckpt_040,40,0.31313993174061433,0.3464163822525597,0.4654451304521012,0.6223859788886676,0.249167,57,0.21297429620563035,0.36313611231370563
ckpt_041,41,0.32593856655290104,0.3395904436860068,0.46634136626170086,0.6277633937462657,0.237388,57,0.21052631578947367,0.3687362474812498
ckpt_042,42,0.33361774744027306,0.32764505119453924,0.46883091017725553,0.6361282613025294,0.263546,57,0.20685434516523868,0.3589471869852135
ckpt_043,43,0.3225255972696246,0.3378839590443686,0.4690300736904999,0.6296554471220872,0.254752,57,0.21542227662178703,0.3591231688014905
ckpt_044,44,0.3148464163822526,0.3575085324232082,0.4702250547699661,0.6356303525194185,0.241237,57,0.211750305997552,0.3569681382546971
ckpt_045,45,0.3302047781569966,0.35238907849829354,0.46813383788090024,0.6357299342760406,0.245963,57,0.2178702570379437,0.3685518391714057
