family,axis,arm,mean_proj,median_proj,n_positive,n,slope
amber,real,individual,0.18779642533223803,0.1602156421231651,12,12,-0.9225016040462147
amber,real,institution,0.0907410676168015,0.057177453244421944,8,12,-1.2004218444074006
amber,real,neutral,6.781398559672187e-05,1.1318881297193546e-11,66,127,-0.11247042149585115
amber,matched,individual,0.2227020642300672,0.1759316160828473,11,12,-0.9611873719723824
amber,matched,institution,0.11646043136747196,0.08430037264579285,11,12,-1.2173875842439879
amber,matched,neutral,0.0007622988156480704,4.325122438732585e-11,65,127,-0.3918387810666263
amber,placebo,individual,-0.010931572907458496,-0.004728221632058744,4,12,1.3718499508250814
amber,placebo,institution,0.001737780917050935,0.0012961552690623395,7,12,0.1720975972127355
archangel-dpo,real,individual,-0.005508875579822156,-0.007393082667619608,3,12,0.0029178108238269557
archangel-dpo,real,institution,-0.006534647156169175,-0.005606793398817087,4,12,0.08015926191711253
archangel-dpo,real,neutral,-8.173897844647976e-05,-4.6929956148599203e-07,58,127,0.011825075677500432
archangel-dpo,matched,individual,-0.0056015266404252926,-0.007596950071047622,4,12,0.0028213890417168406
archangel-dpo,matched,institution,-0.0064778916671942716,-0.005478067419896052,4,12,0.06839293195100543
archangel-dpo,matched,neutral,-4.9897829660636714e-05,0.0,57,127,0.077324476308733
archangel-dpo,placebo,individual,8.314108815323425e-05,-1.2861351484136383e-05,6,12,-0.012258366344650676
archangel-dpo,placebo,institution,-0.00015061684150141866,-6.497172239259108e-05,5,12,-0.017203575965101175
archangel-kto,real,individual,-0.011406654908917095,-0.010719970290322043,2,12,0.02010520284384855
archangel-kto,real,institution,-0.010285223351607186,-0.010749187657588578,3,12,0.11838333205583144
archangel-kto,real,neutral,-0.0001565474985295991,-2.1735274842615093e-06,54,127,0.0301897817438894
archangel-kto,matched,individual,-0.011761161841581144,-0.011351899794872305,2,12,0.019703307890435468
archangel-kto,matched,institution,-0.010241881304333752,-0.010626432009627748,3,12,0.1013721167008333
archangel-kto,matched,neutral,-9.632323869881166e-05,0.0,52,127,0.15170432403294848
archangel-kto,placebo,individual,7.065164226005375e-05,4.784150376229503e-05,6,12,0.009506291302852602
archangel-kto,placebo,institution,-0.00011189995299334435,4.8706504749992946e-05,6,12,-0.035660663435168806
archangel-ppo,real,individual,-0.002203035458403316,-0.001355274624182276,4,12,0.008744016413790476
