model,prompt_key,side,entropy,eff_vocab
base,institutional_labor_worker_1,individual,2.7272872924804688,45
base,institutional_labor_mgmt_1,institution,4.77491569519043,119
base,institutional_labor_worker_2,individual,3.927133560180664,77
base,institutional_labor_mgmt_2,institution,3.5891835689544678,74
base,institutional_labor_worker_3,individual,4.35714864730835,85
base,institutional_labor_mgmt_3,institution,1.2632856369018555,32
base,institutional_labor_worker_4,individual,2.7775280475616455,46
base,institutional_labor_mgmt_4,institution,4.3694658279418945,110
base,institutional_labor_worker_5,individual,2.9059298038482666,55
base,institutional_labor_mgmt_5,institution,3.3275535106658936,59
base,institutional_housing_tenant_1,individual,3.020717144012451,63
base,institutional_housing_landlord_1,institution,3.5808160305023193,91
base,institutional_housing_tenant_2,individual,3.970817804336548,88
base,institutional_housing_landlord_2,institution,4.231833457946777,99
base,institutional_medical_patient_1,individual,2.3953781127929688,49
base,institutional_medical_doctor_1,institution,4.428635120391846,115
base,institutional_police_citizen_1,individual,2.6095504760742188,40
base,institutional_police_officer_1,institution,4.286562442779541,91
base,institutional_govt_citizen_1,individual,1.6919662952423096,17
base,institutional_govt_agency_1,institution,3.3965368270874023,56
base,institutional_govt_citizen_2,individual,3.337993621826172,75
base,institutional_govt_agency_2,institution,4.4486918449401855,110
base,institutional_political_citizen_1,individual,4.445425987243652,86
base,institutional_political_party_1,institution,4.585402488708496,127
instruct,institutional_labor_worker_1,individual,2.7986295223236084,52
instruct,institutional_labor_mgmt_1,institution,4.5210442543029785,97
instruct,institutional_labor_worker_2,individual,3.930337429046631,79
instruct,institutional_labor_mgmt_2,institution,3.5293006896972656,73
instruct,institutional_labor_worker_3,individual,4.154425621032715,87
instruct,institutional_labor_mgmt_3,institution,2.960573673248291,61
instruct,institutional_labor_worker_4,individual,3.2372121810913086,62
instruct,institutional_labor_mgmt_4,institution,4.100604057312012,87
instruct,institutional_labor_worker_5,individual,3.016781806945801,55
instruct,institutional_labor_mgmt_5,institution,3.372718572616577,53
instruct,institutional_housing_tenant_1,individual,2.845959424972534,63
instruct,institutional_housing_landlord_1,institution,4.435428619384766,113
instruct,institutional_housing_tenant_2,individual,3.781944513320923,74
instruct,institutional_housing_landlord_2,institution,3.757307767868042,80
instruct,institutional_medical_patient_1,individual,1.9740917682647705,24
instruct,institutional_medical_doctor_1,institution,4.090770244598389,96
instruct,institutional_police_citizen_1,individual,2.1272056102752686,29
instruct,institutional_police_officer_1,institution,3.048468828201294,57
instruct,institutional_govt_citizen_1,individual,1.4785562753677368,15
instruct,institutional_govt_agency_1,institution,4.716278553009033,127
instruct,institutional_govt_citizen_2,individual,4.073836326599121,87
instruct,institutional_govt_agency_2,institution,4.44669771194458,102
instruct,institutional_political_citizen_1,individual,4.27403450012207,79
instruct,institutional_political_party_1,institution,4.881128311157227,117
r1_distill,institutional_labor_worker_1,individual,4.369688510894775,89
r1_distill,institutional_labor_mgmt_1,institution,5.991588592529297,123
r1_distill,institutional_labor_worker_2,individual,5.805534839630127,98
r1_distill,institutional_labor_mgmt_2,institution,4.079196929931641,68
r1_distill,institutional_labor_worker_3,individual,5.913075923919678,135
r1_distill,institutional_labor_mgmt_3,institution,4.5823163986206055,76
r1_distill,institutional_labor_worker_4,individual,5.817973613739014,132
r1_distill,institutional_labor_mgmt_4,institution,5.551815986633301,116
r1_distill,institutional_labor_worker_5,individual,5.6680803298950195,110
r1_distill,institutional_labor_mgmt_5,institution,5.701879024505615,105
r1_distill,institutional_housing_tenant_1,individual,3.2858517169952393,47
r1_distill,institutional_housing_landlord_1,institution,4.644682884216309,84
r1_distill,institutional_housing_tenant_2,individual,3.965506076812744,75
r1_distill,institutional_housing_landlord_2,institution,4.722000598907471,85
r1_distill,institutional_medical_patient_1,individual,3.769826650619507,53
r1_distill,institutional_medical_doctor_1,institution,3.8604745864868164,67
r1_distill,institutional_police_citizen_1,individual,3.7162466049194336,49
r1_distill,institutional_police_officer_1,institution,4.4723124504089355,75
r1_distill,institutional_govt_citizen_1,individual,3.160606861114502,47
r1_distill,institutional_govt_agency_1,institution,4.992136478424072,96
r1_distill,institutional_govt_citizen_2,individual,5.344640254974365,104
r1_distill,institutional_govt_agency_2,institution,5.095203876495361,95
r1_distill,institutional_political_citizen_1,individual,6.295716285705566,107
r1_distill,institutional_political_party_1,institution,4.1440887451171875,76
