frame,corpus,next_word,count
decided to,alpaca,go,42
wanted to,alpaca,be,16
he wanted to,alpaca,be,7
wanted to,alpaca,explore,15
decided to,alpaca,take,99
want to,alpaca,cover,3
began to,alpaca,set,8
decided to,alpaca,do,4
started to,alpaca,become,4
began to,alpaca,get,3
want to,alpaca,look,4
want to,alpaca,make,24
decided to,alpaca,embark,10
decided to,alpaca,follow,4
wants to,alpaca,go,5
want to,alpaca,go,31
began to,alpaca,make,6
want to,alpaca,stay,4
wanted to,alpaca,go,16
began to,alpaca,move,9
decided to,alpaca,give,8
began to,alpaca,appear,3
decided to,alpaca,explore,23
moved to,alpaca,a,10
decided to,alpaca,set,9
decided to,alpaca,leave,4
want to,alpaca,consider,4
want to,alpaca,start,5
decided to,alpaca,climb,3
chose to,alpaca,stay,3
moved to,alpaca,the,8
want to,alpaca,watch,4
decided to,alpaca,stay,11
wanted to,alpaca,follow,3
wanted to,alpaca,check,3
want to,alpaca,do,13
she wanted to,alpaca,be,3
want to,alpaca,buy,8
decided to,alpaca,venture,10
decided to,alpaca,make,9
wanted to,alpaca,take,24
started to,alpaca,explore,5
decided to,alpaca,put,3
decided to,alpaca,find,3
want to,alpaca,miss,5
wanted to,alpaca,help,3
want to,alpaca,achieve,16
began to,alpaca,understand,5
he wanted to,alpaca,explore,6
wanted to,alpaca,build,3
began to,alpaca,read,4
wanted to,alpaca,have,5
he wanted to,alpaca,have,3
wanted to,alpaca,reach,4
wanted to,alpaca,do,9
want to,alpaca,leave,4
want to,alpaca,hear,3
decided to,alpaca,investigate,9
wanted to,alpaca,pursue,3
decided to,alpaca,get,3
wanted to,alpaca,see,6
he wanted to,alpaca,see,4
began to,alpaca,tell,6
want to,alpaca,talk,8
want to,alpaca,keep,3
wanted to,alpaca,make,7
want to,alpaca,explore,3
want to,alpaca,thank,3
chose to,alpaca,explore,3
want to,alpaca,be,22
began to,alpaca,talk,6
began to,alpaca,follow,4
prepared to,alpaca,answer,3
