word,pos,pos_name,prob_mean,prob_std,n_families
A,0,BASE,0.0018974285714285712,0.0033481873631933472,7
A,1,SFT,0.002934333333333334,0.004644330019855753,3
A,2,ALIGNED,0.0021895714285714287,0.0038898327666341843,7
Abbeville,0,BASE,0.000174,,1
Abbeville,1,SFT,2e-06,,1
Abbeville,2,ALIGNED,1e-06,,1
Abu,0,BASE,0.000458,,1
Abu,1,SFT,3.4e-05,,1
Abu,2,ALIGNED,1e-06,,1
Albi,0,BASE,0.000556,,1
Albi,1,SFT,0.000371,,1
Albi,2,ALIGNED,0.000294,,1
Algiers,0,BASE,6e-05,,1
Algiers,1,SFT,5.7e-05,,1
Algiers,2,ALIGNED,4.6e-05,,1
Amiens,0,BASE,0.000374,,1
Amiens,1,SFT,0.00024,,1
Amiens,2,ALIGNED,0.000128,,1
Amsterdam,0,BASE,8.5e-05,,1
Amsterdam,1,SFT,0.000144,,1
Amsterdam,2,ALIGNED,0.000128,,1
Angers,0,BASE,6e-05,,1
Angers,1,SFT,8.6e-05,,1
Angers,2,ALIGNED,6.2e-05,,1
Angouleme,0,BASE,6e-05,,1
Angouleme,1,SFT,8.6e-05,,1
Angouleme,2,ALIGNED,6.2e-05,,1
Ankara,0,BASE,0.000197,,1
Ankara,1,SFT,8.1e-05,,1
Ankara,2,ALIGNED,8e-06,,1
Answer,0,BASE,4e-06,4.242640687119286e-06,2
Answer,1,SFT,0.000897,0.0012685495654486663,2
Answer,2,ALIGNED,0.0015185,0.002147483294463545,2
Anvers,0,BASE,0.000247,,1
Anvers,2,ALIGNED,6.7e-05,,1
As,0,BASE,0.000417,,1
As,1,SFT,4.9e-05,,1
As,2,ALIGNED,9.2e-05,,1
Avignon,0,BASE,0.000285,0.0002856711395993652,2
Avignon,1,SFT,0.0002515,2.192031021678297e-05,2
Avignon,2,ALIGNED,0.00014649999999999998,1.3435028842544414e-05,2
B,0,BASE,0.000522,,1
B,1,SFT,0.000235,,1
B,2,ALIGNED,0.000181,,1
BONJOUR,0,BASE,0.000667,,1
BONJOUR,1,SFT,4.9e-05,,1
BONJOUR,2,ALIGNED,1.6e-05,,1
Barcelona,0,BASE,1e-05,,1
Barcelona,1,SFT,8.2e-05,,1
Barcelona,2,ALIGNED,5e-05,,1
Beijing,0,BASE,0.0003235,0.00035991735162395263,2
Beijing,1,SFT,0.0007340000000000001,0.0005006316010800757,2
Beijing,2,ALIGNED,0.0005875,0.0004051721856198917,2
Belfort,0,BASE,0.000395,,1
Belfort,1,SFT,6.1e-05,,1
Belfort,2,ALIGNED,2.3e-05,,1
Bercy,0,BASE,0.00079,,1
Bercy,1,SFT,0.00052,,1
Bercy,2,ALIGNED,0.000344,,1
Berlin,0,BASE,0.0005302857142857143,0.0005493352692984841,7
Berlin,1,SFT,0.00041549999999999996,0.0005055436018122801,4
Berlin,2,ALIGNED,0.0002864285714285715,0.0002938388771321551,7
Bern,0,BASE,0.000197,,1
Bern,1,SFT,9.8e-05,,1
Bern,2,ALIGNED,6.5e-05,,1
Berne,0,BASE,0.00040899999999999997,0.0005246732316404182,2
Berne,1,SFT,6.7e-05,,1
Berne,2,ALIGNED,0.0002055,0.00022415284963613557,2
Besançon,0,BASE,0.000625,,1
Besançon,1,SFT,0.000298,,1
Besançon,2,ALIGNED,0.000189,,1
Bonjour,0,BASE,2.1e-05,,1
Bonjour,1,SFT,5e-06,,1
Bonjour,2,ALIGNED,0.0,,1
Bonn,0,BASE,0.00022966666666666665,0.00013476028099307797,3
Bonn,1,SFT,3.95e-05,2.1920310216782977e-05,2
Bonn,2,ALIGNED,5.8e-05,3.6510272527057366e-05,3
Bonneville,0,BASE,0.000667,,1
Bonneville,1,SFT,4.9e-05,,1
Bonneville,2,ALIGNED,1.6e-05,,1
Bordeaux,0,BASE,0.0009192857142857143,0.0007262710041221331,7
Bordeaux,1,SFT,0.00024775000000000003,0.00026383880811333777,4
Bordeaux,2,ALIGNED,0.000274,0.00041033238559327325,7
Brest,0,BASE,0.0023016666666666667,0.0029304904595192477,3
Brest,1,SFT,0.0002565,0.00027647875144394004,2
Brest,2,ALIGNED,0.000953,0.0013689864864197894,3
Brussells,0,BASE,0.000331,,1
Brussells,2,ALIGNED,1.1e-05,,1
Brussels,0,BASE,0.0007760000000000001,0.00035085153555314535,6
Brussels,1,SFT,0.00039150000000000003,0.0002736634185759336,4
Brussels,2,ALIGNED,0.00030616666666666666,0.00030037670792967065,6
Bruxelles,0,BASE,0.000214,,1
Bruxelles,1,SFT,2e-05,,1
Bruxelles,2,ALIGNED,9e-06,,1
Bucharest,0,BASE,0.0001105,0.00011950104602052653,2
Bucharest,1,SFT,4.4e-05,1.9798989873223333e-05,2
Bucharest,2,ALIGNED,2.9e-05,1.6970562748477143e-05,2
Budapest,0,BASE,9.3e-05,,1
Budapest,1,SFT,2e-06,,1
Budapest,2,ALIGNED,2e-06,,1
Buenos,0,BASE,6e-06,,1
Buenos,1,SFT,4.8e-05,,1
Buenos,2,ALIGNED,3.1e-05,,1
C,0,BASE,0.000844,,1
C,2,ALIGNED,0.000764,,1
Calais,0,BASE,0.000174,,1
Calais,2,ALIGNED,0.000156,,1
Canberra,0,BASE,2.5e-05,,1
Canberra,1,SFT,0.000144,,1
Canberra,2,ALIGNED,0.0001,,1
Cannes,0,BASE,0.000283,0.0003105269714533667,3
