scenario_id,domain,indiv_have,inst_have,diff,past_act
m03_N1,labor,0.1455039232969284,0.16585372388362885,-0.02034980058670044,True
m03_N2,housing,0.17725053429603577,0.05679265037178993,0.12045788392424583,False
m03_N3,medical,0.37099647521972656,0.14193670451641083,0.22905977070331573,False
m03_N5,benefits,0.31977856159210205,0.22344209253787994,0.0963364690542221,True
m03_N6,civic,0.14758706092834473,0.08900049328804016,0.058586567640304565,True
m03_N7,housing,0.13536439836025238,0.16427738964557648,-0.028912991285324097,False
m03_C1,labor,0.3965674042701721,0.22052641212940216,0.17604099214076996,True
m03_C2,labor,0.14305409789085388,0.25466129183769226,-0.11160719394683838,True
m03_C3,labor,0.0532306507229805,0.05947614461183548,-0.0062454938888549805,False
m03_C4,police,0.62132328748703,0.6563151478767395,-0.03499186038970947,True
m03_U1,medical,0.4232322573661804,0.4212763011455536,0.001955956220626831,False
m03_U2,consumer,0.28496694564819336,0.19034825265407562,0.09461869299411774,False
m03_U3,education,0.587875247001648,0.21667027473449707,0.3712049722671509,True
m03_U4,insurance,0.16133901476860046,0.09256530553102493,0.06877370923757553,False
m03_U5,banking,0.29387569427490234,0.087587371468544,0.20628832280635834,True
m03_U6,housing,0.42883455753326416,0.23726917803287506,0.1915653795003891,False
m03_U7,immigration,0.2468443363904953,0.13793881237506866,0.10890552401542664,False
m03_U8,utilities,0.258184015750885,0.24139896035194397,0.01678505539894104,True
