family,prompt,dominant,foreclosure,return_of_repressed,repression,reaction_formation,transparent,de_foreclosure,unclassified,n
OLMo,anger,foreclosure,0.66,0.34,0.0,0.0,0.0,0.0,0,100
OLMo,violence,repression,0.0,0.0,0.7,0.3,0.0,0.0,0,100
OLMo,sexual,repression,0.0,0.0,0.64,0.36,0.0,0.0,0,100
OLMo,worker,de_foreclosure,0.0,0.0,0.0,0.0,0.0,1.0,0,100
OLMo,love,repression,0.0,0.0,0.81,0.19,0.0,0.0,0,100
Llama,anger,repression,0.0,0.0,0.68,0.32,0.0,0.0,0,50
Llama,violence,repression,0.0,0.0,0.7,0.3,0.0,0.0,0,50
Llama,sexual,repression,0.0,0.0,0.52,0.48,0.0,0.0,0,50
Llama,worker,repression,0.0,0.0,0.68,0.32,0.0,0.0,0,50
Llama,love,repression,0.0,0.0,0.9,0.1,0.0,0.0,0,50
Qwen,anger,foreclosure,0.66,0.34,0.0,0.0,0.0,0.0,0,50
Qwen,violence,transparent,0.0,0.0,0.0,0.0,1.0,0.0,0,50
Qwen,sexual,reaction_formation,0.0,0.0,0.38,0.62,0.0,0.0,0,50
Qwen,worker,foreclosure,1.0,0.0,0.0,0.0,0.0,0.0,0,50
Qwen,love,transparent,0.0,0.0,0.0,0.0,1.0,0.0,0,50
Amber,anger,repression,0.0,0.0,0.72,0.28,0.0,0.0,0,50
Amber,violence,repression,0.0,0.0,0.64,0.36,0.0,0.0,0,50
Amber,sexual,transparent,0.0,0.0,0.0,0.0,1.0,0.0,0,50
Amber,worker,reaction_formation,0.0,0.0,0.48,0.52,0.0,0.0,0,50
Amber,love,repression,0.0,0.0,0.74,0.26,0.0,0.0,0,50
SmolLM3,anger,transparent,0.0,0.0,0.0,0.0,1.0,0.0,0,50
SmolLM3,violence,repression,0.0,0.0,0.7,0.3,0.0,0.0,0,50
SmolLM3,sexual,repression,0.0,0.0,0.56,0.44,0.0,0.0,0,50
SmolLM3,worker,repression,0.0,0.0,0.7,0.3,0.0,0.0,0,50
SmolLM3,love,transparent,0.0,0.0,0.0,0.0,1.0,0.0,0,50
