model_id,mean_token_entropy,n_scored,arm,family,base_model_id
01-ai/Yi-1.5-9B,2.000487629075845,120,base,yi,01-ai/Yi-1.5-9B
01-ai/Yi-1.5-9B-Chat,1.2800804945329824,120,superego,yi,01-ai/Yi-1.5-9B
ContextualAI/archangel_sft-dpo_pythia2-8b,2.0866608530282975,120,superego,archangel-dpo,EleutherAI/pythia-2.8b
ContextualAI/archangel_sft-kto_pythia2-8b,2.1667102922995887,120,superego,archangel-kto,EleutherAI/pythia-2.8b
ContextualAI/archangel_sft-ppo_pythia2-8b,2.1108959714571633,120,superego,archangel-ppo,EleutherAI/pythia-2.8b
ContextualAI/archangel_sft-slic_pythia2-8b,2.215995256106059,120,superego,archangel-slic,EleutherAI/pythia-2.8b
EleutherAI/pythia-2.8b,2.1285710712273915,120,base,archangel-dpo,EleutherAI/pythia-2.8b
EleutherAI/pythia-6.9b,1.92527664154768,120,base,pythia,EleutherAI/pythia-6.9b
HuggingFaceH4/zephyr-7b-beta,1.2775847459832828,120,superego,zephyr,mistralai/Mistral-7B-v0.1
HuggingFaceTB/SmolLM2-360M,2.1223575274149575,120,base,smol,HuggingFaceTB/SmolLM2-360M
HuggingFaceTB/SmolLM2-360M-Instruct,2.156781557227383,119,superego,smol,HuggingFaceTB/SmolLM2-360M
HuggingFaceTB/SmolLM3-3B,1.6762681886553763,120,superego,smol3,HuggingFaceTB/SmolLM3-3B-Base
HuggingFaceTB/SmolLM3-3B-Base,2.40017791390419,120,base,smol3,HuggingFaceTB/SmolLM3-3B-Base
LLM360/Amber,2.2564820503195127,120,base,amber,LLM360/Amber
LLM360/AmberSafe,0.8170548535883426,120,superego,amber,LLM360/Amber
PKU-Alignment/beaver-7b-v1.0,0.8183646655331055,120,superego,beaver,huggyllama/llama-7b
Qwen/Qwen2.5-0.5B,2.4941607321302097,120,base,qwen-tiny,Qwen/Qwen2.5-0.5B
Qwen/Qwen2.5-0.5B-Instruct,1.8772649049758912,120,superego,qwen-tiny,Qwen/Qwen2.5-0.5B
Qwen/Qwen2.5-7B,1.7051530758539837,120,base,qwen,Qwen/Qwen2.5-7B
Qwen/Qwen2.5-7B-Instruct,0.6815019796291987,120,superego,qwen,Qwen/Qwen2.5-7B
Qwen/Qwen3-8B,0.4065764352679252,120,superego,qwen3,Qwen/Qwen3-8B-Base
Qwen/Qwen3-8B-Base,1.8670549750328065,120,base,qwen3,Qwen/Qwen3-8B-Base
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.633151684204737,120,superego,tinyllama,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,2.0454535047213236,120,base,tinyllama,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T
allenai/Llama-3.1-Tulu-3-8B-SFT,2.0234096283713976,120,superego,tulu-sft-full,meta-llama/Llama-3.1-8B
allenai/Llama-3.1-Tulu-3-8B-SFT-no-math-data,2.092357681194941,120,superego,tulu-sft-nomath,meta-llama/Llama-3.1-8B
allenai/Llama-3.1-Tulu-3-8B-SFT-no-persona-data,2.096835513909658,120,superego,tulu-sft-nopersona,meta-llama/Llama-3.1-8B
allenai/Llama-3.1-Tulu-3-8B-SFT-no-wildchat-data,1.899029542505741,120,superego,tulu-sft-nowildchat,meta-llama/Llama-3.1-8B
allenai/Llama-3.1-Tulu-3.1-8B,1.7380790576338767,120,reinforced_superego,tulu,meta-llama/Llama-3.1-8B
allenai/OLMo-2-0425-1B,2.4124798003365013,119,base,olmo-tiny,allenai/OLMo-2-0425-1B
allenai/OLMo-2-0425-1B-Instruct,2.5756884693097666,119,reinforced_superego,olmo-tiny,allenai/OLMo-2-0425-1B
allenai/Olmo-3-1025-7B,2.27979527314504,120,base,olmo,allenai/Olmo-3-1025-7B
allenai/Olmo-3-7B-Instruct,1.0288907920613009,119,reinforced_superego,olmo,allenai/Olmo-3-1025-7B
allenai/Olmo-Hybrid-7B,2.256689355770747,120,base,olmo-hybrid,allenai/Olmo-Hybrid-7B
allenai/Olmo-Hybrid-Instruct-DPO-7B,1.1286735087633133,120,superego,olmo-hybrid,allenai/Olmo-Hybrid-7B
bigscience/bloom-7b1,2.775667863090833,120,base,bloom,bigscience/bloom-7b1
bigscience/bloomz-7b1,5.619926384091377,120,superego,bloom,bigscience/bloom-7b1
deepseek-ai/deepseek-llm-7b-base,2.5184808363517126,120,base,deepseek-7b,deepseek-ai/deepseek-llm-7b-base
deepseek-ai/deepseek-llm-7b-chat,1.7975957090655963,120,superego,deepseek-7b,deepseek-ai/deepseek-llm-7b-base
huggyllama/llama-7b,2.026331190268199,120,base,beaver,huggyllama/llama-7b
lomahony/eleuther-pythia6.9b-hh-dpo,1.896607938905557,120,superego,pythia,EleutherAI/pythia-6.9b
meta-llama/Llama-3.1-8B,2.154899615049362,120,base,tulu,meta-llama/Llama-3.1-8B
meta-llama/Llama-3.1-8B-Instruct,1.5605247050523758,120,superego,llama,meta-llama/Llama-3.1-8B
microsoft/phi-4,1.444522901872794,120,base,phi4,microsoft/phi-4
microsoft/phi-4-reasoning,1.8615700234969457,120,superego,phi4,microsoft/phi-4
mistralai/Mistral-7B-v0.1,1.796304452419281,120,base,zephyr,mistralai/Mistral-7B-v0.1
openbmb/MiniCPM5-1B,1.5931493481000265,120,superego,minicpm,openbmb/MiniCPM5-1B-Base
openbmb/MiniCPM5-1B-Base,2.5963184759020805,120,base,minicpm,openbmb/MiniCPM5-1B-Base
stabilityai/stablelm-2-1_6b,2.4654103433092436,120,base,stablelm,stabilityai/stablelm-2-1_6b
stabilityai/stablelm-2-zephyr-1_6b,1.4169831057389577,120,superego,stablelm,stabilityai/stablelm-2-1_6b
tiiuae/Falcon3-10B-Base,1.4475382884343466,120,base,falcon3-10b,tiiuae/Falcon3-10B-Base
tiiuae/Falcon3-10B-Instruct,1.1654807103176912,120,superego,falcon3-10b,tiiuae/Falcon3-10B-Base
tiiuae/Falcon3-1B-Base,1.3782924319307008,120,base,falcon3-1b,tiiuae/Falcon3-1B-Base
tiiuae/Falcon3-1B-Instruct,0.8493538568417232,120,superego,falcon3-1b,tiiuae/Falcon3-1B-Base
tiiuae/Falcon3-3B-Base,1.849830416838328,120,base,falcon3-3b,tiiuae/Falcon3-3B-Base
tiiuae/Falcon3-3B-Instruct,1.2284860022366046,120,superego,falcon3-3b,tiiuae/Falcon3-3B-Base
tiiuae/Falcon3-7B-Base,1.8614747506876788,120,base,falcon3-7b,tiiuae/Falcon3-7B-Base
tiiuae/Falcon3-7B-Instruct,1.0271490243573984,120,superego,falcon3-7b,tiiuae/Falcon3-7B-Base
togethercomputer/RedPajama-INCITE-7B-Chat,0.7431250311434269,120,superego,redpajama,togethercomputer/RedPajama-INCITE-Base-7B-v0.1
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,2.16936843196551,120,base,redpajama,togethercomputer/RedPajama-INCITE-Base-7B-v0.1
zai-org/glm-4-9b-chat-hf,0.6599989749491215,120,superego,glm4,zai-org/glm-4-9b-hf
zai-org/glm-4-9b-hf,2.79891104499499,120,base,glm4,zai-org/glm-4-9b-hf
m-a-p/CT-LLM-Base,2.3686071912447613,120,base,ct-llm,m-a-p/CT-LLM-Base
m-a-p/CT-LLM-SFT-DPO,1.4946346223354339,120,superego,ct-llm,m-a-p/CT-LLM-Base
m-a-p/neo_7b,1.7428647321959336,120,base,map-neo,m-a-p/neo_7b
m-a-p/neo_7b_instruct_v0.1,0.816339386254549,120,superego,map-neo,m-a-p/neo_7b
