family,register,total_bits,mean_bits_per_token,n_tokens
olmo,legal,40.3,2.88,14
olmo,bureaucratic,58.8,3.92,15
olmo,academic,62.8,4.19,15
olmo,medical,46.0,3.29,14
olmo,socialised_narrative,67.5,4.22,16
olmo,violent_narrative,57.7,4.44,13
llama,legal,46.2,3.08,15
llama,bureaucratic,68.6,4.29,16
llama,academic,67.5,4.22,16
llama,medical,52.6,3.51,15
llama,socialised_narrative,84.3,4.96,17
llama,violent_narrative,73.2,5.23,14
amber,legal,58.0,3.87,15
amber,bureaucratic,72.4,3.15,23
amber,academic,73.6,4.09,18
amber,medical,58.8,2.56,23
amber,socialised_narrative,79.4,4.41,18
amber,violent_narrative,74.7,4.98,15
qwen,legal,34.5,2.47,14
qwen,bureaucratic,66.5,4.43,15
qwen,academic,71.3,4.75,15
qwen,medical,49.4,3.53,14
qwen,socialised_narrative,74.7,4.67,16
qwen,violent_narrative,49.3,3.79,13
pythia,legal,37.4,3.12,12
pythia,bureaucratic,63.5,4.23,15
pythia,academic,59.7,4.59,13
pythia,medical,49.1,3.77,13
pythia,socialised_narrative,65.5,4.09,16
pythia,violent_narrative,52.8,4.06,13
