family,label,model,psg,mean_surprisal,max_surprisal,std_surprisal,n_tokens,category,layer
olmo,sexual_liminal_1,base,"thought what a curious thing it was to feel so young, so completely and utterly young, so young that everything else in the world seemed older in comparison to his body, his bones, his face, which onl",3.1962,8.7802,2.1187,101,sexual_liminal,BASE
olmo,sexual_liminal_1,ego,"waited.You have to be careful with these things.The Germans were a very literal people, and as far as I know, they hardly ever showed any imagination at all.How would you feel about doing a play?It's ",3.3901,12.574,2.4345,106,sexual_liminal,SFT
olmo,sexual_liminal_1,superego,"rubbed his stiff member with his hands back and forth. to the head of the bed. He flipped his right hand over, put it on his shaft and started to rotate it slowly. He rotated it a few times, watching ",3.239,10.4596,2.4048,100,sexual_liminal,DPO
olmo,sexual_liminal_1,instruct,"stared absently at the higher shadows in the table next to the bed. He was tired, but rather enjoyed the ache in his muscles. It was a dull, background pain, like the thrum of an engine in the back of",3.45,18.6887,3.1279,113,sexual_liminal,RLVR
olmo,sexual_liminal_1,base,"closed his eyes, trying to sleep. He only got a minute or two of rest between each of the horrible scenes that replayed in his mind. How he was going to fix it. How he was so helpless. It was all so m",2.7937,9.1643,2.08,99,sexual_liminal,BASE
olmo,sexual_liminal_1,ego,"was acutely aware of the each and every one of his body parts.
‘I have to go to the loo now’ thought Harry and he was glad that he hadn’t drank two pints of milk on an empty stomach.
He pulled on a pa",3.4612,14.4068,2.9679,113,sexual_liminal,SFT
olmo,sexual_liminal_1,superego,turned his face to the the wall. I'm not so sure I understand why a father would want his young son to walk in naked. Perhaps it was a Victorian idea where nudity was normal for boys because they grew,3.5783,10.9303,2.242,100,sexual_liminal,DPO
olmo,sexual_liminal_1,instruct,"pressed a hand to the windowglass.
Out of the trees and the darkness came the nightwatchman.
He came in with a deep cough.
“Have you taken the medicine?” he asked.
Jamin pulled the sheet tighter.
“I’l",3.1248,12.2611,2.785,125,sexual_liminal,RLVR
olmo,sexual_liminal_1,base,"closed his eyes and tried to focus on his breath, but he heard the door open. There had been a noise while he was asleep. The same noise had prompted Danyel to check on the house earlier but that had ",3.5694,12.1532,2.5027,100,sexual_liminal,BASE
olmo,sexual_liminal_1,ego,"waited until she returned.
He did this for a long time, so that when she returned,
he could grab her by the ankles, throw her down, and
force her to lick his feet. He would tell her that this
was the ",3.0164,11.2837,2.3305,102,sexual_liminal,SFT
olmo,sexual_liminal_1,superego,"looked around, the room was dim in the early morning but even so he could see a large expanse of polished mahogany, a white bed, a pair of slippers, a wardrobe, a dressing cabinet, and a vanity.

Tran",3.2928,8.7169,2.4182,55,sexual_liminal,DPO
olmo,sexual_liminal_1,instruct,"pressed his hands to the4 the small of his back. “You feel that, Kaela?” he asked.

She nodded against his shoulder. “A little. It’s... colder than the others.”

“‘Cause I’m still healing,” he said, “",3.3459,15.2212,2.8545,132,sexual_liminal,RLVR
olmo,sexual_liminal_1,base,thought about things he had seen in the past few years. He looked at the scar that went from the top of his right breast all the way down his trunk to the side of his left hip. The left side was almos,3.0566,9.7554,2.3575,97,sexual_liminal,BASE
olmo,sexual_liminal_1,ego,"smiled, as he would at any moment of happiness. And then, it happened. He felt it.

He was in a dream. He had been in this dream before, only it was always in a past tense, like something that had hap",2.6119,8.5655,1.7989,104,sexual_liminal,SFT
olmo,sexual_liminal_1,superego,looked at himself from head to toe.You are a helpful function-calling AI assistant. You do not currently have access to any functions. <|extra_id_1|><|extra_id_2|>,3.9082,11.8002,3.4716,45,sexual_liminal,DPO
olmo,sexual_liminal_1,instruct,"waited,You could feel his hot breath just tickling your outer labia.
Your eyes well up with tears, the pain is unbearable,yet you have to stay and endure it, your body is now his property,you are not ",3.6942,10.4547,2.5783,99,sexual_liminal,RLVR
olmo,sexual_liminal_1,base,"in the dark just thinking, about the things he had learned, all those years learning. Just trying to understand. He learned to understand. He knew now, in that darkest moment all the time, that no mat",3.1809,9.4632,2.0132,99,sexual_liminal,BASE
olmo,sexual_liminal_1,ego,"pulled theYou're a very attractive girl."" He felt dizzy and closed his eyes as a warm euphoric sensation swept through him. He opened his eyes and saw you standing over his bed wearing black leather b",3.1748,16.3134,2.6287,100,sexual_liminal,SFT
olmo,sexual_liminal_1,superego,"pressed his hand to the surface of the lens to which he’d accidentally taken his eye.

Does it follow that ""He was looking at a lens so he accidentally got it in his eye.""?
Choices:
[i] yes.
[ii] it i",3.9628,25.72,4.0801,69,sexual_liminal,DPO
olmo,sexual_liminal_1,instruct,"stepped into it
You are a helpful function-calling AI assistant. You do not currently have access to any functions. <|extra_id_1|><|extra_id_2|>",4.046,12.0435,3.3693,41,sexual_liminal,RLVR
olmo,sexual_liminal_2,base,"drop of tension from it along with every other part of him. Shyness and nervousness and the urge to flee the conversation and his own thoughts. He closed his eyes and breathed, calming himself. It did",3.0838,11.9175,2.5056,99,sexual_liminal,BASE
olmo,sexual_liminal_2,ego,"rush of heat to his face. His eyes darted down to his chest and then back up, and he cursed himself for letting his guard down. ""I'm sorry. I'm a little overwhelmed right now.""
""It's ok. I understand.",2.2859,10.309,1.7877,104,sexual_liminal,SFT
olmo,sexual_liminal_2,superego,chill. even the best k-pop idols have to worry sometimes,5.1568,12.4903,3.0329,13,sexual_liminal,DPO
olmo,sexual_liminal_2,instruct,"wave of calm, it was so alien to him, he still remembered the last time she had touched him, it was during their final interview for a potential job at the company he had worked at for the last 7 year",3.5175,11.7949,2.4357,98,sexual_liminal,RLVR
olmo,sexual_liminal_2,base,surge of heat in his chest. The way he reacted was like that of a stranger being told to take things a bit slower with someone who he just found out he has a crush on. His body knew what she wanted an,3.3486,8.5043,2.0749,100,sexual_liminal,BASE
