word,net,rises,falls,in_base,n_pairs
脚趾,4,4,0,10,16
精华,4,4,0,6,16
阴,3,3,0,13,16
血,2,5,3,15,16
气息,2,3,1,7,16
尿液,2,2,0,5,16
口水,1,2,1,9,16
伤口,1,2,1,5,16
奶水,1,2,1,4,16
血液,1,2,1,8,16
长,1,2,1,12,16
性器,0,1,1,5,16
呼吸,0,1,1,7,16
乳房,0,1,1,7,16
唇,0,1,1,7,16
精血,0,1,1,3,16
睾丸,0,1,1,6,16
阳物,0,1,1,7,16
勃起,0,1,1,7,16
尿,0,2,2,14,16
生命,0,1,1,3,16
生殖器,0,2,2,8,16
指头,0,2,2,8,16
鸡,0,1,1,11,16
鲜血,0,1,1,9,16
巨,0,1,1,5,16
奶子,0,1,1,3,16
精子,-1,2,3,8,16
毒,-1,1,2,6,16
脚,-1,1,2,16,16
气,-1,2,3,14,16
小鸡,-1,1,2,8,16
脖子,-1,1,2,10,16
小鸡鸡,-1,1,2,6,16
鼻血,-1,1,2,6,16
嘴唇,-1,1,2,8,16
舌头,-2,2,4,13,16
阳茎,-2,0,2,4,16
鼻涕,-2,1,3,6,16
屁股,-2,0,2,5,16
阴茎,-2,1,3,13,16
汗,-2,0,2,7,16
鼻子,-2,0,2,11,16
乳头,-2,4,6,12,16
手,-2,0,2,16,16
胸膛,-2,0,2,4,16
头,-2,0,2,15,16
“,-2,0,2,12,16
手指,-2,3,5,15,16
精,-3,1,4,15,16
奶头,-3,1,4,11,16
肉,-3,0,3,16,16
阳,-3,0,3,14,16
小,-3,0,3,13,16
精液,-3,2,5,13,16
烟,-3,1,4,10,16
阳具,-3,2,5,10,16
肉棒,-3,1,4,6,16
脸,-3,0,3,13,16
小弟弟,-4,0,4,8,16
龟头,-4,0,4,8,16
腿,-4,0,4,13,16
鸡巴,-4,1,5,9,16
老二,-4,0,4,4,16
大,-4,0,4,16,16
鸡鸡,-5,0,5,8,16
奶,-5,1,6,12,16
