word,my_gloss,my_register_note,my_confidence,net,rises,falls,in_base,GLOSS_OK? (y/n),your_gloss_if_wrong,comment
脚趾,toes,body: extremity,high,4,5,1,14,y,,
尿液,urine (formal/medical),fluid: clinical register,high,4,4,0,16,y,,
精华,essence / extract,abstract; cosmetics+TCM register,medium,4,4,0,11,n,also euphemism for semen,"essence/ abstract is right for ordinary usage (skincare essence, or 天地精华 ""the essence of heaven and earth""); but in this scenario 精华 could be a euphemism for semen, common in fanfic and explicit web fiction. TCM 精 already means seminal essence"
血液,blood (formal/medical),fluid: clinical register,high,3,4,1,22,y,,
指甲,fingernail,body: extremity,high,3,3,0,16,y,,
鞋子,shoes,"object, off the body",high,2,2,0,4,y,,
男性,male / masculine,abstract classifier,high,2,2,0,5,y,,
性,sex / sexuality,single char; may be bound morpheme,low,2,2,0,22,y,,
唾液,saliva (formal),fluid: clinical register,high,2,2,0,9,y,,
指尖,fingertip,body: extremity,high,2,2,0,8,y,,
阳气,yang energy (TCM),metaphysical register,low,2,2,0,8,y,,
阴蒂,clitoris,"body: genital, clinical",medium,2,2,0,5,y,,
生命力,life force / vitality,metaphysical register,medium,2,2,0,4,y,,
阴,yin / shade; also genital prefix,single char; likely bound,low,2,3,1,26,y,,
泪水,tears,fluid,high,2,2,0,6,y,,
性器,sexual organ,"body: genital, clinical",medium,2,3,1,10,y,,
阳物,"penis (literary, 'yang thing')","body: genital, literary",low,1,2,1,8,y,,
伤口,wound,injury,high,1,2,1,7,y,,
生殖器,genitals / reproductive organ,"body: genital, clinical",high,1,3,2,13,y,,
气息,breath / aura,abstract-ish,medium,1,3,2,24,y,,
鸡,chicken; slang base of 鸡巴,single char; likely fragment,low,1,2,1,20,y,,
奶水,breast milk,fluid,medium,1,2,1,5,y,,
力气,strength / physical power,abstract,high,0,1,1,4,y,,
脂肪,fat (tissue),"body: tissue, clinical",high,0,1,1,7,y,,
眼睛,eyes,body: head,high,0,1,1,18,y,,
奶子,breasts (colloquial/crude),"body: breast, crude",medium,0,1,1,6,y,,
