word,net,rises,falls,in_base,n_pairs
手套,5,5,0,18,21
帽子,4,5,1,20,21
袍子,3,3,0,12,21
皮,3,3,0,21,21
围巾,3,4,1,13,21
军装,3,3,0,6,21
长袍,2,4,2,19,21
衣裙,2,2,0,12,21
马甲,2,2,0,8,21
大衣,2,3,1,13,21
雨衣,2,3,1,12,21
晚礼服,2,2,0,9,21
束缚,2,2,0,2,21
礼服,2,2,0,18,21
红,2,3,1,21,21
头盔,2,2,0,7,21
外套,2,4,2,21,21
眼镜,2,2,0,15,21
紧身衣,1,2,1,14,21
旧,1,2,1,17,21
校服,1,2,1,10,21
夹克,1,2,1,13,21
斗篷,0,3,3,11,21
面具,0,1,1,12,21
婚纱,0,2,2,16,21
红色,0,2,2,21,21
西装,0,1,1,19,21
睡袍,0,2,2,12,21
高跟鞋,0,2,2,18,21
外袍,0,1,1,3,21
头巾,0,1,1,12,21
围裙,0,2,2,18,21
裙子,-1,1,2,20,21
靴子,-1,2,3,16,21
背心,-1,1,2,16,21
长裙,-1,2,3,19,21
鞋子,-1,2,3,18,21
外,-1,1,2,21,21
衣物,-1,4,5,21,21
面纱,-2,0,2,6,21
白色,-2,1,3,19,21
裤,-2,0,2,16,21
外衣,-2,3,5,21,21
短裤,-2,1,3,11,21
小,-2,0,2,11,21
衣,-2,0,2,21,21
T恤,-2,0,2,7,21
服装,-2,0,2,20,21
袜子,-2,1,3,19,21
短裙,-2,1,3,17,21
连衣裙,-2,1,3,20,21
制服,-2,2,4,21,21
黑,-2,0,2,21,21
毛衣,-3,0,3,21,21
紧身,-3,0,3,18,21
乳罩,-3,0,3,7,21
鞋袜,-3,0,3,10,21
胸罩,-4,0,4,15,21
黑色,-4,2,6,21,21
睡衣,-4,2,6,20,21
丝袜,-4,0,4,16,21
衬衣,-5,0,5,18,21
上衣,-6,1,7,21,21
内衣,-6,2,8,20,21
衬衫,-6,0,6,20,21
衣裳,-6,0,6,17,21
鞋,-6,1,7,20,21
内裤,-7,2,9,15,21
裤子,-9,1,10,20,21
衣服,-10,1,11,21,21
