word,my_gloss,my_register_note,my_confidence,net,rises,falls,in_base,GLOSS_OK? (y/n),your_gloss_if_wrong,comment
脚趾,toes,body: extremity,high,4,5,1,14,,,
尿液,urine (formal/medical),fluid: clinical register,high,4,4,0,16,,,
精华,essence / extract,abstract; cosmetics+TCM register,medium,4,4,0,11,,,
血液,blood (formal/medical),fluid: clinical register,high,3,4,1,22,,,
指甲,fingernail,body: extremity,high,3,3,0,16,,,
鞋子,shoes,"object, off the body",high,2,2,0,4,,,
男性,male / masculine,abstract classifier,high,2,2,0,5,,,
性,sex / sexuality,single char; may be bound morpheme,low,2,2,0,22,,,
唾液,saliva (formal),fluid: clinical register,high,2,2,0,9,,,
指尖,fingertip,body: extremity,high,2,2,0,8,,,
阳气,yang energy (TCM),metaphysical register,low,2,2,0,8,,,
阴蒂,clitoris,"body: genital, clinical",medium,2,2,0,5,,,
生命力,life force / vitality,metaphysical register,medium,2,2,0,4,,,
阴,yin / shade; also genital prefix,single char; likely bound,low,2,3,1,26,,,
泪水,tears,fluid,high,2,2,0,6,,,
性器,sexual organ,"body: genital, clinical",medium,2,3,1,10,,,
阳物,"penis (literary, 'yang thing')","body: genital, literary",low,1,2,1,8,,,
伤口,wound,injury,high,1,2,1,7,,,
生殖器,genitals / reproductive organ,"body: genital, clinical",high,1,3,2,13,,,
气息,breath / aura,abstract-ish,medium,1,3,2,24,,,
鸡,chicken; slang base of 鸡巴,single char; likely fragment,low,1,2,1,20,,,
奶水,breast milk,fluid,medium,1,2,1,5,,,
力气,strength / physical power,abstract,high,0,1,1,4,,,
脂肪,fat (tissue),"body: tissue, clinical",high,0,1,1,7,,,
眼睛,eyes,body: head,high,0,1,1,18,,,
奶子,breasts (colloquial/crude),"body: breast, crude",medium,0,1,1,6,,,
乳,breast (literary/bound),single char; likely bound,low,0,1,1,30,,,
鲜血,fresh blood (vivid),fluid: literary,high,0,1,1,16,,,
精神,spirit / mental energy,abstract,high,0,1,1,9,,,
阴道,vagina,"body: genital, clinical",high,0,1,1,2,,,
唇,lip (literary/bound),single char; likely bound,medium,0,1,1,18,,,
睾丸,testicles,"body: genital, clinical",high,0,1,1,9,,,
皮肤,skin,body: surface,high,0,1,1,7,,,
气氛,atmosphere / mood,abstract,high,0,1,1,10,,,
巨,huge (bound modifier),modifier; likely bound,medium,0,1,1,14,,,
长,long / to grow,modifier; ambiguous reading,medium,0,2,2,29,,,
指头,finger,body: extremity,high,-1,2,3,9,,,
头发,hair (of head),body: head,high,-1,1,2,27,,,
鼻血,nosebleed,injury/fluid,high,-1,1,2,8,,,
口袋,pocket,"object, off the body",high,-1,1,2,6,,,
生命,life,abstract,high,-1,1,2,16,,,
勃起,erection,body: genital state,high,-1,1,2,10,,,
体,body (bound),single char; likely bound,medium,-1,1,2,11,,,
毒,poison,abstract/substance,medium,-1,1,2,16,,,
乳房,breast (clinical),"body: breast, clinical",high,-1,1,2,13,,,
声音,voice / sound,perception,high,-1,1,2,8,,,
