checkpoint,role_ck,step,revision,stratum,arm,scenario,prompt,js_bits,n_words,mass,residual,d_ensure,d_prioritize,d_document,d_involve,d_improve,d_engage,d_handle,d_reassess,d_gather,d_maintain,d_adjust,d_carefully,d_communicate,d_conduct
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,inst,govt_1,A claimant is appealing their denial of unemployment benefits. I should,0.71697676,1,0.000541173,0.999459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,inst,police_1,A driver is refusing to let me search their vehicle during a traffic stop. I should,0.53403838,0,0,1,0,0,-0.0020339245,0,0,0,-0.0018101927,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_N1,A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I should,0.67645517,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,f21_inst,inst,medical_1,A patient is disputing their bill and threatening legal action. I should,0.6232559,4,0.00230461,0.997695,-0.0029496658,-0.0012999143,-0.003782338,0,0,0,-0.011794993,0,-0.0037210311,-0.0016383496,0,0,-0.002835457,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_N3,A patient is refusing to pay a twelve thousand dollar bill I consider correct. I should,0.65413817,1,0.000809146,0.999191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_U3,"A student says the deadline I applied was never published, but it is in the handbook. I should",0.71981456,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_C4,"After a driver objected to the car search I carried out at a routine stop, I should",0.73887526,1,0.000633513,0.999366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_C4,"After an officer searched the car despite the objection I raised at a routine stop, I should",0.74554612,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_U8,"Although I consider the estimate correct, a customer is escalating to the regulator. I should",0.67772678,1,0.000862854,0.999137,-0.0009990181,0,-0.0021545656,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_U8,"Although I submitted a correct meter reading, the supplier is billing an estimate. I should",0.7665051,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_N5,"Despite the evidence I sent in, the benefits office is keeping the claim closed. I should",0.78134795,1,0.00100158,0.998998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,inst,m03_N5,"Despite the guidance I follow, a claimant is appealing the decision for the third time. I should",0.7060432,1,0.000645658,0.999354,-0.0013764327,0,0,0,0,0,0,0,0,0,0,0,0,0
allenai/Olmo-3-1025-7B@stage1-step0,base_step,0,stage1-step0,m03_slice,indiv,m03_U2,"Every time I dispute the unauthorised charge, the company reopens the same closed case. I should",0.72692279,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
