word,n_lineages,n_cells,median_d,lineages_pos,lineages_tested,p,median_delta_indiv,median_delta_inst
automate,44,181,0.0020907506,33,44,0.0012600338,0.0023272494,0.002407233
ensure,46,1151,0.0015482765,42,46,5.1001905e-09,0.0013660544,0.0017146159
appealed,46,501,0.0015119498,37,46,4.0560361e-05,-0.0015704103,-0.00067024705
sue,46,2996,0.0014992075,39,46,1.8315433e-06,-0.0019724847,-0.0014269602
prioritize,46,795,0.0014765566,44,46,3.075229e-11,0.0014459126,0.0016699624
objected,43,124,0.0014237704,36,43,8.9630394e-06,-0.0013984236,0.0015970309
complained,45,394,0.001414736,41,45,9.3348831e-09,-0.0014352151,-0.0009799674
phoned,44,213,0.0013774038,38,44,9.4303755e-07,-0.0016694164,-0.0010777946
communicate,46,1209,0.0013573489,42,46,5.1001905e-09,0.0016638462,0.0014937519
carefully,42,218,0.0013513669,33,42,0.00027153923,0.0013351081,0.0014598525
document,46,1952,0.0013334358,40,46,3.1028037e-07,0.0010744526,0.0018636876
complain,46,2421,0.0013317698,39,46,1.8315433e-06,-0.0018646522,-0.0012944168
rang,41,149,0.0013261784,34,41,2.5320804e-05,-0.0013430651,-0.0010538887
involve,45,737,0.0013133473,41,45,9.3348831e-09,0.0014692614,0.0015232045
weren't,42,205,0.0013122667,35,42,1.5097201e-05,-0.0012665789,-0.0003620423
improve,42,248,0.0012965795,32,42,0.00094067403,0.0011644485,0.0013014616
refuted,41,80,0.0012886091,30,41,0.0043240049,-0.0012886091,0
engage,46,759,0.0012806964,37,46,4.0560361e-05,0.0011695521,0.0013339176
conduct,46,439,0.0012784986,41,46,4.4059362e-08,0.0013332927,0.0012784986
assess,46,473,0.0012736493,43,46,4.6219384e-10,0.0014477298,0.0012905555
handle,46,1506,0.0012571213,43,46,4.6219384e-10,0.0012965854,0.0014555302
sued,40,102,0.0012560225,29,40,0.0064265761,-0.0013495572,-0.00081712185
implement,46,441,0.0012433771,42,46,5.1001905e-09,0.0014355567,0.0012433771
reassess,45,522,0.0012389391,36,45,6.5746632e-05,0.0011532354,0.0013171769
called,46,1253,0.0012327893,39,46,1.8315433e-06,-0.0017958902,-0.0013595143
gather,41,400,0.0012245853,34,41,2.5320804e-05,0.0012955767,0.0013589408
had,46,1715,0.0012173885,37,46,4.0560361e-05,-0.0031601627,-0.0017551917
maintain,46,695,0.0012161103,37,46,4.0560361e-05,0.0010684389,0.0012129361
ring,43,272,0.0012027085,31,43,0.0054015727,-0.0012676107,-0.000435803
adjust,46,911,0.0011760504,34,46,0.0016414913,0.0012768536,0.0012937511
reevaluate,44,403,0.0011645195,34,44,0.0003881309,0.0011281488,0.0013082964
emailed,45,518,0.0011589485,34,45,0.00082408236,-0.001291285,-0.0015711605
initiate,44,463,0.0011528022,36,44,2.5448599e-05,0.0011296469,0.0012223372
evaluate,45,387,0.0011506003,38,45,3.1213096e-06,0.0011139708,0.0012487324
pack,45,389,0.0011499889,32,45,0.0066088228,-0.0012234289,0.00013526262
didn't,42,1039,0.0011451149,32,42,0.00094067403,-0.0013889084,-0.0012791829
manage,42,279,0.0011291076,35,42,1.5097201e-05,0.0010739156,0.0011416053
likely,44,209,0.0011281891,35,44,0.00010604467,0.0012537736,0.001167296
proceed,46,2137,0.0011262181,39,46,1.8315433e-06,0.0012431331,0.0014217918
politely,46,480,0.0011261864,29,46,0.10380536,0.0011952254,0.0012552373
summarize,41,228,0.0011251109,33,41,0.00011222143,0.0008842406,0.0013117897
notified,44,207,0.0011242685,34,44,0.0003881309,-0.0011624106,0.0001349405
waited,46,468,0.0011139786,37,46,4.0560361e-05,-0.0013548079,-0.00099500005
phone,45,517,0.0011076336,37,45,1.537409e-05,-0.0012073864,-0.0010110437
are,46,836,0.0011025706,25,46,0.65873808,0.0038194062,0.0088117425
modify,44,239,0.0010995407,32,44,0.0036577668,0.0011779596,0.0011223768
anticipate,46,740,0.0010944244,32,46,0.011351591,0.0011177553,0.001183827
assign,44,287,0.0010741521,33,44,0.0012600338,0.0018811504,0.0010741521
comply,45,518,0.001071847,25,45,0.55148433,0.0012565997,0.0011775921
verify,46,606,0.0010667351,33,46,0.0045338616,0.001276858,0.0011439002
establish,46,437,0.0010635758,38,46,9.2476999e-06,0.0014782303,0.0011283999
aim,45,313,0.0010549108,33,45,0.0024589003,0.0015440675,0.0013598945
revise,46,1085,0.0010536003,36,46,0.00015641721,0.0012793253,0.0012602017
develop,44,340,0.0010522824,35,44,0.00010604467,0.0003472649,0.0010583356
