stratum,source,field,n_lineages,median_share,coverage,prenamed
f21_inst,usas_fine,core_cognition_and_belief,46,0.048780488,1,False
f21_inst,usas_fine,inquiry_discovery_and_education,46,0.081047906,1,False
f21_inst,usas_fine,volition_and_capability,46,0.056896658,1,False
f21_inst,usas_fine,logical_modal_and_discourse_operators,46,0.038098694,1,False
f21_inst,usas_fine,language_and_communication,46,0.13840996,1,False
f21_inst,usas_fine,making_and_causation,46,0.072348485,1,False
f21_inst,usas_fine,matter_objects_and_handling,46,0.069215592,1,False
f21_inst,usas_fine,governance_law_and_ethics,46,0.043478261,1,False
f21_inst,usas_fine,ontological_and_categorization,46,0.032944826,1,False
f21_inst,usas_fine,evaluation_comparison_and_judgment,45,0.032563025,1,False
f21_inst,usas_fine,suitability_and_utility,44,0.029857398,1,False
f21_inst,usas_fine,duration_phase_and_age,46,0.05,1,False
f21_inst,usas_fine,physical_appearance_and_properties,44,0.029201681,1,False
f21_inst,usas_fine,science_technology_and_electronics,46,0.029028239,1,False
f21_inst,usas_fine,leisure_hobbies_and_play,46,0.031769306,1,False
f21_inst,usas_fine,sociality_reciprocity_and_belonging,45,0.046511628,1,False
f21_inst,usas_fine,media_and_entertainment,46,0.034106459,1,False
f21_inst,usas_fine,emotion_and_arousal,46,0.041606266,1,False
f21_inst,usas_fine,commerce_work_and_industry,46,0.037037037,1,False
f21_inst,meta,cognition_mental,46,0.14254235,1,False
f21_inst,meta,evaluation_modality,46,0.10389805,1,False
f21_inst,meta,communication_speech,46,0.16666667,1,False
f21_inst,meta,other,46,0.14794632,1,False
f21_inst,meta,physical_action,46,0.11891202,1,False
f21_inst,meta,possession_exchange,46,0.081752393,1,False
f21_inst,meta,time_aspect,46,0.061381476,1,False
f21_inst,meta,perception_sensation,46,0.046639249,1,False
f21_inst,meta,social_interpersonal,45,0.076510721,1,False
f21_inst,meta,emotion_affect,46,0.038461538,1,False
f21_inst,usas,X2.1,45,0.027777778,1,False
f21_inst,usas,X2.4,46,0.052631579,1,True
