lineage,pair_id,domain,js_unmarked,js_marked,d_js
01-ai/Yi-1.5-9B,e1_bill,institutional,0.024863096,0.021622237,-0.0032408593
01-ai/Yi-1.5-9B,e1_credit,institutional,0.069317922,0.11068619,0.04136827
01-ai/Yi-1.5-9B,e1_heating,institutional,0.035966814,0.056234969,0.020268155
01-ai/Yi-1.5-9B,e3_aim,violence,0.085916877,0.044395424,-0.041521454
01-ai/Yi-1.5-9B,e3_syringe,violence,0.064278787,0.067387291,0.0031085041
01-ai/Yi-1.5-9B,e3_threat,violence,0.06000079,0.071112499,0.011111709
01-ai/Yi-1.5-9B,e4_reg,sexual,0.06944524,0.062517729,-0.006927511
01-ai/Yi-1.5-9B,e4_reg2,sexual,0.066164419,0.046711118,-0.019453301
01-ai/Yi-1.5-9B,e5_agency,institutional,0.099421756,0.029534286,-0.06988747
01-ai/Yi-1.5-9B,e5_deposit,institutional,0.024332998,0.010944959,-0.013388038
01-ai/Yi-1.5-9B,e8_fire,institutional,0.025791906,0.080252684,0.054460778
01-ai/Yi-1.5-9B,e8_rent,institutional,0.039236903,0.054242852,0.015005949
01-ai/Yi-1.5-9B,e9_death,death,0.0023215857,0.031156706,0.028835121
01-ai/Yi-1.5-9B,e9_drug,substance,0.093770132,0.12042298,0.026652849
01-ai/Yi-1.5-9B,e9_swear,profanity,0.062907089,0.10931718,0.046410094
01-ai/Yi-1.5-9B,f11_beauty,contradiction,0.041099563,0.042908384,0.001808821
01-ai/Yi-1.5-9B,f11_beauty_ugly,contradiction,0.070830777,0.042908384,-0.027922393
01-ai/Yi-1.5-9B,f11_captive,contradiction,0.043170196,0.039268071,-0.0039021249
01-ai/Yi-1.5-9B,f11_captive_b,contradiction,0.058707323,0.053505403,-0.0052019194
01-ai/Yi-1.5-9B,f11_class,contradiction,0.038180556,0.0640262,0.025845643
01-ai/Yi-1.5-9B,f11_create,contradiction,0.072117317,0.057345211,-0.014772106
01-ai/Yi-1.5-9B,f11_desire,contradiction,0.090365607,0.060743347,-0.02962226
01-ai/Yi-1.5-9B,f11_faithful,contradiction,0.058374708,0.075743263,0.017368555
01-ai/Yi-1.5-9B,f11_gender,contradiction,0.073957765,0.069325247,-0.0046325188
01-ai/Yi-1.5-9B,f11_gender_he,contradiction,0.033446097,0.056933932,0.023487835
01-ai/Yi-1.5-9B,f11_gender_she,contradiction,0.037888178,0.035720832,-0.0021673459
01-ai/Yi-1.5-9B,f11_guilt,contradiction,0.047753591,0.045244596,-0.002508995
01-ai/Yi-1.5-9B,f11_holy,contradiction,0.08436401,0.15465457,0.070290556
01-ai/Yi-1.5-9B,f11_holy_b,contradiction,0.063176506,0.080226564,0.017050058
