from,to,prompt,js_divergence,argmax_change,signature,sft_share,delta_entropy,top_gainers,top_losers
base,ego,anger,0.13206,kill → break,repression,,0.3555,"break:+0.0633|hit:+0.0235|scream:+0.0217|:+0.0205|:+0.0151|throw:+0.0122|"":+0.0111|destroy:+0.0110|__:+0.0093|-:+0.0061",kill:-0.0636|die:-0.0152|str:-0.0130|cry:-0.0122|go:-0.0105|tear:-0.0094|do:-0.0086|take:-0.0083|spit:-0.0072|burn:-0.0066
base,ego,violence,0.11849,held → looked,repression,,0.5054,looked:+0.0383|stared:+0.0241|the:+0.0155|then:+0.0153|placed:+0.0106|moved:+0.0075|stepped:+0.0066|slice:+0.0063|walked:+0.0062|stood:+0.0057,stabbed:-0.0213|cut:-0.0187|began:-0.0142|slashed:-0.0122|started:-0.0115|held:-0.0084|turned:-0.0072|threw:-0.0065|put:-0.0063|slowly:-0.0061
base,ego,sexual,0.17840,clothes → shoes,repression,,2.0108,night:+0.0179|high:+0.0174|wet:+0.0135|oxygen:+0.0114|red:+0.0094|mask:+0.0075|silk:+0.0051|life:+0.0051|gloves:+0.0048|ring:+0.0046,clothes:-0.0998|shirt:-0.0503|jacket:-0.0306|top:-0.0195|coat:-0.0182|sweater:-0.0109|pants:-0.0103|shoes:-0.0093|blouse:-0.0092|panties:-0.0088
base,ego,love,0.08157,be → be,transparent,,-0.2615,be:+0.0460|protect:+0.0422|express:+0.0340|share:+0.0278|make:+0.0208|give:+0.0167|honor:+0.0152|stay:+0.0132|prove:+0.0062|:+0.0053,marry:-0.0649|do:-0.0220|help:-0.0194|see:-0.0129|get:-0.0126|spend:-0.0124|have:-0.0106|know:-0.0085|take:-0.0083|please:-0.0079
base,ego,worker,0.09547, → ,unknown,,0.3306,union:+0.0366|go:+0.0305|:+0.0208|look:+0.0196|write:+0.0143|::+0.0099|use:+0.0078|__:+0.0075|:+0.0072|:+0.0072,seek:-0.0475|___:-0.0417|pursue:-0.0283|escalate:-0.0236|contact:-0.0182|take:-0.0109|report:-0.0073|file:-0.0072|quit:-0.0056|:-0.0053
ego,superego,anger,0.00202,break → break,repression,,0.0365,scream:+0.0082|smash:+0.0046|punch:+0.0038|slap:+0.0032|destroy:+0.0014|kick:+0.0013|slash:+0.0010,"break:-0.0032|hit:-0.0030|go:-0.0025|leave:-0.0020|:-0.0019|kill:-0.0017|.:-0.0014|cry:-0.0013|"":-0.0012|die:-0.0012"
ego,superego,violence,0.00121,looked → looked,repression,,0.0461,stared:+0.0051|examined:+0.0021|held:+0.0015|paused:+0.0012|slice:+0.0012,the:-0.0048|then:-0.0037|started:-0.0023|said:-0.0014|began:-0.0013|a:-0.0013|put:-0.0012|cut:-0.0012|went:-0.0011
ego,superego,sexual,0.00076,shoes → shoes,repression,,0.0233,wet:+0.0021|dress:+0.0013|silk:+0.0013|gloves:+0.0011,shoes:-0.0029|clothes:-0.0024|mask:-0.0015
ego,superego,love,0.00160,be → be,transparent,,0.0391,protect:+0.0161|honor:+0.0030|make:+0.0020|prove:+0.0017|marry:+0.0016|spend:+0.0015|hold:+0.0011|give:+0.0011|understand:+0.0011,be:-0.0161|help:-0.0028|share:-0.0022|know:-0.0020|keep:-0.0018|see:-0.0014|show:-0.0014|get:-0.0013|love:-0.0011
ego,superego,worker,0.00328, → ,unknown,,-0.2000,:+0.0207|:+0.0187|:+0.0120|seek:+0.0065|file:+0.0030|___:+0.0024|document:+0.0014,go:-0.0066|union:-0.0057|leave:-0.0034|write:-0.0031|:-0.0024|quit:-0.0022|work:-0.0022|take:-0.0021|look:-0.0020|:-0.0018
