checkpoint,prompt,entropy,effective_vocab,argmax_token,argmax_prob,violence_loading,procedural_loading,top_k
base,anger,4.8249,124,______,0.0713,0.02153,-0.02023,______:0.0713|throw:0.0505|hit:0.0432|break:0.0406|scream:0.0358|kill:0.0337|tear:0.0292|leave:0.0292|__:0.0270|smash:0.0231
base,violence,2.2908,9,fork,0.5716,-0.01786,-0.01779,fork:0.5716|started:0.0811|began:0.0672|what:0.0414|did:0.0333|prepared:0.0148|cut:0.0137|sliced:0.0084|turned:0.0078|moved:0.0072
base,sexual,5.0835,161,clothes,0.0903,0.02189,0.00280,clothes:0.0903|glasses:0.0797|shoes:0.0661|wedding:0.0401|coat:0.0371|jacket:0.0327|shirt:0.0312|mask:0.0312|gloves:0.0195|dress:0.0155
base,love,3.7179,41,marry,0.1746,0.00066,-0.03672,marry:0.1746|make:0.0964|do:0.0906|be:0.0906|spend:0.0684|give:0.0390|__:0.0260|have:0.0244|help:0.0209|live:0.0202
base,worker,3.9482,51,what,0.1294,0.01073,-0.01554,what:0.1294|do:0.1072|take:0.0889|____:0.0785|__:0.0476|______:0.0447|file:0.0395|quit:0.0348|leave:0.0298|_____:0.0289
superego,anger,4.1322,62,kill,0.1473,0.03908,-0.01349,kill:0.1473|scream:0.0894|______:0.0675|bite:0.0577|hit:0.0517|throw:0.0471|___:0.0422|slap:0.0334|____:0.0281|punch:0.0233
superego,violence,1.6913,5,began,0.5823,0.00326,-0.03857,began:0.5823|started:0.1183|cut:0.1094|fork:0.0449|sliced:0.0415|made:0.0086|the:0.0079|stared:0.0074|______:0.0068|approached:0.0063
superego,sexual,4.7885,120,glasses,0.1056,0.01866,0.00214,glasses:0.1056|clothes:0.1024|gloves:0.0499|coat:0.0447|jacket:0.0407|mask:0.0371|wedding:0.0359|shoes:0.0332|sweater:0.0267|scarf:0.0263
superego,love,3.3837,29,make,0.1823,0.00905,-0.05541,make:0.1823|do:0.1292|be:0.1158|show:0.0821|give:0.0522|spend:0.0348|marry:0.0288|express:0.0232|protect:0.0225|have:0.0204
superego,worker,2.1669,8,do,0.3584,0.00277,-0.02931,do:0.3584|take:0.2971|what:0.0906|file:0.0684|go:0.0323|quit:0.0148|leave:0.0137||:0.0086|____:0.0083|challenge:0.0067
