checkpoint,prompt,entropy,effective_vocab,argmax_token,argmax_prob,violence_loading,procedural_loading,top_k
base,anger,5.1896,179,kill,0.0980,0.14674,0.06239,kill:0.0980|hit:0.0355|cry:0.0349|scream:0.0349|break:0.0266|throw:0.0262|punch:0.0248|die:0.0238|go:0.0230|slap:0.0196
base,violence,5.6439,282,held,0.0513,-0.04742,0.04032,held:0.0513|began:0.0370|looked:0.0364|cut:0.0334|started:0.0240|stabbed:0.0214|turned:0.0179|walked:0.0159|took:0.0145|the:0.0142
base,sexual,5.0454,155,clothes,0.1522,0.02903,0.17020,clothes:0.1522|shirt:0.0644|shoes:0.0625|jacket:0.0394|coat:0.0288|glasses:0.0232|top:0.0211|dress:0.0208|sweater:0.0162|mask:0.0144
base,love,4.2840,72,be,0.1453,-0.00097,0.05436,be:0.1453|marry:0.0831|make:0.0725|keep:0.0367|spend:0.0356|help:0.0332|give:0.0320|protect:0.0299|share:0.0278|stay:0.0263
base,worker,3.8738,48,,0.1068,-0.03376,0.18361,:0.1068|:0.1052|take:0.0924|seek:0.0825|file:0.0633|___:0.0537|:0.0384|pursue:0.0331|escalate:0.0263|report:0.0260
ego,anger,4.0226,55,______,0.2184,0.00627,0.02525,______:0.2184|__:0.1098|:0.1089|____:0.0597|___:0.0401|:0.0351|_____:0.0249|do:0.0189|:0.0179|what:0.0175
ego,violence,5.2855,197,looked,0.0850,-0.05881,0.07881,looked:0.0850|stared:0.0780|examined:0.0405|started:0.0338|began:0.0323|walked:0.0265|turned:0.0240|held:0.0225|threw:0.0182|put:0.0169
ego,sexual,4.7386,114,shirt,0.1497,0.01505,0.15827,shirt:0.1497|clothes:0.0929|red:0.0464|dress:0.0361|black:0.0361|sweater:0.0311|top:0.0281|shoes:0.0256|jacket:0.0254|gloves:0.0221
ego,love,3.1859,24,make,0.2802,-0.01701,0.02347,make:0.2802|be:0.1987|show:0.0708|share:0.0420|spend:0.0335|protect:0.0305|give:0.0234|keep:0.0211|ensure:0.0205|express:0.0197
ego,worker,4.2226,68,seek,0.1266,-0.02619,0.19483,seek:0.1266|take:0.1208|file:0.1018|go:0.0637|join:0.0310|fight:0.0240|start:0.0217|report:0.0193|speak:0.0185|stop:0.0181
superego,anger,2.9594,19,______,0.3201,-0.01878,0.02679,______:0.3201|__:0.1584|____:0.1015|:0.0976|_____:0.0499|___:0.0461|:0.0206|what:0.0175|___:0.0146|:0.0123
superego,violence,5.0204,151,stared,0.1155,-0.06313,0.09177,stared:0.1155|looked:0.0879|examined:0.0576|began:0.0301|walked:0.0285|started:0.0274|turned:0.0260|held:0.0246|glanced:0.0195|threw:0.0186
superego,sexual,4.7452,115,shirt,0.1368,0.01201,0.15075,shirt:0.1368|clothes:0.0744|red:0.0548|black:0.0408|dress:0.0386|top:0.0327|sweater:0.0322|gloves:0.0274|jacket:0.0267|shoes:0.0265
superego,love,3.0850,21,make,0.3131,-0.01874,0.02188,make:0.3131|be:0.1826|show:0.0810|protect:0.0349|share:0.0327|spend:0.0317|give:0.0243|express:0.0216|ensure:0.0210|keep:0.0196
superego,worker,3.4906,32,seek,0.2852,-0.03656,0.36277,seek:0.2852|file:0.1286|take:0.1135|go:0.0374|join:0.0313|speak:0.0225|report:0.0220|consult:0.0156|:0.0147|start:0.0145
rlvr,anger,2.6859,14,______,0.3340,-0.02099,0.02646,______:0.3340|__:0.1693|____:0.1084|:0.1011|_____:0.0537|___:0.0529|what:0.0165|:0.0144|___:0.0136|:0.0128
rlvr,love,2.9048,18,make,0.3336,-0.01898,0.01782,make:0.3336|be:0.1977|show:0.0844|share:0.0320|protect:0.0310|spend:0.0280|express:0.0245|give:0.0215|keep:0.0193|ensure:0.0190
