model,step,kind,group_x,group_y,layer,sep
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,0,0.000000
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,1,0.271901
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,2,0.308321
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,3,0.312439
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,4,0.325256
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,5,0.336050
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,6,0.341455
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,7,0.338845
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,8,0.344754
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,9,0.349782
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,10,0.352302
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,11,0.355590
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,12,0.357642
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,13,0.356683
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,14,0.358126
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,15,0.360500
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,16,0.362461
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,17,0.363215
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,18,0.362374
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,19,0.363994
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,20,0.363697
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,21,0.363083
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,22,0.363319
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,23,0.363156
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,24,0.363060
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,25,0.361368
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,26,0.361243
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,27,0.361043
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,28,0.359108
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,29,0.361869
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,30,0.362395
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,31,0.365612
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty,f11_beauty,32,0.366177
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,0,0.000000
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,1,0.209331
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,2,0.285856
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,3,0.291015
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,4,0.305228
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,5,0.317093
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,6,0.323141
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,7,0.326498
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,8,0.329494
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,9,0.335035
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,10,0.334359
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,11,0.338317
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,12,0.337899
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,13,0.333676
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,14,0.336860
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,15,0.338282
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,16,0.341646
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,17,0.342078
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,18,0.342784
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,19,0.344814
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,20,0.345221
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,21,0.345156
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,22,0.344907
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,23,0.343715
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,24,0.343538
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,25,0.342508
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,26,0.341989
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,27,0.341435
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,28,0.338361
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,29,0.339771
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,30,0.338330
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,31,0.338993
EleutherAI/pythia-6.9b@step0,0,REAL,f11_beauty_ugly,f11_beauty_ugly,32,0.340860
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,0,0.000000
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,1,0.233557
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,2,0.302961
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,3,0.319066
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,4,0.334267
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,5,0.343871
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,6,0.353939
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,7,0.361179
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,8,0.368321
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,9,0.376853
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,10,0.375047
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,11,0.373952
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,12,0.370726
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,13,0.373708
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,14,0.371755
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,15,0.372944
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,16,0.374159
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,17,0.375413
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,18,0.374259
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,19,0.377296
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,20,0.376050
EleutherAI/pythia-6.9b@step0,0,REAL,f11_captive,f11_captive,21,0.377444
