model,step,group,layer,n_layers,pole_sep
EleutherAI/pythia-6.9b@step0,0,f11_beauty,0,33,0.000000
EleutherAI/pythia-6.9b@step0,0,f11_beauty,1,33,0.271901
EleutherAI/pythia-6.9b@step0,0,f11_beauty,2,33,0.308321
EleutherAI/pythia-6.9b@step0,0,f11_beauty,3,33,0.312439
EleutherAI/pythia-6.9b@step0,0,f11_beauty,4,33,0.325256
EleutherAI/pythia-6.9b@step0,0,f11_beauty,5,33,0.336050
EleutherAI/pythia-6.9b@step0,0,f11_beauty,6,33,0.341455
EleutherAI/pythia-6.9b@step0,0,f11_beauty,7,33,0.338845
EleutherAI/pythia-6.9b@step0,0,f11_beauty,8,33,0.344754
EleutherAI/pythia-6.9b@step0,0,f11_beauty,9,33,0.349782
EleutherAI/pythia-6.9b@step0,0,f11_beauty,10,33,0.352302
EleutherAI/pythia-6.9b@step0,0,f11_beauty,11,33,0.355590
EleutherAI/pythia-6.9b@step0,0,f11_beauty,12,33,0.357642
EleutherAI/pythia-6.9b@step0,0,f11_beauty,13,33,0.356683
EleutherAI/pythia-6.9b@step0,0,f11_beauty,14,33,0.358126
EleutherAI/pythia-6.9b@step0,0,f11_beauty,15,33,0.360500
EleutherAI/pythia-6.9b@step0,0,f11_beauty,16,33,0.362461
EleutherAI/pythia-6.9b@step0,0,f11_beauty,17,33,0.363215
EleutherAI/pythia-6.9b@step0,0,f11_beauty,18,33,0.362374
EleutherAI/pythia-6.9b@step0,0,f11_beauty,19,33,0.363994
EleutherAI/pythia-6.9b@step0,0,f11_beauty,20,33,0.363697
EleutherAI/pythia-6.9b@step0,0,f11_beauty,21,33,0.363083
EleutherAI/pythia-6.9b@step0,0,f11_beauty,22,33,0.363319
EleutherAI/pythia-6.9b@step0,0,f11_beauty,23,33,0.363156
EleutherAI/pythia-6.9b@step0,0,f11_beauty,24,33,0.363060
EleutherAI/pythia-6.9b@step0,0,f11_beauty,25,33,0.361368
EleutherAI/pythia-6.9b@step0,0,f11_beauty,26,33,0.361243
EleutherAI/pythia-6.9b@step0,0,f11_beauty,27,33,0.361043
EleutherAI/pythia-6.9b@step0,0,f11_beauty,28,33,0.359108
EleutherAI/pythia-6.9b@step0,0,f11_beauty,29,33,0.361869
EleutherAI/pythia-6.9b@step0,0,f11_beauty,30,33,0.362395
EleutherAI/pythia-6.9b@step0,0,f11_beauty,31,33,0.365612
EleutherAI/pythia-6.9b@step0,0,f11_beauty,32,33,0.366177
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,0,33,0.000000
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,1,33,0.209331
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,2,33,0.285856
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,3,33,0.291015
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,4,33,0.305228
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,5,33,0.317093
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,6,33,0.323141
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,7,33,0.326498
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,8,33,0.329494
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,9,33,0.335035
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,10,33,0.334359
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,11,33,0.338317
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,12,33,0.337899
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,13,33,0.333676
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,14,33,0.336860
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,15,33,0.338282
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,16,33,0.341646
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,17,33,0.342078
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,18,33,0.342784
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,19,33,0.344814
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,20,33,0.345221
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,21,33,0.345156
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,22,33,0.344907
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,23,33,0.343715
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,24,33,0.343538
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,25,33,0.342508
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,26,33,0.341989
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,27,33,0.341435
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,28,33,0.338361
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,29,33,0.339771
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,30,33,0.338330
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,31,33,0.338993
EleutherAI/pythia-6.9b@step0,0,f11_beauty_ugly,32,33,0.340860
EleutherAI/pythia-6.9b@step0,0,f11_captive,0,33,0.000000
EleutherAI/pythia-6.9b@step0,0,f11_captive,1,33,0.233557
EleutherAI/pythia-6.9b@step0,0,f11_captive,2,33,0.302961
EleutherAI/pythia-6.9b@step0,0,f11_captive,3,33,0.319066
EleutherAI/pythia-6.9b@step0,0,f11_captive,4,33,0.334267
EleutherAI/pythia-6.9b@step0,0,f11_captive,5,33,0.343871
EleutherAI/pythia-6.9b@step0,0,f11_captive,6,33,0.353939
EleutherAI/pythia-6.9b@step0,0,f11_captive,7,33,0.361179
EleutherAI/pythia-6.9b@step0,0,f11_captive,8,33,0.368321
EleutherAI/pythia-6.9b@step0,0,f11_captive,9,33,0.376853
