family,measure,stratum,fr,rf,effect,p,n_items,min_cell,mde,lo,hi,symmetric,rank,bonferroni,bh,sparse_cells,reportable
pair,continues x related,UNMARKED,0.5778452481633687,3.8861846676647653,-3.3083394195013964,0.0001999600079984003,255,0,,,,True,16,True,True,True,False
pair,strong x related,UNMARKED,-0.5566755584874751,2.109008061489266,-2.665683619976741,0.0001999600079984003,255,0,,,,True,14,True,True,True,False
pair,mild x punish,ALL,-2.0133737644586676,-4.51250210128415,2.499128336825483,0.027794441111777646,255,0,,,,False,51,False,False,True,False
pair,generic x punish,MARKED,-1.9103092048216013,-4.360679217499862,2.4503700126782606,0.0003999200159968006,255,7,,,,False,26,False,True,True,False
pair,punish x related,UNMARKED,-0.4548669701179462,1.8900680672100267,-2.344935037327973,0.0001999600079984003,255,0,,,,True,19,True,True,True,False
pair,strong x related,ALL,1.0114003863013215,3.3210092889713905,-2.3096089026700692,0.0001999600079984003,255,0,,,,True,8,True,True,True,False
pair,generic x punish,ALL,-2.064942671651285,-4.312795178441091,2.2478525067898056,0.0001999600079984003,255,12,,,,False,12,True,True,False,True
pair,strong x speech,UNMARKED,0.2781737089601884,-1.8736911030553887,2.151864812015577,0.0591881623675265,255,3,,,,False,59,False,False,True,False
pair,same_pitch x punish,MARKED,0.266426684828743,-1.845542361636266,2.111969046465009,0.0001999600079984003,255,80,,,,False,21,True,True,False,True
pair,mild x punish,MARKED,-2.7068489582060984,-4.762663993614621,2.0558150354085223,0.10917816436712657,255,0,,,,False,74,False,False,True,False
pair,strong x related,MARKED,0.8179648682403299,2.866987060847908,-2.0490221926075782,0.0001999600079984003,255,0,,,,True,9,True,True,True,False
pair,mild x punish,UNMARKED,-0.3565280152276397,-2.375588867390972,2.0190608521633324,0.015196960607878424,255,0,,,,False,47,False,True,True,False
pair,same_pitch x punish,UNMARKED,0.18782141696082738,-1.8249738228624384,2.012795239823266,0.0001999600079984003,255,14,,,,False,15,True,True,False,True
pair,continues x related,MARKED,3.703810194930565,1.7109352984093922,1.9928748965211727,0.993001399720056,255,0,,,,True,146,False,False,True,False
pair,punish x speech,UNMARKED,-1.9007848651606989,-3.891834828559182,1.991049963398483,0.0001999600079984003,255,0,,,,False,18,True,True,True,False
pair,strong x diff_reg,MARKED,-1.6454022318958696,0.33217936848912133,-1.9775816003849909,0.09638072385522896,255,0,,,,False,72,False,False,True,False
pair,same_pitch x punish,ALL,0.2586144075560768,-1.6838353432533575,1.9424497508094343,0.0001999600079984003,255,94,,,,False,5,True,True,False,True
pair,diff_reg x subst,UNMARKED,-0.41537658735503785,-2.3383772554624858,1.9230006681074479,0.0001999600079984003,255,0,,,,True,17,True,True,True,False
pair,strong x diff_reg,ALL,-1.3768346055286456,0.5260475489911459,-1.9028821545197916,0.00639872025594881,255,0,,,,False,43,False,True,True,False
pair,punish x related,ALL,1.5663640269831423,3.401859651122627,-1.8354956241394846,0.0001999600079984003,255,0,,,,True,2,True,True,True,False
pair,mild x continues,UNMARKED,1.0414006564465195,-0.61269245949885,1.6540931159453693,0.0005998800239952009,255,15,,,,False,28,False,True,False,False
pair,generic x punish,UNMARKED,-2.0667791578411334,-3.7044266905950196,1.6376475327538862,0.0005998800239952009,255,4,,,,False,31,False,True,True,False
pair,diff_reg x related,MARKED,-5.64578337140146,-4.0454426271006465,-1.600340744300813,0.21975604879024196,255,10,,,,True,85,False,False,False,False
pair,strong x generic,MARKED,-3.024534264457697,-4.618334096599401,1.5937998321417042,0.07358528294341132,255,4,,,,False,64,False,False,True,False
pair,punish x related,MARKED,1.4876247853346505,3.0744796862049366,-1.5868549008702861,0.0001999600079984003,255,0,,,,True,13,True,True,True,False
pair,strong x generic,UNMARKED,-2.6182382507660034,-4.170556918484868,1.5523186677188647,0.0621875624875025,255,2,,,,False,62,False,False,True,False
pair,strong x generic,ALL,-3.068772464206103,-4.6080755795269415,1.5393031153208385,0.015596880623875225,255,6,,,,False,49,False,True,True,False
pair,continues x punish,MARKED,1.9603538458095224,3.4597749198568652,-1.4994210740473428,0.007998400319936013,255,19,,,,False,44,False,True,False,False
pair,diff_reg x speech,UNMARKED,1.0449081096962487,-0.4316072144341762,1.476515324130425,0.13457308538292342,255,2,,,,False,79,False,False,True,False
pair,strong x punish,MARKED,3.651278755224664,5.1194373835983775,-1.4681586283737134,0.0021995600879824036,255,27,,,,False,38,False,True,False,False
pair,strong x subst,MARKED,-1.507843879571751,-2.9585724777360625,1.4507285981643114,0.07998400319936012,255,3,,,,True,67,False,False,True,False
pair,mild x generic,UNMARKED,-1.0677816606666177,0.3730378542683107,-1.4408195149349283,0.0013997200559888023,255,20,,,,False,33,False,True,False,False
pair,strong x speech,MARKED,-1.8005903224621507,-0.4599853276250297,-1.340604994837121,0.08938212357528494,255,2,,,,False,70,False,False,True,False
pair,strong x punish,UNMARKED,3.8251784621297102,5.146486857636031,-1.3213083955063207,0.03199360127974405,255,10,,,,False,53,False,False,False,False
pair,diff_reg x speech,ALL,1.355516661722348,0.047618041416858034,1.3078986203054899,0.05618876224755049,255,10,,,,False,58,False,False,False,False
pair,diff_reg x punish,MARKED,-1.185889718113493,0.12129023131495854,-1.3071799494284517,0.3099380123975205,255,1,,,,False,93,False,False,True,False
pair,punish x speech,MARKED,-2.1394956092651753,-0.878399641456881,-1.2610959678082945,0.0615876824635073,255,3,,,,False,61,False,False,True,False
pair,mild x related,MARKED,2.365658598325429,1.1226014450381323,1.2430571532872967,0.0001999600079984003,255,0,,,,True,4,True,True,True,False
pair,mild x bare,MARKED,-1.529788460206493,-0.31397685217932286,-1.2158116080271701,0.0001999600079984003,255,27,,,,True,3,True,True,False,False
pair,continues x punish,ALL,2.083226900131817,3.2979528785969423,-1.2147259784651254,0.005198960207958408,255,29,,,,False,41,False,True,False,False
pair,same_pitch x diff_reg,UNMARKED,-0.8559447753717656,-2.0452985619693456,1.18935378659758,0.11997600479904019,255,2,,,,False,77,False,False,True,False
pair,strong x bare,MARKED,-0.091205790886027,-1.2729735235006823,1.1817677326146552,0.0003999200159968006,255,30,,,,True,24,False,True,False,False
pair,mild x continues,ALL,0.7872206556688666,-0.392888468718732,1.1801091243875985,0.0001999600079984003,255,71,,,,False,20,True,True,False,True
pair,mild x generic,ALL,-0.877949129693664,0.296554225982449,-1.174503355676113,0.0001999600079984003,255,80,,,,False,1,True,True,False,True
pair,strong x punish,ALL,3.84988610398033,5.022501055091039,-1.1726149511107096,0.001999600079984003,255,45,,,,False,37,False,True,False,False
pair,mild x generic,MARKED,-0.6579054706486669,0.508947214081714,-1.1668526847303808,0.0005998800239952009,255,52,,,,False,29,False,True,False,False
pair,mild x continues,MARKED,0.5533746673043908,-0.5693914973738191,1.1227661646782099,0.0009998000399920016,255,56,,,,False,32,False,True,False,False
pair,generic x related,MARKED,1.215914701950009,0.11064194911670858,1.1052727528333004,0.07938412317536493,255,3,,,,True,66,False,False,True,False
pair,strong x bare,ALL,-0.4374493981297949,-1.5263928986496915,1.0889435005198966,0.0001999600079984003,255,36,,,,True,10,True,True,False,False
pair,mild x bare,ALL,-1.817405654150152,-0.7433612226635303,-1.0740444314866218,0.0003999200159968006,255,37,,,,True,27,False,True,False,False
pair,diff_reg x punish,ALL,-0.8082324665520964,0.23834120494245428,-1.0465736714945506,0.15956808638272346,255,1,,,,False,82,False,False,True,False
pair,diff_reg x bare,UNMARKED,-1.519770210111088,-0.5582952080857151,-0.9614750020253728,0.1221755648870226,255,1,,,,True,78,False,False,True,False
pair,speech x subst,MARKED,-4.254011150519981,-3.307263432607704,-0.9467477179122765,0.0003999200159968006,255,0,,,,True,23,False,True,True,False
pair,strong x subst,ALL,-1.4235889009703728,-2.353773108515652,0.9301842075452791,0.1941611677664467,255,3,,,,True,84,False,False,True,False
pair,generic x speech,MARKED,-0.955548833271642,-0.027478035732855916,-0.9280707975387861,0.03699260147970406,255,35,,,,False,55,False,False,False,False
pair,punish x bare,MARKED,-0.5747117969848858,-1.498021480412299,0.9233096834274133,0.0013997200559888023,255,40,,,,True,35,False,True,False,False
pair,generic x speech,ALL,-0.7201179956880313,0.19565419320007307,-0.9157721888881043,0.0003999200159968006,255,131,,,,False,22,False,True,False,False
pair,punish x subst,MARKED,-2.5455183480065915,-3.4365498746853222,0.8910315266787308,0.46770645870825833,255,2,,,,True,101,False,False,True,False
pair,mild x related,ALL,2.653241964607215,1.7876323482234042,0.8656096163838107,0.0005998800239952009,255,0,,,,True,30,False,True,True,False
pair,mild x bare,UNMARKED,-2.1262493771926123,-1.2682849996562553,-0.857964377536357,0.047590481903619274,255,10,,,,True,57,False,False,False,False
pair,strong x bare,UNMARKED,-0.921601178792777,-1.7711863707654312,0.8495851919726541,0.10657868426314737,255,6,,,,True,73,False,False,True,False
pair,same_pitch x continues,MARKED,0.9368651872647107,0.1268373842345222,0.8100278030301885,0.0001999600079984003,255,245,,,,False,11,True,True,False,True
pair,same_pitch x generic,MARKED,-0.8056872147080149,-0.00850084641832355,-0.7971863682896912,0.0003999200159968006,255,243,,,,False,25,False,True,False,False
pair,mild x subst,MARKED,-1.386487227217843,-0.5940006551003477,-0.7924865721174953,0.3131373725254949,255,7,,,,True,94,False,False,True,False
pair,continues x speech,ALL,0.5928398342260377,-0.19193467836174316,0.7847745125877809,0.004799040191961607,255,146,,,,False,39,False,True,False,False
pair,continues x speech,MARKED,0.7222680852792757,-0.06028753907212213,0.7825556243513978,0.09058188362327535,255,39,,,,False,71,False,False,False,False
pair,punish x bare,ALL,-0.8384005822674773,-1.6000299044832276,0.7616293222157503,0.001999600079984003,255,46,,,,True,36,False,True,False,False
pair,generic x related,UNMARKED,0.3406036999069237,1.0875143680413661,-0.7469106681344424,0.28674265146970607,255,8,,,,True,90,False,False,True,False
pair,generic x subst,UNMARKED,-0.08109851589818583,0.6552147828088515,-0.7363132987070373,0.04059188162367527,255,34,,,,True,56,False,False,False,False
pair,subst x related,UNMARKED,0.930436942192343,1.6590299135820186,-0.7285929713896756,0.004999000199960008,255,0,,,,True,40,False,True,True,False
pair,continues x related,ALL,1.6326878449335986,2.346779782850447,-0.7140919379168482,0.7348530293941212,255,5,,,,True,120,False,False,True,False
pair,speech x related,ALL,2.1186904408747056,1.4059254089337732,0.7127650319409324,0.9510097980403919,255,0,,,,True,138,False,False,True,False
pair,diff_reg x related,ALL,-4.826225941286537,-4.131489215367671,-0.6947367259188653,0.30293941211757647,255,18,,,,True,91,False,False,False,False
pair,diff_reg x subst,ALL,-2.3672268414604063,-3.0484784436980594,0.6812516022376531,0.005398920215956809,255,0,,,,True,42,False,True,True,False
pair,speech x bare,MARKED,-0.5428042548143297,0.11609971444673495,-0.6589039692610646,0.06678664267146571,255,33,,,,True,63,False,False,False,False
pair,same_pitch x related,UNMARKED,3.198879041290984,3.8383407347174514,-0.6394616934264672,0.011797640471905619,255,0,,,,True,45,False,True,True,False
pair,speech x bare,ALL,-0.5852508474547162,0.043167607153147824,-0.628418454607864,0.0013997200559888023,255,94,,,,True,34,False,True,False,False
pair,punish x subst,ALL,-2.3347404116768495,-2.9627702257062785,0.6280298140294289,0.5178964207158568,255,2,,,,True,104,False,False,True,False
pair,same_pitch x generic,ALL,-0.9252527075251716,-0.3270088840103733,-0.5982438235147983,0.0001999600079984003,255,541,,,,False,7,True,True,False,True
