stratum,labeling,frm,to,fwd,rev,e_fwd,e_rev,reciprocal,p,bonferroni,frm_name,to_name
ALL,induced,grammatical_function,object_handling,384137,310534,43,40,True,0.8264047244491931,False,,
ALL,induced,grammatical_function,perception_cognition,262142,111734,41,39,True,0.9110721212260926,False,,
ALL,induced,object_handling,perception_cognition,196446,86602,39,39,True,1.0,False,,
ALL,induced,object_handling,nonverbal_expression,72454,29433,39,38,True,1.0,False,,
ALL,induced,nonverbal_expression,grammatical_function,35983,104439,39,39,True,1.0,False,,
ALL,induced,nonverbal_expression,perception_cognition,24439,26556,38,38,True,1.0,False,,
ALL,induced,object_handling,person_reference,46720,128359,39,38,True,1.0,False,,
ALL,induced,grammatical_function,person_reference,141393,199358,43,41,True,0.9132023622245976,False,,
ALL,induced,person_reference,perception_cognition,90693,19928,40,39,True,1.0,False,,
ALL,induced,contact_care,object_handling,22441,26492,39,39,True,1.0,False,,
ALL,induced,contact_care,grammatical_function,21384,28503,39,39,True,1.0,False,,
ALL,induced,contact_care,perception_cognition,14873,6048,38,38,True,1.0,False,,
ALL,induced,locomotion_posture,object_handling,229900,208053,39,39,True,1.0,False,,
ALL,induced,locomotion_posture,grammatical_function,237306,267809,40,40,True,1.0,False,,
ALL,induced,locomotion_posture,perception_cognition,140836,52494,39,38,True,1.0,False,,
ALL,induced,grammatical_function,entity_noun,11648,9068,40,39,True,1.0,False,,
ALL,induced,transfer_possession,speech_act,37593,38881,39,39,True,1.0,False,,
ALL,induced,transfer_possession,locomotion_posture,55962,68459,39,39,True,1.0,False,,
ALL,induced,bodily_violence,speech_act,34962,12787,39,38,True,1.0,False,,
ALL,induced,bodily_violence,locomotion_posture,37349,20664,39,39,True,1.0,False,,
ALL,induced,bodily_violence,transfer_possession,16101,8458,39,38,True,1.0,False,,
ALL,induced,object_handling,speech_act,121823,112907,39,39,True,1.0,False,,
ALL,induced,transfer_possession,object_handling,91377,93035,40,39,True,1.0,False,,
ALL,induced,perception_cognition,speech_act,36691,79580,39,39,True,1.0,False,,
ALL,induced,perception_cognition,transfer_possession,25629,53952,39,39,True,1.0,False,,
ALL,induced,grammatical_function,speech_act,197584,163509,40,39,True,1.0,False,,
ALL,induced,speech_act,person_reference,34555,73745,39,39,True,1.0,False,,
ALL,induced,transfer_possession,person_reference,21758,46172,39,38,True,1.0,False,,
ALL,induced,transfer_possession,grammatical_function,120989,153466,40,40,True,1.0,False,,
ALL,induced,contact_care,person_reference,4825,11076,38,37,True,1.0,False,,
ALL,induced,contact_care,speech_act,13348,8363,39,38,True,1.0,False,,
ALL,induced,locomotion_posture,person_reference,37362,93275,39,39,True,1.0,False,,
ALL,induced,locomotion_posture,speech_act,86075,75821,39,39,True,1.0,False,,
ALL,induced,procedural_operation,object_handling,20844,38031,40,39,True,1.0,False,,
ALL,induced,perception_cognition,procedural_operation,14639,17622,39,39,True,1.0,False,,
ALL,induced,transfer_possession,procedural_operation,22361,11676,39,39,True,1.0,False,,
ALL,induced,entity_noun,quality_manner,867,321,37,35,True,0.906294324703081,False,,
ALL,induced,object_handling,entity_noun,6315,5857,39,38,True,1.0,False,,
ALL,induced,bodily_violence,object_handling,53181,29566,39,39,True,1.0,False,,
ALL,induced,locomotion_posture,quality_manner,32622,5940,38,38,True,1.0,False,,
ALL,induced,property_damage,locomotion_posture,18546,17259,39,39,True,1.0,False,,
ALL,induced,property_damage,grammatical_function,29455,29276,39,39,True,1.0,False,,
ALL,induced,property_damage,quality_manner,2399,650,38,32,True,0.5504125118224712,False,,
ALL,induced,property_damage,perception_cognition,12860,5461,39,39,True,1.0,False,,
ALL,induced,property_damage,object_handling,28197,23227,39,38,True,1.0,False,,
ALL,induced,object_handling,quality_manner,47049,9772,38,38,True,1.0,False,,
ALL,induced,transfer_possession,quality_manner,13925,3281,38,38,True,1.0,False,,
ALL,induced,quality_manner,grammatical_function,16474,60000,39,38,True,1.0,False,,
