pair,g,m,ch,ar,fe,meta,superego,assistant,stage
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,0.0,-0.001471,-0.030882,0.0,0.098529,0.016176,-0.010784,0.038235,dpo
BSC-LT/salamandra-7b>BSC-LT/salamandra-7b-instruct,0.0103,-6.6e-05,0.03245,0.004431,-0.200753,0.06926,0.014228,-0.042354,dpo
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,0.027937,0.010279,-0.016376,0.0,0.010253,0.001468,0.00728,0.003907,dpo
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,0.067647,0.05,0.104412,0.0,-0.025,-0.001471,0.07402,-0.008824,dpo
HuggingFaceTB/SmolLM2-360M>HuggingFaceTB/SmolLM2-360M-Instruct,-0.008942,-0.013413,-0.013413,0.0,0.111773,0.041729,-0.011923,0.051167,dpo
HuggingFaceTB/SmolLM3-3B-Base>HuggingFaceTB/SmolLM3-3B,0.008666,-0.006031,0.027612,0.0,0.059535,0.048646,0.010082,0.036061,ppo
LLM360/Amber>LLM360/AmberSafe,0.165449,0.129277,0.214074,0.014196,-0.332823,0.039251,0.1696,-0.093125,dpo
OpenLLM-France/Lucie-7B>OpenLLM-France/Lucie-7B-Instruct-v1.1,0.008786,0.003136,0.014484,0.0,-0.219038,-0.143168,0.008802,-0.120735,dpo
Qwen/Qwen2.5-0.5B>Qwen/Qwen2.5-0.5B-Instruct,-0.003117,-0.003103,-0.007768,0.016864,0.179658,0.217014,-0.004663,0.137845,dpo
Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,-0.004878,-0.01304,0.006643,0.01964,0.17743,0.281749,-0.003758,0.159606,dpo
Qwen/Qwen3-8B-Base>Qwen/Qwen3-8B,-0.011076,-0.015686,-0.014437,0.077518,0.154363,0.345019,-0.013733,0.1923,dpo
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T>TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.022046,0.001358,0.004041,0.0,-0.034518,0.044313,0.009148,0.003265,dpo
allenai/OLMo-2-0425-1B>allenai/OLMo-2-0425-1B-DPO,0.01898,0.010231,0.076286,0.0,-0.139827,-0.023878,0.035166,-0.054568,dpo
allenai/OLMoE-1B-7B-0125>allenai/OLMoE-1B-7B-0125-DPO,0.026375,0.008724,0.030587,0.002941,-0.13319,-0.020888,0.021895,-0.050379,dpo
allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct-DPO,-0.013953,-0.015504,-0.031008,0.012403,0.167442,0.106977,-0.020155,0.095607,dpo
baichuan-inc/Baichuan2-7B-Base>baichuan-inc/Baichuan2-7B-Chat,0.003181,0.001579,0.07911,0.0,-0.032491,0.011327,0.027957,-0.007055,dpo
google/gemma-2-9b>google/gemma-2-9b-it,0.073025,0.016393,0.028316,0.008942,0.002981,0.087928,0.039245,0.033284,dpo
inceptionai/jais-family-6p7b>inceptionai/jais-family-6p7b-chat,0.008568,0.009993,0.023771,0.0,0.037947,0.011451,0.014111,0.016466,dpo
llm-jp/llm-jp-3-7.2b>llm-jp/llm-jp-3-7.2b-instruct3,0.065588,0.03725,0.091213,-0.001475,0.016863,0.040121,0.064684,0.018503,dpo
m-a-p/CT-LLM-Base>m-a-p/CT-LLM-SFT-DPO,0.050096,0.008765,0.069171,0.0,-0.194058,-0.015326,0.042677,-0.069795,dpo
m-a-p/neo_7b>m-a-p/neo_7b_instruct_v0.1,0.01311,0.02645,0.007053,0.010324,-0.027951,-0.009662,0.015538,-0.009096,dpo
meta-llama/Llama-3.1-8B>meta-llama/Llama-3.1-8B-Instruct,0.009443,0.001696,0.002387,0.001513,0.073383,0.095493,0.004508,0.056796,dpo
microsoft/phi-4>microsoft/phi-4-reasoning,-0.04399,-0.017342,-0.009134,0.034459,0.2412,0.240631,-0.023489,0.172097,?
openbmb/MiniCPM5-1B-Base>openbmb/MiniCPM5-1B,-0.005889,0.000131,-0.044174,0.007788,0.51197,0.421033,-0.016644,0.313597,dpo
stabilityai/stablelm-2-1_6b>stabilityai/stablelm-2-zephyr-1_6b,0.039595,0.016073,0.04948,-0.001515,-0.395129,0.052722,0.035049,-0.114641,dpo
tiiuae/Falcon3-10B-Base>tiiuae/Falcon3-10B-Instruct,0.002752,-0.004529,0.074498,0.005876,-0.01198,0.011713,0.02424,0.00187,dpo
tiiuae/Falcon3-1B-Base>tiiuae/Falcon3-1B-Instruct,-0.001586,0.008159,0.040791,0.027693,0.030262,0.146961,0.015788,0.068305,dpo
tiiuae/Falcon3-3B-Base>tiiuae/Falcon3-3B-Instruct,0.022026,0.028356,0.086727,0.077409,-0.098637,0.094365,0.045703,0.024379,dpo
tiiuae/Falcon3-7B-Base>tiiuae/Falcon3-7B-Instruct,0.020968,0.014981,0.056825,0.009077,-0.030709,0.005904,0.030925,-0.005242,dpo
tiiuae/Falcon3-Mamba-7B-Base>tiiuae/Falcon3-Mamba-7B-Instruct,-0.005956,-0.004551,0.033066,0.003096,-0.012169,0.015537,0.00752,0.002155,dpo
tiiuae/falcon-mamba-7b>tiiuae/falcon-mamba-7b-instruct,-0.008824,0.007353,-0.027941,0.0,0.029412,0.017647,-0.009804,0.015686,dpo
togethercomputer/RedPajama-INCITE-Base-7B-v0.1>togethercomputer/RedPajama-INCITE-7B-Chat,-0.001334,0.003032,0.038822,0.001477,0.142349,0.20537,0.013507,0.116399,dpo
