rung,labeling,category,delta,fam_pos,n_fam,p,bonferroni
base>sft,induced,bodily_violence,-0.021949704365435377,3,16,0.03310878797116011,False
base>sft,induced,contact_care,-0.0011643167807808472,5,16,0.5302468148939273,False
base>sft,induced,entity_noun,-0.0022961688802695004,3,16,0.1365078308776589,False
base>sft,induced,grammatical_function,-0.06470604187107543,5,16,0.0835277746796163,False
base>sft,induced,locomotion_posture,-0.006872590794523178,6,16,0.4694093226829371,False
base>sft,induced,nonverbal_expression,0.015739739135374027,12,16,0.003814847341435252,False
base>sft,induced,object_handling,-0.0003115997048543061,6,16,0.9839113054264575,False
base>sft,induced,perception_cognition,0.05088002865364883,15,16,1.8669113245364553e-05,True
base>sft,induced,person_reference,-0.015714775828880118,4,16,0.3117768449326785,False
base>sft,induced,procedural_operation,0.012953826592282485,14,16,0.0013302344393782517,True
base>sft,induced,process_event,0.002687103238700896,14,16,0.00042031245006978173,True
base>sft,induced,property_damage,-0.00236505069249354,7,16,0.36568483909261024,False
base>sft,induced,quality_manner,0.003677381386024157,11,16,0.6096477156633137,False
base>sft,induced,ritual_observance,0.0009248992559995296,11,16,0.36415273684868027,False
base>sft,induced,speech_act,0.016585286370869576,9,16,0.07461052989130122,False
base>sft,induced,transfer_possession,0.011931984285412789,11,16,0.032717496838888215,False
base>sft,wordnet,body,0.01583078052825609,13,16,0.0003411087476700966,True
base>sft,wordnet,change,0.01585633159162067,12,16,0.020940499192271877,False
base>sft,wordnet,cognition,0.01230839988857426,16,16,4.82361393753161e-07,True
base>sft,wordnet,communication,0.018907109238306203,9,16,0.05668058133612969,False
base>sft,wordnet,competition,-0.012551933799368309,4,16,0.21279220566488338,False
base>sft,wordnet,consumption,0.0006145468935401101,8,16,0.6590145245737444,False
base>sft,wordnet,contact,-0.026273203194420516,3,16,0.11411558727058915,False
base>sft,wordnet,creation,0.004401419999708371,12,16,0.006477658564340348,False
base>sft,wordnet,emotion,0.003317644279529372,14,16,0.5237148625072705,False
base>sft,wordnet,motion,-0.018130000606969385,4,16,0.0787151550243646,False
base>sft,wordnet,perception,0.024699740358755985,15,16,0.0003312410295697287,True
base>sft,wordnet,possession,0.012455038523662284,13,16,0.018895228524897414,False
base>sft,wordnet,social,0.023183847636093536,13,16,0.001632217256422721,True
base>sft,wordnet,stative,0.007679625767409186,10,16,0.1721664610422601,False
base>sft,wordnet,unassigned,-0.08236103285626303,5,16,0.022564888391114084,False
base>sft,wordnet,weather,6.168575156516643e-05,11,16,0.15989571483799844,False
base>sft,usas,A1.1.1,0.015751096795855624,16,16,1.213517028290413e-05,True
base>sft,usas,A1.1.2,0.0020231931431949363,10,16,0.026173669473115377,False
base>sft,usas,A1.2,-6.015075915127413e-05,3,16,0.1190680625034167,False
base>sft,usas,A1.2.4,8.568001340272794e-06,5,16,0.5587013354286756,False
base>sft,usas,A1.3,0.002184184372494577,14,16,0.00252704577364261,False
base>sft,usas,A1.4,0.0015485285569457855,14,16,0.00032451175165498287,False
base>sft,usas,A1.5.1,0.0007034181195422443,8,16,0.236073941388603,False
base>sft,usas,A1.5.2,2.2304700046393774e-06,1,16,0.3331701359154764,False
base>sft,usas,A1.6,-1.2559789807724992e-06,2,16,0.8515171198150794,False
base>sft,usas,A1.7,0.001999647567257236,13,16,0.07577884250666347,False
base>sft,usas,A1.8,0.0007508250904463583,12,16,0.007260147409786571,False
base>sft,usas,A1.9,0.0005942995493004369,15,16,0.00047070938277035657,False
base>sft,usas,A10,0.00793720734107032,11,16,0.021748636214065167,False
base>sft,usas,A11.1,-0.0005166135860151977,9,16,0.6655140743937502,False
base>sft,usas,A11.2,4.341302005633898e-05,8,16,0.4775408367238725,False
base>sft,usas,A12,-1.0369126442645811e-05,9,16,0.834640674317084,False
base>sft,usas,A13,-0.0022482250360768997,2,16,0.0003065591817640185,False
base>sft,usas,A13.2,6.371220069390732e-05,8,16,0.04565754521572284,False
base>sft,usas,A13.3,-0.0050356080490972155,3,16,0.10898578574770318,False
base>sft,usas,A13.4,-0.0005868507556981776,8,16,0.3181202909419743,False
base>sft,usas,A13.5,-1.7258732945321606e-05,6,16,0.4536397299930243,False
base>sft,usas,A13.6,3.49158572500445e-05,9,16,0.5910724811974615,False
base>sft,usas,A13.7,6.881941113204312e-05,12,16,0.0041195471605626815,False
base>sft,usas,A14,0.0009866121437077586,6,16,0.5262747857686214,False
base>sft,usas,A15,5.426484094093839e-05,11,16,0.037517452608088205,False
base>sft,usas,A2.1,-4.2262037009716414e-05,7,16,0.9691031092028186,False
base>sft,usas,A2.2,3.096190028494905e-05,11,16,0.9645504863508743,False
base>sft,usas,A3,0.004605980807855473,8,16,0.3468821111006782,False
base>sft,usas,A4.1,8.468897705904362e-05,13,16,0.007256811938168758,False
base>sft,usas,A4.2,3.092125478502008e-05,8,16,0.4428696420150199,False
base>sft,usas,A5.1,-0.0008902800097826303,5,16,0.1179587065771972,False
base>sft,usas,A5.2,0.0005997439784304697,11,16,0.055335996820369805,False
base>sft,usas,A5.3,0.00015912661361993543,12,16,0.39952121095438264,False
base>sft,usas,A5.4,0.0008771231538998755,12,16,0.007549241342512249,False
base>sft,usas,A6,6.269604353323427e-06,9,16,0.9009782319583837,False
base>sft,usas,A6.1,-0.0006975733410995858,9,16,0.28689997785315424,False
base>sft,usas,A6.2,0.00032988234957658413,13,16,0.015729627730785276,False
base>sft,usas,A6.3,6.636165088195856e-05,9,16,0.2168196597620977,False
base>sft,usas,A7,0.004979792056422592,13,16,0.017199107119418546,False
base>sft,usas,A8,0.002541786339745326,10,16,0.1501452181532828,False
base>sft,usas,A9,0.011459400796883342,12,16,0.025534273350326413,False
base>sft,usas,B1,-0.0008396541346652514,6,16,0.5465968927575114,False
base>sft,usas,B2,0.0006366646461582776,12,16,0.09229056691574934,False
base>sft,usas,B3,0.0001933001072873381,11,16,0.008331517144563977,False
base>sft,usas,B3c,-4.691734368347442e-06,1,16,0.2476711803955263,False
base>sft,usas,B4,0.0003773115074086357,11,16,0.16566375106742193,False
base>sft,usas,B5,-1.0983562470300614e-05,6,16,0.9759072475843927,False
base>sft,usas,C1,-0.00023769700746786838,10,16,0.452980556000349,False
base>sft,usas,E1,-0.0003577813574054815,6,16,0.085998943521,False
base>sft,usas,E2,-0.0064039554844204745,3,16,0.24411553348670545,False
base>sft,usas,E3,-0.0018437652446686033,7,16,0.4649622094894965,False
base>sft,usas,E4.1,0.0013288251343349846,10,16,0.3154390317073334,False
base>sft,usas,E4.2,5.053610365267972e-05,9,16,0.3977784720794443,False
base>sft,usas,E5,0.0005351981596618838,14,16,0.00012612779831303693,True
base>sft,usas,E6,0.00027058760904903546,14,16,0.009869453210197332,False
base>sft,usas,F1,-0.0012544024842600502,4,16,0.0757112306686657,False
base>sft,usas,F2,7.054728420089235e-05,6,16,0.7268149353173972,False
base>sft,usas,F3,-0.0015618546100226954,6,16,0.052655673687992975,False
base>sft,usas,F4,-8.607078438088611e-05,6,16,0.5580679250627525,False
base>sft,usas,G1.1,-3.650690807012905e-07,6,16,0.9863806035856605,False
base>sft,usas,G1.1c,3.786405851729201e-05,8,16,0.23248128087274286,False
base>sft,usas,G1.2,-2.5695722985551148e-05,6,16,0.4662496307363416,False
base>sft,usas,G2.1,-0.004812114543010325,6,16,0.2067513280962846,False
base>sft,usas,G2.2,0.0005432635132861445,16,16,0.0003970973622159513,False
base>sft,usas,G3,-0.0029946867275510184,5,16,0.2584837133013242,False
base>sft,usas,H1,-0.000204323126900661,7,16,0.12529089292261747,False
base>sft,usas,H2,8.570239724356076e-05,7,16,0.6416788700624848,False
base>sft,usas,H3,-1.6538906249135986e-05,5,16,0.46247940852697283,False
base>sft,usas,H4,-0.00018938020696526758,6,16,0.5415885703832661,False
base>sft,usas,H5,0.00013149254972715419,10,16,0.08877103478914568,False
base>sft,usas,I1,-0.002712747910797661,8,16,0.3305416057009215,False
base>sft,usas,I1.1,0.00015874392198066863,10,16,0.3884790488638412,False
base>sft,usas,I1.2,-0.0014658292886900522,4,16,0.044395080892709965,False
base>sft,usas,I1.3,-0.0001373717590165697,4,16,0.29361842174539904,False
base>sft,usas,I2.1,5.7730991528393575e-05,9,16,0.11001443593350282,False
base>sft,usas,I2.2,-0.0013491127366466625,3,16,0.04840136541740611,False
base>sft,usas,I3.1,-0.0007976175202000839,4,16,0.22505342099204284,False
base>sft,usas,I3.2,5.8481057990981115e-05,10,16,0.015358753028787274,False
base>sft,usas,I4,-6.276959421603408e-06,4,16,0.693789387884566,False
base>sft,usas,K1,0.0008062776917619867,13,16,0.010244946075392015,False
base>sft,usas,K2,0.0003389952235733614,9,16,0.05743684356403605,False
base>sft,usas,K3,3.738386610176895e-05,8,16,0.2871028896674775,False
base>sft,usas,K4,5.675567384853504e-05,8,16,0.3819500739601283,False
base>sft,usas,K5,5.496906714161694e-06,2,16,0.17180506821034877,False
base>sft,usas,K5.1,5.735463800233779e-05,10,16,0.5413516449097561,False
base>sft,usas,K5.2,3.9288752531472996e-05,8,16,0.10628996007421322,False
base>sft,usas,K6,5.995875882569808e-06,3,16,0.08790317966066269,False
base>sft,usas,L1,-0.002640531256602737,3,16,0.014485548269416573,False
base>sft,usas,L2,2.0890592019495084e-05,12,16,0.713428154658394,False
base>sft,usas,L2fn,-4.235847631865122e-05,0,16,0.0006737182555737398,False
base>sft,usas,L2mf,-5.89909501761879e-06,0,16,0.09255600577834953,False
base>sft,usas,L2mfn,3.6296204307674632e-06,7,16,0.9149986909006497,False
base>sft,usas,L2mfnc,1.948299662797054e-07,6,16,0.989541155255597,False
base>sft,usas,L3,-6.437386086194092e-06,7,16,0.9132507660087511,False
base>sft,usas,M1,0.0007624272251314603,8,16,0.8926251115000161,False
base>sft,usas,M2,-0.027139597928164835,3,16,0.02220327806617002,False
base>sft,usas,M3,-0.0005906104890646301,5,16,0.3776689118310805,False
base>sft,usas,M3fn,-1.851142929285633e-05,7,16,0.5383620913356242,False
base>sft,usas,M4,0.00024796102422432366,11,16,0.085390398086701,False
base>sft,usas,M4fn,2.800744059419376e-06,3,16,0.5454572610239188,False
base>sft,usas,M5,-0.0001997280795725195,4,16,0.08308829979625378,False
base>sft,usas,M6,-0.009706129806687811,8,16,0.2671911014135298,False
base>sft,usas,M7,0.00013641802632373434,12,16,0.08165516387092213,False
base>sft,usas,M8,-0.0014429162076690463,8,16,0.45722258237006375,False
base>sft,usas,N1,-0.0036377483395331088,2,16,0.11468370905667769,False
base>sft,usas,N2,4.4473368405668364e-05,6,16,0.3193204391549773,False
