k,region,n_types,delta,fam_pos,n_fam,p,open_share,median_rank,top,bonferroni
10,0,395,0.046010911554109024,14,16,0.000573649611992228,0.9974683544303797,8461.0,died|talked|smiled|remained|presented|determined|suggested|laughed,True
10,1,118,-0.015031424231857044,4,16,0.11444547389769101,0.0,60000.0,1|10|100|105|11|110|12|120,False
10,2,284,0.016886994912255506,13,16,0.13743491342311195,1.0,1851.0,know|think|get|see|say|make|take|find,False
10,3,226,-0.04670804978960601,5,16,0.08050194480138426,0.4336283185840708,141.5,the|and|of|a|in|to|i|it,False
10,4,109,0.006203042953222932,14,16,0.0005173522862028044,1.0,5600.0,joining|ultimately|barely|unfortunately|raising|pushing|strongly|occasionally,True
10,5,199,0.016771227158669515,7,16,0.42780634215338376,0.964824120603015,1366.0,had|said|been|did|going|came|got|went,False
10,6,23,-0.010606308675974821,9,16,0.25676662591118204,0.0,60000.0,can't|couldn't|didn't|don't|hadn't|hasn't|haven't|he'd,False
10,7,259,0.016519118737251138,12,16,0.029576926880584952,1.0,13466.0,named|nodded|dropped|occurred|stepped|glanced|grabbed|laid,False
10,8,261,-0.004856134840486862,8,16,0.4304991186876776,0.9616858237547893,5958.0,thus|onto|trees|lose|remains|grew|legs|forest,False
10,9,394,-0.025189377777583382,3,16,0.001639024354469357,0.9517766497461929,1867.0,time|back|go|down|man|state|house|family,True
20,0,96,0.02316749970220939,12,16,0.010747935727028073,1.0,1870.0,called|asked|found|used|started|ready|needed|considered,False
20,1,135,-0.0038056427228257265,11,16,0.6215164041973399,0.9777777777777777,7781.0,forest|neck|chest|thick|shook|ancient|neither|forth,False
20,2,127,0.017562150683048228,13,16,0.002928062481979313,0.968503937007874,7569.0,died|smiled|presented|determined|stared|charged|indicated|refused,False
20,3,154,0.02252836057640125,15,16,6.187965906023951e-05,1.0,2743.0,ask|thank|understand|become|remember|provide|include|continue,True
20,4,212,0.013699369609538634,13,16,0.019745806519545366,1.0,13947.0,named|dropped|occurred|glanced|grabbed|buried|accused|referred,False
20,5,49,0.005309913719015763,14,16,0.0002709617823968683,1.0,6607.0,ultimately|barely|unfortunately|strongly|occasionally|quietly|roughly|gently,True
20,6,272,0.02685157006052489,14,16,0.0009616637743139153,0.9963235294117647,8709.0,talked|remained|suggested|laughed|conducted|pointed|joined|wondered,True
20,7,57,-0.014793661507881199,3,16,0.129461968617269,0.0,60000.0,1|10|100|11|110|12|120|125,False
20,8,61,-0.020071183870887993,2,16,0.0026055938737953033,0.5081967213114754,848.0,a|i|at|be|do|an|up|so,False
