stratum,labeling,frm,to,fwd,rev,e_fwd,e_rev,reciprocal,p,bonferroni,E,p_edge
ALL,TOKEN,a,closed,449,126,34,27,True,1.814005184133343e-43,True,61,0.4426260049464714
ALL,TOKEN,a,couldn't,406,42,23,15,True,6.777128737642545e-76,True,38,0.2558750795433298
ALL,TOKEN,a,felt,1638,187,34,23,True,2.4339773413970297e-289,True,57,0.18485048241641844
ALL,TOKEN,a,gazed,378,50,32,7,True,2.0730477593683945e-63,True,39,7.025478407740593e-05
ALL,TOKEN,a,heard,364,86,29,19,True,9.349205415425184e-42,True,48,0.19341265286193737
ALL,TOKEN,a,let,1259,402,35,35,True,1.0431423561012713e-102,True,70,1.0
ALL,TOKEN,a,listened,290,42,29,16,True,9.776103435686684e-47,True,45,0.07245426016254441
ALL,TOKEN,a,stared,1116,193,33,23,True,3.9427987047157654e-158,True,56,0.2288055412343561
ALL,TOKEN,a,the,1971,315,37,33,True,4.559431609081672e-292,True,70,0.7202027723528612
ALL,TOKEN,a,thought,552,85,32,24,True,9.330701160052141e-85,True,56,0.34968195298368476
ALL,TOKEN,a,watched,1827,239,36,26,True,1.9857707923991865e-302,True,62,0.25285439418811073
ALL,TOKEN,closed,began,503,370,37,27,True,7.617002956475611e-06,False,64,0.26043547657665356
ALL,TOKEN,began,felt,808,495,33,32,True,3.788544665567813e-18,True,65,1.0
ALL,TOKEN,began,gazed,219,149,30,22,True,0.0003100895915848,False,52,0.3317497633694906
ALL,TOKEN,heard,began,229,211,29,27,True,0.4177160473733975,False,56,0.8938530948350216
ALL,TOKEN,began,let,824,786,34,36,True,0.356468244333405,False,70,0.9049745264594622
ALL,TOKEN,listened,began,227,163,33,28,True,0.0013913309329376,False,61,0.6089207154048286
ALL,TOKEN,stared,began,685,458,36,27,True,1.9955310622542512e-11,True,63,0.31350305329645284
ALL,TOKEN,the,began,3540,985,36,37,True,0.0,True,73,1.0
ALL,TOKEN,began,thought,264,219,28,31,True,0.0451653876882764,False,59,0.794843653982861
ALL,TOKEN,watched,began,971,964,35,32,True,0.8915105291781411,False,67,0.8071946913670247
