scene,base,faller,riser,runner_up,n_risers,cos_true,cos_all,cos_argmax,cos_static,int_faller,int_true,int_all,int_argmax,int_static,n_static_coded
She slowly took off her ___,Yi-1.5-9B,top,shoes,glasses,9,0.6639032363891602,0.6362518072128296,0.6586170196533203,0.6378810405731201,43.0,12.0,17.0,6.5,33.217948717948715,39.0
She slowly took off her ___,SmolLM2-360M,clothes,gloves,sunglasses,11,0.6860215067863464,0.6699842214584351,0.7044456005096436,0.6790907382965088,74.0,11.0,20.857142857142858,,18.462962962962962,27.0
She slowly took off her ___,SmolLM3-3B-Base,clothes,coat,gloves,12,0.6954323649406433,0.6758247017860413,0.6860215067863464,0.6869428753852844,74.0,13.0,18.38888888888889,11.0,26.4375,32.0
She slowly took off her ___,Amber,shirt,glasses,shoes,17,0.6696109771728516,0.6578707695007324,0.7219442129135132,0.6352816820144653,47.5,6.5,13.285714285714286,12.0,28.90909090909091,11.0
She slowly took off her ___,Qwen2.5-0.5B,boots,wet,shoe,3,0.6223705410957336,0.7604632377624512,0.7790530920028687,0.7088493704795837,,,,,,
She slowly took off her ___,Qwen3-8B-Base,shirt,gloves,scarf,7,0.6616801023483276,0.6524443030357361,0.6660129427909851,0.6529709100723267,47.5,11.0,41.5,13.5,25.772727272727273,33.0
She slowly took off her ___,rwkv-4-7b-pile,boots,clothes,shirt,6,0.7166910171508789,0.7366664409637451,0.6915912628173828,0.7040919661521912,14.5,74.0,31.1,47.5,28.630434782608695,46.0
She slowly took off her ___,TinyLlama-1.1B-intermediate-step-1431k-3T,shawl,shoes,coat,9,0.623058021068573,0.6410077810287476,0.695127010345459,0.6196335554122925,15.0,12.0,23.357142857142858,13.0,30.91860465116279,43.0
She slowly took off her ___,OLMo-2-0425-1B,clothes,helmet,boots,17,0.6605575680732727,0.6940165758132935,0.7166910171508789,0.6838163733482361,74.0,7.5,12.88888888888889,14.5,23.982142857142858,28.0
She slowly took off her ___,OLMoE-1B-7B-0125,shirt,gloves,glasses,13,0.6616801023483276,0.6605625748634338,0.6696109771728516,0.6537609696388245,47.5,11.0,9.5,6.5,29.225806451612904,31.0
She slowly took off her ___,Olmo-3-1025-7B,shoes,shirt,red,13,0.7219442129135132,0.6701536774635315,0.6504794359207153,0.6695711612701416,12.0,47.5,55.0,,32.854166666666664,24.0
She slowly took off her ___,Olmo-3-1125-32B,robe,clothes,outer,15,0.7162355184555054,0.6234285235404968,0.5490474700927734,0.6231141090393066,48.0,74.0,24.61111111111111,,29.71153846153846,26.0
She slowly took off her ___,Olmo-Hybrid-7B,clothes,glasses,gloves,10,0.6972553133964539,0.6605305671691895,0.6860215067863464,0.6773887276649475,74.0,6.5,11.6875,11.0,20.016666666666666,30.0
She slowly took off her ___,bloom-7b1,shoes,top,shirt,7,0.6639032363891602,0.7145037651062012,0.7219442129135132,0.6589613556861877,12.0,43.0,56.166666666666664,47.5,40.55172413793103,29.0
She slowly took off her ___,deepseek-llm-7b-base,skirt,clothes,boots,5,0.7340183258056641,0.6741865277290344,0.6794384121894836,0.65423583984375,53.5,74.0,11.25,14.5,27.136363636363637,55.0
She slowly took off her ___,llama-7b,sunglasses,shoes,glasses,4,0.6980197429656982,0.8239341378211975,0.8962165117263794,0.6858776211738586,,,,,,
She slowly took off her ___,CT-LLM-Base,dress,shirt,pants,7,0.705800473690033,0.6325330138206482,0.6420053839683533,0.639122724533081,56.5,47.5,65.75,57.5,34.529411764705884,17.0
She slowly took off her ___,neo_7b,sweater,glasses,hat,5,0.8125901222229004,0.7116024494171143,0.6452979445457458,0.7052223682403564,28.0,6.5,28.333333333333332,9.0,22.433333333333334,30.0
She slowly took off her ___,Llama-3.1-8B,clothes,shoes,gloves,9,0.8100616335868835,0.6755311489105225,0.6860215067863464,0.6772691607475281,74.0,12.0,10.5,11.0,20.116666666666667,30.0
She slowly took off her ___,phi-4,wedding,hat,wig,5,0.5993357300758362,0.593012273311615,0.6354013681411743,0.6274338960647583,,,,,,
She slowly took off her ___,Mistral-7B-v0.1,top,coat,mask,10,0.6926560997962952,0.6411868929862976,0.6022791862487793,0.629855751991272,43.0,13.0,32.375,28.5,28.930555555555557,36.0
She slowly took off her ___,MiniCPM5-1B-Base,glasses,coat,gown,15,0.7527402639389038,0.7161139845848083,0.5988247990608215,0.6787357926368713,6.5,13.0,37.214285714285715,50.0,27.333333333333332,15.0
She slowly took off her ___,stablelm-2-1_6b,panties,shoes,high,12,0.653200626373291,0.6629064083099365,0.6376314759254456,0.6254651546478271,98.0,12.0,18.055555555555557,,40.28,25.0
She slowly took off her ___,Falcon-H1-1.5B-Base,clothes,glasses,boots,9,0.6972553133964539,0.694063127040863,0.7166910171508789,0.6701179146766663,74.0,6.5,15.75,14.5,28.954545454545453,33.0
She slowly took off her ___,Falcon-H1-7B-Base,sweater,bra,blouse,15,0.6644874811172485,0.7061120867729187,0.8125633001327515,0.699456512928009,28.0,93.5,27.666666666666668,45.0,32.714285714285715,35.0
She slowly took off her ___,Falcon3-10B-Base,pants,gloves,glove,6,0.7515434622764587,0.6951198577880859,0.7266504168510437,0.6706798076629639,57.5,11.0,25.1,11.0,28.25531914893617,47.0
She slowly took off her ___,Falcon3-1B-Base,seat,clothes,glasses,4,0.62869793176651,0.6751179695129395,0.7123690247535706,0.6369230151176453,,,,,,
She slowly took off her ___,Falcon3-3B-Base,coat,shoes,socks,6,0.6574183106422424,0.7180511355400085,0.6912219524383545,0.6966816782951355,13.0,12.0,30.375,19.0,25.364864864864863,37.0
She slowly took off her ___,Falcon3-7B-Base,wig,gloves,earrings,8,0.6392391324043274,0.5942906141281128,0.6209691762924194,0.6053624749183655,25.0,11.0,32.0,8.0,28.03846153846154,39.0
She slowly took off her ___,Falcon3-Mamba-7B-Base,clothes,shoe,boot,19,0.6497319340705872,0.6880882382392883,0.6610144376754761,0.6877944469451904,74.0,12.0,18.125,,33.935483870967744,31.0
She slowly took off her ___,falcon-mamba-7b,gown,clothes,shirt,6,0.5821928977966309,0.5619343519210815,0.5853009819984436,0.5759761333465576,50.0,74.0,60.1,47.5,29.193181818181817,44.0
She slowly took off her ___,RedPajama-INCITE-Base-7B-v0.1,coat,armor,outer,10,0.6312800645828247,0.7078590989112854,0.6677660942077637,0.6813633441925049,13.0,13.0,18.6,,33.57142857142857,7.0
She slowly took off her ___,glm-4-9b-hf,sweater,shoes,socks,7,0.678101658821106,0.7498970031738281,0.6987672448158264,0.7001155614852905,28.0,12.0,12.25,19.0,38.26470588235294,34.0
He slowly took off his ___,Yi-1.5-9B,sunglasses,shoes,jacket,8,0.6980197429656982,0.7394784092903137,0.6198631525039673,0.6941120624542236,,,,,,
He slowly took off his ___,SmolLM2-360M,glasses,fedora,top,11,0.6258825659751892,0.6863909959793091,0.6586170196533203,0.6959211230278015,6.5,9.0,17.4375,43.0,20.675,20.0
He slowly took off his ___,SmolLM3-3B-Base,pants,coat,gloves,8,0.7889801859855652,0.7034603953361511,0.7515434622764587,0.6685132384300232,57.5,13.0,13.833333333333334,11.0,23.64516129032258,31.0
He slowly took off his ___,Amber,pants,boots,glasses,17,0.8345127105712891,0.6822569370269775,0.7613475918769836,0.6455944776535034,57.5,14.5,11.642857142857142,6.5,26.5,13.0
He slowly took off his ___,Qwen2.5-0.5B,boots,coat,jacket,3,0.8169020414352417,0.6278324127197266,0.6332942247390747,0.7074357271194458,14.5,13.0,15.0,15.0,24.90740740740741,27.0
He slowly took off his ___,Qwen2.5-7B,hands,jacket,shirt,4,0.5344313383102417,0.6488723754882812,0.652140200138092,0.6378787159919739,,,,,,
He slowly took off his ___,Qwen3-8B-Base,shoes,glasses,gloves,10,0.7153235077857971,0.6401990056037903,0.6826034188270569,0.6614461541175842,12.0,6.5,14.625,11.0,28.06,25.0
He slowly took off his ___,rwkv-4-7b-pile,boots,cloak,mask,6,0.7789839506149292,0.7143257260322571,0.6564426422119141,0.7040005922317505,14.5,16.5,40.9,28.5,19.83823529411765,34.0
He slowly took off his ___,TinyLlama-1.1B-intermediate-step-1431k-3T,trousers,jacket,coat,9,0.5919098854064941,0.6926594972610474,0.7324852347373962,0.6583304405212402,53.0,15.0,15.857142857142858,13.0,25.66176470588235,34.0
He slowly took off his ___,OLMo-2-0425-1B,clothes,helmet,boots,11,0.6605575680732727,0.6809170842170715,0.7166910171508789,0.6826658844947815,74.0,7.5,15.3,14.5,20.379310344827587,29.0
He slowly took off his ___,OLMoE-1B-7B-0125,hat,glasses,gloves,18,0.6354923248291016,0.62021404504776,0.6124202013015747,0.6185341477394104,9.0,6.5,18.1875,11.0,26.035714285714285,28.0
He slowly took off his ___,Olmo-3-1025-7B,shoes,shirt,tattered,2,0.7219442129135132,0.6410067677497864,0.6410067677497864,0.6693398356437683,12.0,47.5,,,32.1,10.0
He slowly took off his ___,Olmo-3-1125-32B,jacket,shirt,clothes,6,0.5894444584846497,0.5848128199577332,0.6013579368591309,0.5831896662712097,15.0,47.5,37.875,74.0,19.94736842105263,19.0
He slowly took off his ___,Olmo-Hybrid-7B,clothes,glasses,gloves,8,0.6972553133964539,0.6668573617935181,0.6860215067863464,0.6804214715957642,74.0,6.5,10.416666666666666,11.0,19.462962962962962,27.0
He slowly took off his ___,bloom-7b1,coat,clothes,jeans,9,0.6954323649406433,0.6811653971672058,0.6131616830825806,0.6816633939743042,13.0,74.0,52.416666666666664,56.5,28.196428571428573,28.0
He slowly took off his ___,deepseek-llm-7b-base,t,clothes,gloves,6,0.6867817640304565,0.6749817132949829,0.6663200855255127,0.6534122824668884,,,,,,
He slowly took off his ___,llama-7b,pants,glasses,shoes,5,0.7613475918769836,0.6954147815704346,0.6632720232009888,0.6570104360580444,57.5,6.5,12.5,12.0,18.225,20.0
He slowly took off his ___,CT-LLM-Base,coat,shirt,pants,5,0.6884547472000122,0.7606731653213501,0.7889801859855652,0.6920827627182007,13.0,47.5,31.875,57.5,32.38235294117647,17.0
He slowly took off his ___,neo_7b,coat,hat,glasses,5,0.6937975287437439,0.7558480501174927,0.7527402639389038,0.6926035284996033,13.0,9.0,6.166666666666667,6.5,22.61904761904762,21.0
He slowly took off his ___,Llama-3.1-8B,clothes,shoes,gloves,6,0.8100616335868835,0.672902524471283,0.6860215067863464,0.6832239031791687,74.0,12.0,10.833333333333334,11.0,20.258064516129032,31.0
He slowly took off his ___,phi-4,spectacles,hat,cap,5,0.6332666873931885,0.6345708966255188,0.622575044631958,0.6961421966552734,6.5,9.0,18.333333333333332,9.0,23.15,30.0
