family,rung,n_sites,own,cross,gap
amber,base>sft,2111,0.3069172718622627,0.32235164768827973,-0.015434375826017033
amber,sft>pref,2051,0.3040928655008407,0.321604984975454,-0.017512119474613286
beaver,base>sft,2022,0.30559848762613845,0.3211889433813614,-0.015590455755222943
beaver,sft>pref,1278,0.3035096365707768,0.3176671920784389,-0.014157555507662123
ct-llm,base>sft,2056,0.3083867790242693,0.322460056771796,-0.014073277747526702
map-neo,base>sft,2086,0.3056928449714858,0.32127179668310846,-0.015578951711622657
map-neo,sft>pref,666,0.3120075376765864,0.3252704008831992,-0.013262863206612796
minicpm,base>sft,2156,0.30700659290896054,0.3225405075360981,-0.015533914627137546
olmo,base>sft,2124,0.3078345216235423,0.3226060063741301,-0.014771484750587816
olmo,sft>pref,1080,0.3147843023417173,0.32649836126301024,-0.011714058921292958
olmo-32b,base>sft,2097,0.30852298263032263,0.3230982373797672,-0.014575254749444544
olmo-32b,sft>pref,609,0.31738078856017987,0.327732932782917,-0.010352144222737114
olmo-hybrid,base>sft,2062,0.3065060722550412,0.3216032186228598,-0.015097146367818615
olmo-tiny,base>sft,2129,0.30800345419661546,0.32308710478123726,-0.0150836505846218
olmo-tiny,sft>pref,1444,0.31972372103637275,0.32747591369452567,-0.007752192658152912
olmoe,base>sft,2026,0.3083963081873181,0.3220390123770244,-0.013642704189706312
olmoe,sft>pref,1192,0.315255380191859,0.3262945386587373,-0.011039158466878307
redpajama,base>sft,1319,0.30967873091992326,0.32250445520814575,-0.012825724288222484
redpajama,sft>pref,1856,0.30432241851592373,0.32021235697099876,-0.015889938455075026
stablelm,base>sft,2086,0.30656895597223355,0.32276969755198787,-0.01620074157975432
stablelm,sft>pref,1865,0.30452448240713526,0.3200459771916949,-0.015521494784559664
tulu,base>sft,1766,0.30959116918111845,0.3235850097318333,-0.013993840550714842
tulu,sft>pref,1708,0.31792703844973297,0.32591439071667555,-0.007987352266942582
zephyr,base>sft,1733,0.3085460462239321,0.322382411917922,-0.013836365693989883
zephyr,sft>pref,850,0.31029563777586994,0.32409428531632706,-0.01379864754045712
