frm,to,fwd,rev,e_fwd,e_rev,p,bonf
it,whispered,1747,62,37,18,0.0,True
told,felt,2039,204,36,25,0.0,True
he,made,3277,668,37,29,0.0,True
told,whispered,2218,50,36,13,0.0,True
put,grinned,1136,14,28,9,0.0,True
kissed,whispered,1359,26,36,9,0.0,True
put,began,3536,496,37,30,0.0,True
he,watched,2671,339,36,32,0.0,True
she,whispered,2013,73,37,15,0.0,True
he,the,3021,594,38,34,0.0,True
he,stared,2478,233,33,19,0.0,True
he,felt,2753,270,36,28,0.0,True
was,grinned,1327,22,30,14,0.0,True
put,sighed,1677,78,35,14,0.0,True
he,shouted,2034,215,36,22,0.0,True
put,stared,2124,219,35,17,0.0,True
put,watched,2176,257,36,31,0.0,True
say,consider,1254,30,38,13,0.0,True
was,began,3092,583,37,33,0.0,True
went,felt,1689,102,37,22,0.0,True
have,consider,1666,115,38,29,0.0,True
ran,whispered,1478,71,34,9,0.0,True
waited,whispered,1069,33,36,8,0.0,True
a,now,1990,139,37,27,0.0,True
pushed,whispered,1519,49,36,11,0.0,True
put,felt,1942,161,35,21,0.0,True
he,grinned,1404,44,29,10,0.0,True
was,stared,2098,218,36,25,0.0,True
his,whispered,1657,51,37,12,0.0,True
a,whispered,1666,69,35,11,0.0,True
know,consider,1159,30,37,14,0.0,True
he,whispered,3546,86,38,18,0.0,True
was,leaned,1644,116,36,23,0.0,True
put,whispered,2993,45,36,9,0.0,True
i,whispered,1098,38,32,13,0.0,True
told,then,2665,376,38,32,0.0,True
was,stepped,1862,154,35,25,0.0,True
they,whispered,1622,39,37,12,0.0,True
the,whispered,2965,112,36,20,0.0,True
then,whispered,2219,199,36,19,0.0,True
go,consider,1125,27,36,14,0.0,True
he,smiled,2147,296,35,28,0.0,True
he,found,2137,286,36,28,0.0,True
the,sighed,2078,264,33,22,0.0,True
he,then,3182,542,38,36,0.0,True
he,sighed,1988,105,34,15,0.0,True
told,made,2226,276,37,29,0.0,True
he,began,4277,586,38,37,0.0,True
was,sighed,1781,102,33,19,0.0,True
was,whispered,3090,69,37,14,0.0,True
the,began,3540,985,37,36,0.0,True
put,then,2619,491,37,33,0.0,True
we,the,1579,120,38,23,0.0,True
went,whispered,1645,25,36,11,0.0,True
went,sighed,1233,30,33,13,0.0,True
turned,whispered,1328,45,36,11,0.0,True
told,began,2423,383,38,30,0.0,True
he,stepped,2022,114,35,16,0.0,True
told,now,1616,133,38,25,5e-324,True
put,stepped,1667,150,34,23,1e-323,True
put,leaned,1556,119,34,21,1.43526e-319,True
he,leaned,1658,154,34,17,1.723716e-318,True
would,the,1583,132,38,25,5.0004782e-316,True
took,whispered,1475,98,36,13,5.96279626e-316,True
went,stepped,1470,99,33,22,1.09675933164e-313,True
he,looked,2533,525,36,30,1.2881580666e-313,True
got,whispered,1257,41,35,15,2.636611776e-313,True
the,grinned,1385,75,29,14,8.19148340845e-313,True
he,now,1742,192,36,24,2.23119096731e-312,True
he,held,2115,344,37,31,6.0006250834219e-310,True
a,then,2413,479,38,35,8.16919295198652e-309,True
when,now,1326,65,34,17,2.1396508171266078e-306,True
a,began,2177,378,37,33,4.709880425651857e-306,True
in,the,1762,209,36,33,8.81108752517992e-306,True
put,carefully,1452,103,36,17,3.04307923786188e-305,True
a,watched,1827,239,36,26,1.9857707923991865e-302,True
tried,whispered,1241,47,35,12,9.452528320883859e-302,True
went,watched,1732,207,36,30,1.475369964113253e-299,True
was,carefully,1317,70,34,19,7.83280662111254e-299,True
asked,whispered,1324,72,33,14,8.376262769245858e-299,True
told,sighed,1370,86,36,15,3.671501193556665e-298,True
be,consider,1219,46,38,15,1.29028695960393e-296,True
the,stared,2231,421,33,29,2.38824710740372e-296,True
when,then,1403,99,36,21,1.8693026885267088e-295,True
he,carefully,1252,57,32,13,6.215591165222037e-294,True
a,the,1971,315,37,33,4.559431609081672e-292,True
put,found,1793,243,37,27,1.5938139172081783e-291,True
went,then,2193,415,35,31,9.500199596954771e-291,True
was,watched,2239,438,36,34,8.609017428232803e-290,True
put,smiled,1652,192,34,27,1.79864210094261e-289,True
a,felt,1638,187,34,23,2.4339773413970297e-289,True
told,found,1656,197,37,34,4.2137256748696956e-287,True
the,carefully,1392,107,32,20,1.3504349758067721e-285,True
went,began,1979,332,35,31,1.3547716559072396e-284,True
threw,began,1853,279,38,29,1.8275546891646817e-284,True
gave,whispered,1319,86,34,15,3.5120147418475375e-284,True
not,consider,1247,66,37,21,2.6316419872605406e-283,True
was,felt,1575,173,32,28,5.235059503234926e-283,True
started,whispered,1309,85,33,15,2.3521251759028057e-282,True
put,made,2225,454,36,27,4.781202470768512e-279,True
never,consider,949,3,38,2,7.55502867961696e-279,True
threw,whispered,1203,59,36,8,4.419057518986839e-278,True
he,let,2214,453,37,29,4.307036487478002e-277,True
when,the,1491,152,38,24,1.920098899886454e-276,True
was,smiled,1879,311,36,29,1.3402652505810578e-272,True
just,consider,1185,60,38,20,5.054611730046051e-272,True
a,made,2033,385,37,31,1.581078816164436e-269,True
the,stepped,1674,232,34,28,4.009972545800475e-269,True
it,sighed,1408,136,33,21,9.688342904038164e-267,True
put,pulled,1924,342,34,33,1.5585587833505415e-266,True
put,glanced,1283,95,33,14,1.9458246886139194e-266,True
put,held,1749,268,35,25,6.692920710403556e-266,True
i,the,1975,369,38,33,2.156696462109028e-264,True
went,made,1857,320,37,29,1.2870464326916475e-262,True
said,whispered,1193,72,34,18,1.563366862911647e-262,True
placed,whispered,1184,71,36,10,5.4041238972098e-261,True
he,muttered,980,20,30,7,6.468270526489397e-260,True
he,noticed,1235,89,36,14,1.2188363790462772e-258,True
her,whispered,1130,60,36,12,1.1340083230259254e-256,True
he,walked,2201,492,36,34,1.2840984917140845e-256,True
she,felt,1634,238,35,28,9.130703016943007e-256,True
lifted,whispered,979,23,38,10,1.5005594464111786e-255,True
put,let,1976,388,37,33,2.932057080526052e-255,True
get,consider,1049,40,38,20,5.633645871416712e-255,True
went,carefully,1043,39,35,10,2.124978806431918e-254,True
he,pressed,1410,154,36,21,3.791559196121541e-254,True
put,looked,2136,467,36,31,1.0376917879283155e-253,True
told,watched,1794,310,37,26,2.597491848042894e-253,True
was,pressed,1339,131,34,23,1.6927238581204553e-252,True
when,whispered,940,17,35,10,1.9301530281868925e-252,True
threw,then,1790,310,37,26,2.1966903491921416e-252,True
when,watched,1295,117,36,21,1.1817112623661737e-251,True
stop,consider,923,15,37,7,2.2891255911282743e-250,True
was,then,2578,702,37,35,8.723862384829526e-250,True
was,glanced,1278,114,35,21,1.6244425290873097e-249,True
in,now,1050,46,36,18,1.1651114423964387e-248,True
he,laughed,1490,194,34,25,1.5466624128080415e-247,True
in,whispered,931,20,34,6,1.3213976248023909e-245,True
have,seek,970,29,36,7,2.8046300586510602e-245,True
went,grinned,891,13,27,10,5.950391734483488e-244,True
have,contact,1173,87,37,28,1.333681165875882e-243,True
in,then,1294,128,37,24,5.086619145976017e-243,True
was,muttered,924,21,31,11,3.2821216346326e-242,True
walked,whispered,1061,56,37,13,2.0146781199867396e-241,True
he,left,2247,555,38,34,7.68489961053982e-240,True
he,started,2299,582,38,36,1.01964877410897e-239,True
looked,whispered,1040,52,36,12,1.3918254584387865e-239,True
when,felt,1122,77,33,15,1.6630899030276585e-238,True
she,sighed,1185,97,34,18,1.9106123487260028e-238,True
if,the,1103,72,36,14,8.152239402797512e-238,True
was,held,1906,395,35,31,1.8844233886189786e-236,True
go,address,862,13,34,11,2.085893825828087e-235,True
went,smiled,1378,171,34,23,1.7159119736084643e-234,True
held,whispered,1235,119,37,17,2.2183605222854017e-234,True
put,took,2021,456,37,30,6.214078315437638e-234,True
when,it,1446,200,35,25,6.063013570594656e-233,True
he,continued,1455,204,35,24,1.0644154822985508e-232,True
got,sighed,1190,106,31,15,1.4649191123975101e-232,True
that,the,1395,182,36,25,1.2624161747307831e-231,True
put,noticed,981,44,36,16,2.545690238582624e-231,True
told,stepped,1171,102,34,23,1.0788276605394196e-230,True
have,consult,812,7,36,6,2.758073223393454e-230,True
said,carefully,1052,65,30,23,2.8876655001976155e-230,True
tell,consider,986,47,37,16,1.40218555145338e-229,True
say,contact,963,41,36,16,1.8743497075469292e-229,True
put,pressed,1275,143,32,19,2.379516968652411e-227,True
threw,watched,1489,227,37,26,2.706444426296095e-227,True
he,pulled,1983,455,35,31,2.6402438775987727e-226,True
sat,whispered,910,32,34,10,1.8385552518126022e-224,True
a,shouted,1297,159,32,24,4.373302145632511e-222,True
rubbed,whispered,862,23,35,9,1.3905342454304027e-221,True
had,whispered,950,45,34,9,1.5231285855643103e-221,True
told,smiled,1613,291,35,28,1.6210489221390276e-221,True
told,noticed,1016,64,37,21,2.6636560184502966e-221,True
a,caused,868,25,32,10,8.458510310524575e-221,True
put,shouted,1165,113,33,21,1.2645372958719622e-220,True
when,made,1478,236,36,26,1.4655425623478563e-219,True
made,whispered,1060,82,34,15,2.0756054120112554e-217,True
told,grinned,868,29,29,12,5.992419007891844e-216,True
the,leaned,1627,310,33,27,4.082789461408904e-215,True
call,consider,859,28,35,17,1.487584138350502e-214,True
had,felt,1049,82,33,22,1.867514645771381e-214,True
he,gave,2333,669,37,37,4.2672621928545155e-214,True
have,address,840,24,38,12,5.851775919268014e-214,True
left,whispered,1043,81,36,16,1.10744256879043e-213,True
he,caused,984,64,36,16,1.5761619390685565e-212,True
the,muttered,959,57,30,14,3.724562019103802e-212,True
brought,whispered,805,18,33,7,1.4212796961636927e-211,True
in,felt,990,67,34,16,1.8435174018328715e-211,True
he,took,2585,818,38,37,2.2316888319030228e-211,True
said,now,1438,234,37,30,3.176964773199536e-211,True
got,stepped,1018,78,32,22,1.73330999595961e-209,True
put,gently,996,73,34,18,8.041826392915504e-208,True
went,leaned,1027,83,35,17,9.868257613350713e-208,True
told,it,2072,548,38,37,3.598493216914123e-207,True
