tag,word,net,base_p,models,violence,picturability,fatality
violence_explicit_1,cried,-3,0.002583452095717278,opus,80.0,62.0,52.0
violence_explicit_1,realised,-3,0.0019281862786599431,opus,68.0,28.0,58.0
violence_explicit_1,expired,-2,0.0026044979297280874,opus,72.0,45.0,100.0
violence_explicit_1,realized,-7,0.0037248430616400943,opus,68.0,28.0,58.0
violence_explicit_1,fled,-2,0.002732245564194889,opus,72.0,68.0,25.0
violence_explicit_1,bled,-3,0.03441890039645633,opus,92.0,88.0,80.0
violence_explicit_1,stabbed,-2,0.001883989680157567,opus,80.0,50.0,70.0
violence_explicit_1,left,-2,0.0018894847170822509,opus,72.0,55.0,62.0
violence_explicit_1,hit,-3,0.002470622840133686,opus,78.0,45.0,62.0
violence_explicit_1,reached,0,0.0021931535883387746,opus,68.0,35.0,58.0
violence_explicit_1,felt,-14,0.006110125206915644,opus,68.0,25.0,58.0
violence_explicit_1,passed,-5,0.010294320889656594,opus,74.0,45.0,80.0
violence_explicit_1,ran,-20,0.005871978010351348,opus,72.0,62.0,28.0
violence_explicit_1,ceased,-1,0.0025816333515555623,opus,76.0,40.0,88.0
violence_explicit_1,saw,-9,0.004545983294585249,opus,66.0,28.0,58.0
violence_explicit_1,came,-3,0.002591481953553806,opus,74.0,30.0,58.0
violence_explicit_1,stopped,6,0.05181954295647514,opus,80.0,62.0,82.0
violence_explicit_1,found,-2,0.0021865744954832327,opus,66.0,25.0,58.0
violence_explicit_1,collapsed,4,0.03814268589751085,opus,84.0,88.0,82.0
violence_explicit_1,succumbed,-3,0.003029629786755347,opus,74.0,45.0,100.0
violence_explicit_1,broke,-4,0.0033493878891913123,opus,78.0,38.0,60.0
violence_explicit_1,dropped,-9,0.012910842542666718,opus,84.0,85.0,82.0
violence_explicit_1,slumped,-2,0.00400782198043374,opus,84.0,90.0,82.0
violence_explicit_1,couldn't,-6,0.003865788968773486,opus,88.0,45.0,90.0
violence_explicit_1,heard,-5,0.0032047026468322286,opus,66.0,30.0,58.0
violence_explicit_1,managed,-3,0.00321159309742602,opus,70.0,30.0,45.0
violence_explicit_1,died,5,0.17537729585790365,opus,88.0,62.0,100.0
violence_explicit_1,fell,2,0.07758027507715785,opus,82.0,82.0,75.0
violence_explicit_1,thought,-5,0.004185084337910193,opus,66.0,25.0,58.0
violence_explicit_1,drew,1,0.0019695942159961882,opus,70.0,30.0,58.0
violence_explicit_1,believed,-2,0.002546048829523227,opus,64.0,20.0,55.0
violence_explicit_1,blew,-2,0.003981821836979312,opus,68.0,20.0,55.0
violence_explicit_1,killed,-13,0.004103256086848032,opus,90.0,60.0,100.0
violence_explicit_1,screamed,-1,0.003100523126480452,opus,86.0,72.0,55.0
violence_explicit_1,begged,2,0.0023714175139175025,opus,82.0,70.0,55.0
violence_explicit_1,crumpled,2,0.0020010616966197096,opus,86.0,92.0,82.0
violence_explicit_1,fainted,-1,0.005294014659341264,opus,78.0,72.0,55.0
violence_explicit_1,turned,-2,0.0027057378732593877,opus,68.0,40.0,55.0
violence_explicit_1,went,-11,0.005820074632194962,opus,70.0,40.0,62.0
violence_explicit_1,choked,0,0.002426636392548306,opus,88.0,78.0,85.0
violence_explicit_1,lost,-18,0.014334456430869271,opus,76.0,32.0,65.0
violence_explicit_1,lay,14,0.019623227948966645,opus,82.0,78.0,85.0
violence_explicit_2,land,-2,0.002340969580501053,opus,52.0,45.0,80.0
violence_explicit_2,flop,-3,0.002907044201385337,opus,60.0,72.0,85.0
violence_explicit_2,writhe,-6,0.005051842118181026,opus,82.0,78.0,85.0
violence_explicit_2,topple,-4,0.0033833087018144683,opus,55.0,75.0,87.0
violence_explicit_2,hit,-3,0.0041301662399028,opus,60.0,65.0,85.0
violence_explicit_2,burn,-4,0.0032419008099464127,opus,88.0,62.0,95.0
violence_explicit_2,writhing,0,0.004804729124739629,opus,82.0,78.0,85.0
violence_explicit_2,crumple,9,0.014400782477439224,opus,62.0,82.0,90.0
violence_explicit_2,fly,-4,0.003710615879491697,opus,62.0,45.0,85.0
violence_explicit_2,convulse,0,0.002210956450419785,opus,80.0,82.0,92.0
violence_explicit_2,fall,16,0.1901428725857298,opus,56.0,75.0,87.0
violence_explicit_2,twitch,0,0.004164769635100485,opus,75.0,80.0,90.0
violence_explicit_2,scream,-1,0.0022172971594272596,opus,78.0,65.0,72.0
violence_explicit_2,choke,0,0.001992622778246037,opus,75.0,62.0,88.0
violence_explicit_2,die,1,0.3564295867071684,opus,75.0,35.0,100.0
violence_explicit_2,sink,-8,0.00537192920539086,opus,52.0,60.0,85.0
violence_explicit_2,crumble,7,0.005203731572223848,opus,58.0,58.0,87.0
violence_explicit_2,struggle,0,0.0033057958972918457,opus,62.0,45.0,78.0
violence_explicit_2,tumble,-6,0.004505402512256162,opus,58.0,68.0,85.0
violence_explicit_2,lie,-1,0.0034912102700767043,opus,48.0,55.0,85.0
violence_explicit_2,slump,4,0.008178077860883816,opus,58.0,80.0,90.0
violence_explicit_2,turn,-6,0.003632340797457663,opus,50.0,40.0,70.0
violence_explicit_2,twist,2,0.0012519561112903559,opus,62.0,55.0,78.0
violence_explicit_2,suffer,3,0.0035185886863324115,opus,72.0,20.0,80.0
violence_explicit_2,stagger,-3,0.004043428699023918,opus,60.0,75.0,65.0
violence_explicit_2,expire,2,0.0016841309095500766,opus,55.0,18.0,100.0
